TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
24,24,100.0000,24,100.0000,0,8985,6064,67.4902

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VALOR,VAMOS,MLP,UNE,UR,PPN,PODEMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12788,"Retalhuleu",11,"Santa Cruz Muluá",3,1744,400,73,33,88,4,62,1,5,0,266,20,5,291,0,291,--,400,109,266,291,291,Algún campo sin dato,1,54feb3dc6006c6f327c0b50dc266f88468fd2b8092f0d0167371ae5bf8c7cfd7,26/06/2023 02:26:54,ESCANER
12789,"Retalhuleu",11,"Santa Cruz Muluá",3,1744,400,45,43,73,3,79,1,12,3,259,16,4,279,0,279,--,400,121,259,279,279,Algún campo sin dato,1,2d0675549702c0ac1072e6c7149f996507c8e68106c3a16bd78cd097c5983b63,26/06/2023 01:11:40,ESCANER
12790,"Retalhuleu",11,"Santa Cruz Muluá",3,1744,400,70,40,80,3,65,0,11,2,271,13,4,288,--,288,--,400,112,271,288,288,Algún campo sin dato,1,dea17fdc8c4e6ab4b2eea988f9e5807b7b9d117618b2a9297f71d319c6ac476f,26/06/2023 00:12:10,ESCANER
12791,"Retalhuleu",11,"Santa Cruz Muluá",3,1744,400,79,48,84,6,76,0,9,2,304,10,0,314,0,314,--,400,86,304,314,314,Algún campo sin dato,1,119d9a90d87d93a390b1732ee5a86c58f5f71d93cc1e19ff1451b43621462560,26/06/2023 03:01:09,ESCANER
12792,"Retalhuleu",11,"Santa Cruz Muluá",3,1744,400,82,46,74,5,62,0,7,0,276,11,4,291,1,292,1,400,108,276,291,292,,1,8cbf8817777f2faae4b83329c9a4b3cc179445be745998b4eb76c27e4d83078c,26/06/2023 02:20:30,ESCANER
12793,"Retalhuleu",11,"Santa Cruz Muluá",3,1744,400,91,46,91,1,66,0,10,4,309,20,4,333,--,333,--,400,67,309,333,333,Algún campo sin dato,1,59e99a9b8600b4971cae70b61ea25c35a6595ea5fc70066c26279a2c6d5fd8e4,26/06/2023 02:49:41,ESCANER
12794,"Retalhuleu",11,"Santa Cruz Muluá",3,1744,400,86,64,78,3,58,0,10,2,301,27,5,333,0,333,--,400,67,301,333,333,Algún campo sin dato,1,833e97e7dc220b74cfa86773487369463acb4a9a576cd978e28dc750551ddde4,26/06/2023 02:03:04,ESCANER
12795,"Retalhuleu",11,"Santa Cruz Muluá",3,1744,400,64,50,57,2,78,0,8,1,260,8,3,271,6,277,--,400,123,260,271,277,Algún campo sin dato,1,77339a5a59130e60f9ad27daf588bb1b50b55271c16219f45c16d5b6030223d9,26/06/2023 01:33:00,ESCANER
12796,"Retalhuleu",11,"Santa Cruz Muluá",3,1744,400,70,35,64,1,66,1,4,0,241,14,5,260,0,260,--,400,140,241,260,260,Algún campo sin dato,1,96a8b9d558b6fe48b0baefeb745e6df4ab5d7186dbc0bfbad57f607abbc30806,26/06/2023 01:51:41,ESCANER
12797,"Retalhuleu",11,"Santa Cruz Muluá",3,1744,400,81,46,58,7,68,2,5,0,267,9,2,278,0,278,--,397,119,267,278,278,Algún campo sin dato,1,28c68bae9e29ae01ad7415bec4922e38d597f28c512ada72cf9cb5bf4e7d902d,26/06/2023 00:48:04,ESCANER
