TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
29,0,0.0000,0,0.0000,0,0,0,--.----

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,VIVA,UNE,VALOR,MLP,TODOS,PODEMOS,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12812,"Retalhuleu",11,"San Martín Zapotitlán",4,1747,400,,,,,,,,,,,,,,,,,,,,,,,0,,,
12813,"Retalhuleu",11,"San Martín Zapotitlán",4,1747,400,,,,,,,,,,,,,,,,,,,,,,,0,,,
12814,"Retalhuleu",11,"San Martín Zapotitlán",4,1747,400,,,,,,,,,,,,,,,,,,,,,,,0,,,
12815,"Retalhuleu",11,"San Martín Zapotitlán",4,1747,400,,,,,,,,,,,,,,,,,,,,,,,0,,,
12816,"Retalhuleu",11,"San Martín Zapotitlán",4,1747,400,,,,,,,,,,,,,,,,,,,,,,,0,,,
12817,"Retalhuleu",11,"San Martín Zapotitlán",4,1747,400,,,,,,,,,,,,,,,,,,,,,,,0,,,
12818,"Retalhuleu",11,"San Martín Zapotitlán",4,1747,400,,,,,,,,,,,,,,,,,,,,,,,0,,,
12819,"Retalhuleu",11,"San Martín Zapotitlán",4,1747,400,,,,,,,,,,,,,,,,,,,,,,,0,,,
12820,"Retalhuleu",11,"San Martín Zapotitlán",4,1747,400,,,,,,,,,,,,,,,,,,,,,,,0,,,
12821,"Retalhuleu",11,"San Martín Zapotitlán",4,1748,400,,,,,,,,,,,,,,,,,,,,,,,0,,,
12822,"Retalhuleu",11,"San Martín Zapotitlán",4,1748,400,,,,,,,,,,,,,,,,,,,,,,,0,,,
12823,"Retalhuleu",11,"San Martín Zapotitlán",4,1748,400,,,,,,,,,,,,,,,,,,,,,,,0,,,
12824,"Retalhuleu",11,"San Martín Zapotitlán",4,1748,400,,,,,,,,,,,,,,,,,,,,,,,0,,,
12825,"Retalhuleu",11,"San Martín Zapotitlán",4,1748,400,,,,,,,,,,,,,,,,,,,,,,,0,,,
12826,"Retalhuleu",11,"San Martín Zapotitlán",4,1748,400,,,,,,,,,,,,,,,,,,,,,,,0,,,
12827,"Retalhuleu",11,"San Martín Zapotitlán",4,1748,400,,,,,,,,,,,,,,,,,,,,,,,0,,,
12828,"Retalhuleu",11,"San Martín Zapotitlán",4,1748,400,,,,,,,,,,,,,,,,,,,,,,,0,,,
12829,"Retalhuleu",11,"San Martín Zapotitlán",4,1748,400,,,,,,,,,,,,,,,,,,,,,,,0,,,
12830,"Retalhuleu",11,"San Martín Zapotitlán",4,1749,400,,,,,,,,,,,,,,,,,,,,,,,0,,,
12831,"Retalhuleu",11,"San Martín Zapotitlán",4,1749,400,,,,,,,,,,,,,,,,,,,,,,,0,,,
12832,"Retalhuleu",11,"San Martín Zapotitlán",4,1749,400,,,,,,,,,,,,,,,,,,,,,,,0,,,
12833,"Retalhuleu",11,"San Martín Zapotitlán",4,1749,400,,,,,,,,,,,,,,,,,,,,,,,0,,,
12834,"Retalhuleu",11,"San Martín Zapotitlán",4,1750,400,,,,,,,,,,,,,,,,,,,,,,,0,,,
12835,"Retalhuleu",11,"San Martín Zapotitlán",4,1750,400,,,,,,,,,,,,,,,,,,,,,,,0,,,
12836,"Retalhuleu",11,"San Martín Zapotitlán",4,1750,400,,,,,,,,,,,,,,,,,,,,,,,0,,,
12837,"Retalhuleu",11,"San Martín Zapotitlán",4,1750,400,,,,,,,,,,,,,,,,,,,,,,,0,,,
12838,"Retalhuleu",11,"San Martín Zapotitlán",4,1751,400,,,,,,,,,,,,,,,,,,,,,,,0,,,
12839,"Retalhuleu",11,"San Martín Zapotitlán",4,1751,259,,,,,,,,,,,,,,,,,,,,,,,0,,,
12840,"Retalhuleu",11,"San Martín Zapotitlán",4,1751,258,,,,,,,,,,,,,,,,,,,,,,,0,,,
