TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
38,38,100.0000,38,100.0000,0,14683,10277,69.9925

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VALOR,AZUL,BIEN,PIN,VAMOS,UNE,U R N G - MAIZ,PODEMOS,PPN,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12841,"Retalhuleu",11,"San Felipe",5,1752,400,50,59,10,66,1,62,3,3,3,12,3,272,15,3,290,0,290,1,400,110,272,290,290,,1,17108f96d1a692d0336b2dc3433e3c2e1ed8902d80c9efb140d17d90505cd3e5,25/06/2023 23:36:12,ESCANER
12842,"Retalhuleu",11,"San Felipe",5,1752,400,49,56,12,96,0,58,8,0,1,6,4,290,12,3,305,0,305,--,400,95,290,305,305,Algún campo sin dato,1,47974545a540a70a18e31410e23ed7ec084580e125eadcf79f7c63674dc393d2,26/06/2023 02:14:05,ESCANER
12843,"Retalhuleu",11,"San Felipe",5,1752,400,46,52,7,86,2,78,2,2,2,8,4,289,13,3,305,0,305,4,400,95,289,305,305,,1,941f0fcbd46cf8d9c58741abf5b7b79d8c5cfa742ece974b5dc37d06a049a23c,26/06/2023 01:47:09,ESCANER
12844,"Retalhuleu",11,"San Felipe",5,1752,400,48,55,6,102,2,67,4,2,0,4,5,295,13,2,310,0,310,--,400,90,295,310,310,Algún campo sin dato,1,6339c220c8b6d4fb4e1188e70623b5182b6ad0da552ff6e00f668e483d8ee424,26/06/2023 00:19:34,ESCANER
12845,"Retalhuleu",11,"San Felipe",5,1753,400,49,56,6,98,2,51,5,3,1,5,4,280,24,7,311,0,311,3,400,89,280,311,311,,1,da93b98b36e19d09b3bfab60d0d1001ff63c52fd242203bc1338faadc333b8a6,26/06/2023 00:44:44,ESCANER
12846,"Retalhuleu",11,"San Felipe",5,1753,400,32,63,6,84,4,73,4,7,0,9,7,289,13,5,307,0,307,--,400,93,289,307,307,Algún campo sin dato,1,5f831b906f439671b01339490d9b6ae58c49d138914857797c109c7dc1dd64fc,26/06/2023 01:10:23,ESCANER
12847,"Retalhuleu",11,"San Felipe",5,1753,400,53,53,5,94,3,75,4,2,0,2,7,298,8,5,311,0,311,--,404,93,298,311,311,Algún campo sin dato,1,abd49bc5960fc175bdaaa9eca3d36cc95875fc1ee44e88c70a832dadff7ff773,26/06/2023 00:35:03,ESCANER
12848,"Retalhuleu",11,"San Felipe",5,1753,400,44,60,10,91,1,65,6,4,0,5,7,293,19,0,312,0,312,2,396,84,293,312,312,,1,e815a9bb98dc9ab38b30a5ede6a169a8dc7d105e94117daaf4899783685a3671,25/06/2023 23:48:57,ESCANER
12849,"Retalhuleu",11,"San Felipe",5,1753,400,46,57,11,81,2,60,5,3,1,3,4,273,10,2,285,1,286,6,400,114,273,285,286,,1,7ecad7c5a114d7796125eb0fec2a07d6ac40ffffcade2fda1442eb5084b0225e,26/06/2023 00:06:32,ESCANER
12850,"Retalhuleu",11,"San Felipe",5,1753,400,57,50,6,99,0,51,4,6,1,2,4,280,13,2,295,0,295,--,400,105,280,295,295,Algún campo sin dato,1,8c81bf6a9318031a5820eb3f56ec301ba7766c3e6d38dd052d43ae007c70e960,26/06/2023 01:36:37,ESCANER
