TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
68,68,100.0000,68,100.0000,0,25266,13896,54.9988

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,VALOR,BIEN,UNE,PPN,AZUL,MLP,VIVA,VICTORIA,U R N G - MAIZ,UR,PODEMOS,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12879,"Retalhuleu",11,"San Andrés Villa Seca",6,1759,400,7,45,26,0,113,12,0,0,2,1,5,0,0,12,223,15,4,242,0,242,--,400,158,223,242,242,Algún campo sin dato,1,675b4635be8ec272e1445241ac6b3a12b50b08f3b37b86db2bd06c3e016d2ce9,26/06/2023 01:13:31,ESCANER
12880,"Retalhuleu",11,"San Andrés Villa Seca",6,1759,400,6,62,25,1,118,13,1,2,6,2,3,0,1,12,252,10,4,266,0,266,--,399,133,252,266,266,Algún campo sin dato,1,b111d4d5ec4ee4547647b0714e9fd0b653ce761e2cb085248d345f458bdfc488,26/06/2023 03:16:41,ESCANER
12881,"Retalhuleu",11,"San Andrés Villa Seca",6,1759,400,7,47,24,0,143,16,1,3,6,6,2,0,0,11,266,16,7,289,0,289,--,397,108,266,289,289,Algún campo sin dato,1,996c1f6f44d05e7e8af88da4566201e3d226e99498a6e012eec1ea3e004956d8,26/06/2023 03:13:30,ESCANER
12882,"Retalhuleu",11,"San Andrés Villa Seca",6,1759,400,9,37,25,0,151,12,1,4,8,5,1,0,0,7,260,11,5,276,0,276,--,400,124,260,276,276,Algún campo sin dato,1,fea8cdc77e21744179bcbcde0726e259b472125d4e2f0953f790dfa08ec9d110,25/06/2023 23:06:51,ESCANER
12883,"Retalhuleu",11,"San Andrés Villa Seca",6,1760,400,4,32,25,1,95,21,2,1,3,2,6,0,0,13,205,18,6,229,0,229,--,400,171,205,229,229,Algún campo sin dato,1,9d9a8d44558ba0ab2d1144529156f873398656ac06d78edb11355668623d9ea7,26/06/2023 01:10:08,ESCANER
12884,"Retalhuleu",11,"San Andrés Villa Seca",6,1760,400,7,38,16,0,122,18,0,2,0,8,1,0,0,12,224,13,1,238,0,238,--,400,162,224,238,238,Algún campo sin dato,1,2bf54fa09412ab0e3b3b585bd0eadb73306612a4b77a3571b590e33825b56f1a,26/06/2023 00:53:18,ESCANER
12885,"Retalhuleu",11,"San Andrés Villa Seca",6,1760,319,4,36,25,0,109,10,0,1,4,4,2,0,0,13,208,7,1,216,0,216,--,319,103,208,216,216,Algún campo sin dato,1,56f8894dcbddbb4de74b8653e1d2051417863bd6fb85924f656bbfe043eabe59,25/06/2023 22:55:57,ESCANER
12886,"Retalhuleu",11,"San Andrés Villa Seca",6,1760,319,8,27,13,1,78,18,1,0,2,1,0,0,0,8,157,6,2,165,0,165,--,319,154,157,165,165,Algún campo sin dato,1,6331c7d77e2eb42feaff62e6024501e90c120dbee969a786e858fb538caacd18,25/06/2023 21:52:01,ESCANER
12887,"Retalhuleu",11,"San Andrés Villa Seca",6,1761,400,7,32,13,1,149,24,0,1,6,2,0,0,1,5,241,14,5,260,0,260,--,400,140,241,260,260,Algún campo sin dato,1,fcedffee7c7c35433e85d4aadc7ed045ac0d1e3d4101b536653e22b750a1b890,26/06/2023 02:48:51,ESCANER
12888,"Retalhuleu",11,"San Andrés Villa Seca",6,1761,400,4,33,11,1,170,25,3,1,3,3,0,0,1,11,266,19,5,290,0,290,--,397,107,266,290,290,Algún campo sin dato,1,78cc611eadefcc7bfe0fcd4f000fa4b68af0197dd0ec975ade8bbd4fd6dda2cf,26/06/2023 01:11:31,ESCANER
12889,"Retalhuleu",11,"San Andrés Villa Seca",6,1761,400,5,42,14,2,152,15,2,0,11,2,1,0,1,1,248,19,5,272,0,272,--,400,128,248,272,272,Algún campo sin dato,1,36907abcdc16edeb55c0c701a64b59e129ccab5fe86b26c89db9a2b623859b4b,26/06/2023 00:30:31,ESCANER
12890,"Retalhuleu",11,"San Andrés Villa Seca",6,1761,400,6,28,14,2,149,19,0,0,3,2,2,0,0,6,231,10,3,244,0,244,--,400,156,231,244,244,Algún campo sin dato,1,25ee48de2de2d52ab8f8f01f634cbe75ec2ac8de776517d6738e70ee83885e1b,26/06/2023 01:04:23,ESCANER
12891,"Retalhuleu",11,"San Andrés Villa Seca",6,1761,253,1,20,5,0,115,9,0,0,0,1,0,0,1,0,152,4,0,156,0,156,--,253,97,152,156,156,Algún campo sin dato,1,1eaee081c223e87261097d5baa0051548932af4799e1a6f8fd3f656a36d842f2,26/06/2023 00:41:21,ESCANER
12892,"Retalhuleu",11,"San Andrés Villa Seca",6,1761,252,1,17,10,0,99,14,0,0,2,1,0,0,0,2,146,5,1,152,0,152,--,253,101,146,152,152,Algún campo sin dato,1,26c83f98aca5c6ef03f6fb84bc726719e72cfc3308a0214b539a8963927f16e5,26/06/2023 01:29:30,ESCANER
12893,"Retalhuleu",11,"San Andrés Villa Seca",6,1762,380,19,117,3,1,29,1,3,3,4,3,0,0,1,0,184,24,3,211,0,211,--,376,165,184,211,211,Algún campo sin dato,1,a7bda58e191db77dd1e2878abca7da4fd731601fa7cdd0a4ff4d96ec3f226165,26/06/2023 00:36:08,ESCANER
12894,"Retalhuleu",11,"San Andrés Villa Seca",6,1762,380,21,114,2,2,37,4,2,3,4,2,2,0,1,1,195,17,8,220,0,220,--,380,160,195,220,220,Algún campo sin dato,1,520c0b6c62549195008fa682d4d93543260ddbd60c7f3324f748ff17c241a324,26/06/2023 00:23:23,ESCANER
12895,"Retalhuleu",11,"San Andrés Villa Seca",6,1762,380,17,116,5,2,22,2,8,1,3,4,0,0,0,0,180,17,0,197,0,197,--,380,183,180,197,197,Algún campo sin dato,1,c04de6c7ddc2c14d3f229a6fef4cab1832aec0421e36a2d04e7c97c99405d4b7,26/06/2023 04:58:25,MOVIL
12896,"Retalhuleu",11,"San Andrés Villa Seca",6,1762,320,19,74,6,1,31,4,5,0,2,3,0,0,1,1,147,11,1,159,2,161,--,320,159,147,159,161,Algún campo sin dato,1,ebf040144139ae3ad9138fc09ebc7046f9eafd5a6ac23ad8d1c56903e17b1763,25/06/2023 23:39:44,ESCANER
12897,"Retalhuleu",11,"San Andrés Villa Seca",6,1762,320,22,94,2,4,13,3,4,1,2,2,1,0,0,1,149,5,0,154,6,160,--,320,160,149,154,160,Algún campo sin dato,1,3ef538001f26d6b39d42f1ed87ec71d0e4be0fedf09b2ac4f0f3c486d85a6f47,25/06/2023 22:07:12,ESCANER
12898,"Retalhuleu",11,"San Andrés Villa Seca",6,1763,380,43,88,3,5,9,13,2,4,5,10,3,0,2,0,187,21,3,211,0,211,0,380,169,187,211,211,,1,da9f851bd2bfb20c79f1de016d9547c43df729239538d532fa984f78edf5631c,26/06/2023 02:03:30,ESCANER
12899,"Retalhuleu",11,"San Andrés Villa Seca",6,1763,380,30,94,7,7,11,17,5,11,4,9,1,0,0,0,196,14,1,211,10,221,1,379,158,196,211,221,,1,d525015a99fcd70b125619789277efc046beec399826fc843133a4641604f7d6,26/06/2023 04:13:10,ESCANER
12900,"Retalhuleu",11,"San Andrés Villa Seca",6,1763,380,47,70,4,7,11,16,3,8,4,5,1,0,3,1,180,11,0,191,0,191,0,380,189,180,191,191,,1,d5afe663606a00ca775b68c218e2c5d6255b39ed8a86a01c129fe4e0d69194ef,26/06/2023 01:48:29,ESCANER
12901,"Retalhuleu",11,"San Andrés Villa Seca",6,1763,380,37,65,5,10,10,19,3,9,4,8,0,0,0,0,170,13,3,186,0,186,0,380,194,170,186,186,,1,9216a3e3dd01381a7812ff1e41f14857ef05de2b32e5657faf6dc7bf69abc924,25/06/2023 22:37:20,ESCANER
12902,"Retalhuleu",11,"San Andrés Villa Seca",6,1763,380,42,64,5,5,9,7,1,11,6,6,0,0,3,1,160,15,3,178,0,178,0,380,202,160,178,178,,1,adbe23d1c7df1482282aa4565a94ef7c514a414b21f8586e0701ab512271a2c2,25/06/2023 22:25:04,ESCANER
12903,"Retalhuleu",11,"San Andrés Villa Seca",6,1763,380,26,52,0,5,14,14,7,2,3,5,3,0,1,0,132,23,8,163,0,163,0,380,217,132,163,163,,1,61319c00a467c63328fd132c5fa1d8c5064c321f2ef870d88780c2799b2ead69,25/06/2023 23:29:51,ESCANER
12904,"Retalhuleu",11,"San Andrés Villa Seca",6,1763,294,25,46,3,7,7,13,1,6,1,2,0,0,3,1,115,6,0,121,0,121,0,294,173,115,121,121,,1,1de78e92bd4173914e138ef83ef5e32c8a962e9cc3afe07be959cb5d18ad3caa,25/06/2023 23:44:43,ESCANER
12905,"Retalhuleu",11,"San Andrés Villa Seca",6,1763,293,31,58,4,2,2,12,1,4,0,3,2,0,1,1,121,9,0,130,0,130,0,293,163,121,130,130,,1,8b7654eb81895a3c5ebe97eb99191a6ea70887948bfd4bd0691f108889f94937,25/06/2023 23:24:58,ESCANER
12906,"Retalhuleu",11,"San Andrés Villa Seca",6,1764,380,0,20,30,1,119,12,0,0,20,1,7,0,2,1,217,42,5,264,0,264,--,380,116,213,260,260,Sumas Asentadas sin cuadrar,1,7789bdfeb2149e85e4dc4d946f42f40ea27b95162c688d8377be63d21e47d079,26/06/2023 05:27:19,ESCANER
12907,"Retalhuleu",11,"San Andrés Villa Seca",6,1764,380,24,18,31,1,78,27,0,7,6,4,6,0,2,0,204,43,2,249,0,249,--,377,128,204,249,249,Algún campo sin dato,1,661a88be33865dfc926ebe7458a6629834dd1ccf14af826820d2d9feec61a4a0,26/06/2023 00:12:53,ESCANER
12908,"Retalhuleu",11,"San Andrés Villa Seca",6,1764,380,17,17,38,1,113,15,0,2,8,2,1,0,2,1,217,35,5,257,0,257,--,380,123,217,257,257,Algún campo sin dato,1,d79ea978be3da1a959c0a36c6d4e14a685f9e5c02662ecffa7fdfd99ace97cb7,26/06/2023 00:58:14,ESCANER
12909,"Retalhuleu",11,"San Andrés Villa Seca",6,1764,380,15,21,43,1,106,12,0,3,3,1,2,0,8,1,216,42,10,268,0,268,--,380,112,216,268,268,Algún campo sin dato,1,e0f94431de67ff819fd46af919e709ada1a4f38476ca0a5eec3880e0b2be53c5,26/06/2023 01:30:05,ESCANER
12910,"Retalhuleu",11,"San Andrés Villa Seca",6,1764,380,16,13,32,1,116,18,0,4,6,3,2,2,2,0,215,21,5,241,0,241,--,380,139,215,241,241,Algún campo sin dato,1,48d7210354be57e5b65fda50eafdd95aa31c7f84268c9e1486cc3170c9910c2a,26/06/2023 00:11:07,ESCANER
12911,"Retalhuleu",11,"San Andrés Villa Seca",6,1764,380,17,10,29,0,93,10,0,1,6,3,2,1,0,1,173,44,2,219,0,219,--,380,161,173,219,219,Algún campo sin dato,1,394d6a4acdf13a944bb8cd6617618eecac7e2cfa2e6f1509132a0246f5a32fd2,26/06/2023 01:52:23,ESCANER
12912,"Retalhuleu",11,"San Andrés Villa Seca",6,1764,351,13,15,39,0,90,13,0,6,4,1,4,0,5,2,192,10,0,202,0,202,--,351,149,192,202,202,Algún campo sin dato,1,0af86682f164019803da2c11e2d2719bcfe38a06301dd8acb42a2c48d328032e,26/06/2023 03:36:53,ESCANER
12913,"Retalhuleu",11,"San Andrés Villa Seca",6,1764,350,15,10,23,0,110,19,0,2,5,0,1,0,3,2,190,11,2,203,0,203,--,350,147,190,203,203,Algún campo sin dato,1,5eeb2ec8a09d0b89fc3f3d26f032f6110efedb11796ded9de69ccbbf1411eadb,26/06/2023 01:16:34,ESCANER
12914,"Retalhuleu",11,"San Andrés Villa Seca",6,1765,380,46,94,7,5,6,6,2,4,3,5,1,1,3,1,184,27,6,217,0,217,--,380,163,184,217,217,Algún campo sin dato,1,353ad951b969dfaa5e5a1b3f6da213766143efc0662353cad6d51089dc0c6cc4,25/06/2023 23:01:25,ESCANER
12915,"Retalhuleu",11,"San Andrés Villa Seca",6,1765,380,60,89,5,4,15,4,4,2,4,6,0,0,2,1,196,16,3,215,0,215,--,380,165,196,215,215,Algún campo sin dato,1,6f5caca4f6abd521a4eb42fab2c3e688e6ec8e2f1ca90fcacc9a2e353db66ede,26/06/2023 00:56:36,ESCANER
12916,"Retalhuleu",11,"San Andrés Villa Seca",6,1765,380,49,87,8,5,19,4,5,1,7,10,2,0,3,0,200,23,4,227,0,227,--,380,153,200,227,227,Algún campo sin dato,1,7c2e34beae24f11b296d0f8388d5c153396b30f7fb7dfb6b254a54051377799c,26/06/2023 00:06:57,ESCANER
12917,"Retalhuleu",11,"San Andrés Villa Seca",6,1765,380,62,99,3,7,13,5,5,1,5,7,0,0,0,0,207,23,4,234,0,234,--,380,146,207,234,234,Algún campo sin dato,1,d7fac8adbae5fc627710372b3200abdee26564241f80465a28a22d653fb5a36d,26/06/2023 02:04:55,ESCANER
12918,"Retalhuleu",11,"San Andrés Villa Seca",6,1765,380,50,102,8,6,11,4,1,1,5,7,0,1,2,0,198,16,2,216,0,216,--,380,164,198,216,216,Algún campo sin dato,1,7f38e0531495df022adac299b5cad42fc855be9bc86d720d094bd9031da38279,26/06/2023 01:12:54,ESCANER
12919,"Retalhuleu",11,"San Andrés Villa Seca",6,1765,380,53,89,13,4,8,4,1,0,5,10,0,0,2,1,217,25,2,217,0,217,--,380,163,190,217,217,Sumas Asentadas sin cuadrar,1,90a452f2a6633c1a93dfc433173d0fede4839518a3ce796382cfe1a3c4bb7d8e,26/06/2023 02:14:15,ESCANER
12920,"Retalhuleu",11,"San Andrés Villa Seca",6,1765,380,74,74,7,3,9,4,3,3,5,4,0,1,0,2,189,6,4,199,0,199,--,380,178,189,199,199,Algún campo sin dato,1,94ae102afd935072d5443ec9c68c721663d2706ff928b0ed03cd73ee742378bb,26/06/2023 01:23:16,ESCANER
12921,"Retalhuleu",11,"San Andrés Villa Seca",6,1765,380,52,72,4,9,6,5,2,1,8,8,1,0,3,0,171,6,2,179,0,179,--,380,201,171,179,179,Algún campo sin dato,1,8a65ac501e8b1e3c092f3f926af427e85f6dc8f4fc144ea046dab574438e213f,26/06/2023 01:05:57,ESCANER
12922,"Retalhuleu",11,"San Andrés Villa Seca",6,1765,380,56,86,6,5,10,3,4,1,4,8,0,1,4,0,188,18,3,209,0,209,--,360,151,188,209,209,Algún campo sin dato,1,188a4c381ad19ba40367bdb21fe1957d68f59b94aed56cf4620c8e968a9e7ba5,26/06/2023 02:57:42,ESCANER
12923,"Retalhuleu",11,"San Andrés Villa Seca",6,1765,380,38,83,7,6,9,5,3,2,6,7,1,0,5,6,178,11,2,191,0,191,--,380,189,178,191,191,Algún campo sin dato,1,e34c270af742cf9d4f63ff197cf6f332d836439dbb1ccb3ab26490a937dacbe6,26/06/2023 02:38:31,ESCANER
12924,"Retalhuleu",11,"San Andrés Villa Seca",6,1765,380,45,77,14,4,14,9,2,1,6,8,0,0,3,0,183,21,2,206,--,--,--,380,174,183,206,206,Algún campo sin dato,1,f8ce9a311d80f92114ef14efbdb99baf67622263332f5b17d893a1174b7854fb,26/06/2023 01:54:30,ESCANER
12925,"Retalhuleu",11,"San Andrés Villa Seca",6,1765,380,49,94,4,4,9,6,3,2,0,6,0,1,2,1,181,16,4,201,0,201,--,380,179,181,201,201,Algún campo sin dato,1,9acdae5b3e85e01bf08773373ca86dc304e0eb73a103d02638df0ff460e869c0,26/06/2023 02:15:12,ESCANER
12926,"Retalhuleu",11,"San Andrés Villa Seca",6,1765,380,53,69,7,4,11,3,5,3,3,4,2,0,2,2,168,15,3,186,0,186,--,380,194,168,186,186,Algún campo sin dato,1,db172e025c71bcd1fe67b742ee481727b2fe98e8514044ac89533e1c4bc109aa,26/06/2023 03:14:27,ESCANER
12927,"Retalhuleu",11,"San Andrés Villa Seca",6,1765,380,50,77,5,1,7,2,2,2,7,6,1,0,4,2,166,7,2,175,0,175,--,380,205,166,175,175,Algún campo sin dato,1,20986bad986dcb373e292c70a411e4730dac782828bafd3a2d72f14f55523632,26/06/2023 02:34:42,ESCANER
12928,"Retalhuleu",11,"San Andrés Villa Seca",6,1765,380,52,80,6,4,6,4,4,2,2,1,0,0,1,2,164,6,1,171,0,0,--,380,209,164,171,171,Algún campo sin dato,1,fe7957c6929ebab766277b909c2bf5bf1ac36bb2acfdcc5c6a3875bd31715895,26/06/2023 02:33:58,ESCANER
12929,"Retalhuleu",11,"San Andrés Villa Seca",6,1765,380,63,94,7,1,6,2,4,0,4,3,0,0,1,1,186,7,0,193,1,194,--,380,183,186,193,194,Algún campo sin dato,1,50d9f51fc1906360a526566a66ee713b5fd64ec32abaaf2aa2cd3a35cee844f7,26/06/2023 02:17:27,ESCANER
12930,"Retalhuleu",11,"San Andrés Villa Seca",6,1765,295,56,73,5,1,3,3,2,0,3,4,0,0,4,2,156,0,0,156,2,158,--,--,--,156,156,158,Algún campo sin dato,1,8534a34a4df94db8562284e45538c199cd1a80b246382106a660423eae6ac0f2,26/06/2023 02:06:59,ESCANER
12931,"Retalhuleu",11,"San Andrés Villa Seca",6,1765,295,40,45,3,0,8,2,2,1,3,3,1,0,2,1,111,10,1,122,0,122,0,295,173,111,122,122,,1,da2a4c7a02b0a980550f87cc9feb54fd3185c713db7f7f8da57ea99cd81f7b0f,26/06/2023 01:49:02,ESCANER
12932,"Retalhuleu",11,"San Andrés Villa Seca",6,1766,380,18,15,95,1,51,0,1,6,4,3,5,0,0,4,203,45,9,257,0,257,--,380,123,203,257,257,Algún campo sin dato,1,0b59653c3225f65fd8e049e3cc25c7c0cb7f271f468f6791089cfd28b0e57133,26/06/2023 01:28:52,ESCANER
12933,"Retalhuleu",11,"San Andrés Villa Seca",6,1766,380,19,16,86,2,66,2,0,9,8,1,1,1,2,4,217,35,4,256,0,256,--,382,126,217,256,256,Algún campo sin dato,1,eccb074daa32efb96703f72c1e4e2619a650674651414e19a7e98a2acc2f6bd5,26/06/2023 02:26:28,ESCANER
12934,"Retalhuleu",11,"San Andrés Villa Seca",6,1766,380,29,24,85,1,58,3,0,4,5,2,3,0,0,4,218,57,10,285,0,285,--,380,95,218,285,285,Algún campo sin dato,1,8c1394248377b328b06ab118d65a1aaf2f2b248e1599ec4cb2803483589f2df3,26/06/2023 01:45:50,ESCANER
12935,"Retalhuleu",11,"San Andrés Villa Seca",6,1766,380,12,8,116,1,50,2,1,6,5,1,0,2,3,4,211,27,2,240,0,240,--,380,140,211,240,240,Algún campo sin dato,1,8e23ed1dc579b0245ad7a06b607242ca1fc67e06361a8499fb5e7ca9ba3218f1,26/06/2023 03:12:12,ESCANER
12936,"Retalhuleu",11,"San Andrés Villa Seca",6,1766,380,17,22,103,1,56,2,2,5,6,2,2,0,1,2,221,25,3,249,0,249,--,380,131,221,249,249,Algún campo sin dato,1,938e08f796bc05f9532de390bbcb677bc55b11f47b51d8d92c4633a179d9086c,26/06/2023 01:05:19,ESCANER
12937,"Retalhuleu",11,"San Andrés Villa Seca",6,1766,219,11,14,68,0,30,1,0,3,2,2,0,0,2,2,135,8,1,144,0,144,--,216,72,135,144,144,Algún campo sin dato,1,2a217037dc4f0deebffa2059a1c89a0220c5390b53e2891344cdaacc6cdfaff7,25/06/2023 23:17:43,ESCANER
12938,"Retalhuleu",11,"San Andrés Villa Seca",6,1766,218,18,18,63,0,28,1,0,2,1,0,0,0,0,2,133,7,1,141,0,141,--,218,77,133,141,141,Algún campo sin dato,1,bad4ed01fa7a9f7f65d54e3516789b6f600705ff461c438188d84bca614ec66d,26/06/2023 01:06:59,ESCANER
12939,"Retalhuleu",11,"San Andrés Villa Seca",6,1767,303,34,22,82,0,34,7,1,0,4,0,9,0,0,3,196,25,6,227,0,227,--,303,76,196,227,227,Algún campo sin dato,1,ea3f87f7fda212116959d3f273ea027862775a23c860e07b56a2eda4fd5a323d,26/06/2023 01:49:35,ESCANER
12940,"Retalhuleu",11,"San Andrés Villa Seca",6,1767,303,21,22,82,0,25,8,1,0,3,5,2,0,0,5,174,14,2,190,0,190,--,305,115,174,190,190,Algún campo sin dato,1,159406099621bc4d3c2ac789af511be1e0ebdc4ed68ceb31311da50d04db4767,26/06/2023 01:57:57,ESCANER
12941,"Retalhuleu",11,"San Andrés Villa Seca",6,1768,380,69,10,17,4,23,2,6,2,20,7,56,0,0,1,217,28,13,258,0,258,--,380,122,217,258,258,Algún campo sin dato,1,bc4017ccdebe14cb395aa749f68aa7314130a1e3d4d6fa96a8d545c2d0d68877,26/06/2023 02:16:03,ESCANER
12942,"Retalhuleu",11,"San Andrés Villa Seca",6,1768,379,54,16,10,2,21,0,4,1,13,3,35,0,0,0,159,38,0,197,0,197,--,379,182,159,197,197,Algún campo sin dato,1,7e9682fddeed80630e08745b3741cb0b609b51cd51b0def689f20bbbf3042a99,26/06/2023 02:27:00,ESCANER
12943,"Retalhuleu",11,"San Andrés Villa Seca",6,1768,379,79,23,18,3,8,0,3,0,23,4,45,0,0,1,207,14,3,224,0,224,--,379,155,207,224,224,Algún campo sin dato,1,f9ba190a5735d7164da41cc52217d123c5597c8b0d7769507832de53d2fdd5d9,26/06/2023 02:33:04,ESCANER
12944,"Retalhuleu",11,"San Andrés Villa Seca",6,1769,600,5,20,16,2,33,4,3,1,1,3,0,0,1,5,94,16,1,111,0,111,--,600,489,94,111,111,Algún campo sin dato,1,d116d304d849a8bd12cccf0f99b0f12296df43e88626a8cb850fbdcaf86d0ec0,25/06/2023 22:19:52,ESCANER
12945,"Retalhuleu",11,"San Andrés Villa Seca",6,1769,572,2,12,4,1,20,3,0,1,2,3,0,0,1,1,50,2,1,53,0,53,--,572,517,50,53,53,Algún campo sin dato,1,e122f2f9ba73de6c04f504950cbb5e328c61e7c962830eebac4284a138123b41,25/06/2023 22:57:18,ESCANER
12946,"Retalhuleu",11,"San Andrés Villa Seca",6,1769,572,2,3,1,0,7,2,2,0,2,2,0,0,0,1,22,2,0,24,0,24,--,572,548,22,24,24,Algún campo sin dato,1,d50c75880f6b86b7cd8713a540cc721e1bc7af22c616e7a1989d4cb81f0b0b5c,25/06/2023 21:00:48,ESCANER
