TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
66,52,78.7878,52,78.7878,0,19474,11423,58.6576

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,VALOR,UNE,BIEN,CABAL,MLP,C.C.PP,TODOS,PODEMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13004,"Retalhuleu",11,"Nuevo San Carlos",8,1777,400,120,40,14,33,5,2,2,1,1,218,22,3,243,0,243,--,400,157,218,243,243,Algún campo sin dato,1,1a7089be92dab5c8d7c6ba9cb0064da57c55feb760cb9eddb82c2bbf9ae44013,25/06/2023 22:56:49,ESCANER
13005,"Retalhuleu",11,"Nuevo San Carlos",8,1777,400,123,48,7,29,9,--,3,1,--,220,27,6,253,--,253,--,400,147,220,253,253,Algún campo sin dato,1,ab4c63b158e5b4dc167b56c3e036909563e121007d33cd9212c9a65c3aff8053,26/06/2023 00:45:04,ESCANER
13006,"Retalhuleu",11,"Nuevo San Carlos",8,1777,400,117,34,11,42,6,3,1,1,0,215,25,5,245,0,245,--,400,155,215,245,245,Algún campo sin dato,1,2ce10caa3adbeb3423de0f3610b37f1f188b69bb08dbe28841f077ec40321ad5,25/06/2023 22:58:43,ESCANER
13007,"Retalhuleu",11,"Nuevo San Carlos",8,1777,400,119,28,11,39,6,3,4,3,1,214,28,3,245,0,245,--,404,159,214,245,245,Algún campo sin dato,1,08c78812210320f00146612ee2d39315d62e093036c1a4db3415d320ef63d5ce,26/06/2023 00:39:43,ESCANER
13008,"Retalhuleu",11,"Nuevo San Carlos",8,1777,400,131,48,14,37,7,3,3,0,2,245,26,6,277,0,277,--,400,123,245,277,277,Algún campo sin dato,1,ccacc1b600a52b7875c11ee61ae48362e6b4e644a0b68ba96d1ac64ec30052a5,25/06/2023 23:28:50,ESCANER
13009,"Retalhuleu",11,"Nuevo San Carlos",8,1777,400,119,65,9,28,7,0,5,0,0,233,17,2,252,0,252,--,404,152,233,252,252,Algún campo sin dato,1,5e03dd056522392a5dea76a6cbf5320c02e7afd97ea7d50a4b1dbec6f91e0e3d,25/06/2023 22:32:33,ESCANER
13010,"Retalhuleu",11,"Nuevo San Carlos",8,1777,400,127,33,12,27,7,0,3,1,0,210,9,0,219,0,219,--,400,181,210,219,219,Algún campo sin dato,1,7abb4aa59f3719507c77495a61dcdfcd9117023ca9b172344fb77ff31fd16cbb,25/06/2023 22:46:03,ESCANER
13011,"Retalhuleu",11,"Nuevo San Carlos",8,1777,400,114,30,5,33,5,2,2,0,0,191,12,4,207,0,207,--,400,193,191,207,207,Algún campo sin dato,1,58227a2b52f7f2bedc6712daf7f798d5efa302cc90896a482f5b83a8700d2b28,25/06/2023 23:31:06,ESCANER
13012,"Retalhuleu",11,"Nuevo San Carlos",8,1777,400,127,41,4,25,9,0,2,0,0,208,8,1,217,0,217,--,404,187,208,217,217,Algún campo sin dato,1,ae67fc1080d0923bbd9580d8a1a02590b0a17f913a687691a049ae4c34f04893,25/06/2023 22:12:42,ESCANER
13013,"Retalhuleu",11,"Nuevo San Carlos",8,1777,400,101,39,5,22,7,0,1,1,0,176,4,1,181,0,181,--,404,223,176,181,181,Algún campo sin dato,1,d35ff5ced3de2b9e297f6fa6d960260b7eb1a4da6160c443a881244470e5cf39,25/06/2023 22:16:24,ESCANER
13014,"Retalhuleu",11,"Nuevo San Carlos",8,1777,232,72,25,4,18,1,1,2,0,0,123,0,2,125,0,125,--,232,107,123,125,125,Algún campo sin dato,1,99b6ed9075a16dfe6701dd9e00bd2b0db60fa9d412dad513e3860462e94c2af9,25/06/2023 23:23:03,ESCANER
13015,"Retalhuleu",11,"Nuevo San Carlos",8,1777,232,68,18,6,15,2,--,1,--,1,111,3,1,115,--,115,--,232,117,111,115,115,Algún campo sin dato,1,cb889a418252520974a2ee19eb2493f8fde4febcd52537213f39d54dc273d1c2,26/06/2023 01:07:07,ESCANER
13016,"Retalhuleu",11,"Nuevo San Carlos",8,1778,400,119,45,34,18,3,1,4,1,1,226,33,5,264,--,264,--,404,140,226,264,264,Algún campo sin dato,1,7a75b9c2e212abb903e01bc1c9a81a99d4e053c83b895b6a76801ba26bdeda92,26/06/2023 00:59:13,ESCANER
13017,"Retalhuleu",11,"Nuevo San Carlos",8,1778,400,119,37,40,30,2,0,2,0,0,230,24,2,256,0,256,--,400,144,230,256,256,Algún campo sin dato,1,2c2534a135d3f17e192e4ae2a5867655d75fb12a22e4f7e52308971ab15720a1,26/06/2023 00:38:37,ESCANER
13018,"Retalhuleu",11,"Nuevo San Carlos",8,1778,400,131,39,37,34,--,--,7,1,1,250,37,5,292,--,292,--,404,112,250,292,292,Algún campo sin dato,1,d49859be377cea1be2357a483d7dcc1cd9668fbe2af1a94594e72dae210c61d7,26/06/2023 01:03:07,ESCANER
13019,"Retalhuleu",11,"Nuevo San Carlos",8,1778,400,131,30,39,28,2,3,2,--,--,235,50,4,289,--,289,--,400,111,235,289,289,Algún campo sin dato,1,d5628d627bd5a74632d75b62a962c6a5927feb8f12ce59461eecd5e898c7d8d6,26/06/2023 01:13:09,ESCANER
13020,"Retalhuleu",11,"Nuevo San Carlos",8,1778,400,110,53,37,26,1,1,2,--,--,230,30,5,265,--,265,--,404,139,230,265,265,Algún campo sin dato,1,2a8132ab80e22a8de94f606254dd6af3b7643de065be55e8f5cb6325d7ef348b,26/06/2023 01:53:08,ESCANER
13021,"Retalhuleu",11,"Nuevo San Carlos",8,1778,400,107,38,33,28,2,--,1,--,--,209,15,2,226,--,226,--,404,178,209,226,226,Algún campo sin dato,1,7e3bacf8ebf4b6752c43596f9f26192aae785d2748f867730a3e137dd1e27390,26/06/2023 01:18:13,ESCANER
13022,"Retalhuleu",11,"Nuevo San Carlos",8,1778,400,107,35,45,14,3,--,1,--,1,206,19,2,227,--,227,--,404,177,206,227,227,Algún campo sin dato,1,37a95b03ff723a43b10dc743fa80c06b929c8f05478aab7d5b4a00a850e192ec,26/06/2023 01:21:52,ESCANER
13023,"Retalhuleu",11,"Nuevo San Carlos",8,1778,400,119,45,35,22,2,1,3,1,--,228,3,1,232,--,232,--,400,168,228,232,232,Algún campo sin dato,1,5fceccc13cb103cfab14e7a062adcc77a825c93272a0f471a0b3da62b0b4d0e9,26/06/2023 00:45:12,ESCANER
13024,"Retalhuleu",11,"Nuevo San Carlos",8,1778,222,71,24,15,16,1,1,4,1,--,133,--,--,133,--,133,--,219,86,133,133,133,Algún campo sin dato,1,aa5c68aca8039bae2d6f89c8d867edf3a0e803f9642887b91f358917c510fc69,26/06/2023 01:47:41,ESCANER
13025,"Retalhuleu",11,"Nuevo San Carlos",8,1778,222,52,20,17,17,--,2,1,1,1,111,4,2,117,--,117,--,222,105,111,117,117,Algún campo sin dato,1,703fff4c8c2af9b59579fd62e5293766feacc4aa2389ef23fa36fb6bfaaaf671,26/06/2023 01:29:56,ESCANER
13026,"Retalhuleu",11,"Nuevo San Carlos",8,1779,380,,,,,,,,,,,,,,,,,,,,,,,0,,,
13027,"Retalhuleu",11,"Nuevo San Carlos",8,1779,380,,,,,,,,,,,,,,,,,,,,,,,0,,,
13028,"Retalhuleu",11,"Nuevo San Carlos",8,1779,380,,,,,,,,,,,,,,,,,,,,,,,0,,,
13029,"Retalhuleu",11,"Nuevo San Carlos",8,1779,380,,,,,,,,,,,,,,,,,,,,,,,0,,,
13030,"Retalhuleu",11,"Nuevo San Carlos",8,1779,380,,,,,,,,,,,,,,,,,,,,,,,0,,,
13031,"Retalhuleu",11,"Nuevo San Carlos",8,1779,380,,,,,,,,,,,,,,,,,,,,,,,0,,,
13032,"Retalhuleu",11,"Nuevo San Carlos",8,1779,380,,,,,,,,,,,,,,,,,,,,,,,0,,,
13033,"Retalhuleu",11,"Nuevo San Carlos",8,1779,380,,,,,,,,,,,,,,,,,,,,,,,0,,,
13034,"Retalhuleu",11,"Nuevo San Carlos",8,1779,380,,,,,,,,,,,,,,,,,,,,,,,0,,,
13035,"Retalhuleu",11,"Nuevo San Carlos",8,1779,380,,,,,,,,,,,,,,,,,,,,,,,0,,,
13036,"Retalhuleu",11,"Nuevo San Carlos",8,1779,380,,,,,,,,,,,,,,,,,,,,,,,0,,,
13037,"Retalhuleu",11,"Nuevo San Carlos",8,1779,380,,,,,,,,,,,,,,,,,,,,,,,0,,,
13038,"Retalhuleu",11,"Nuevo San Carlos",8,1779,340,,,,,,,,,,,,,,,,,,,,,,,0,,,
13039,"Retalhuleu",11,"Nuevo San Carlos",8,1779,339,,,,,,,,,,,,,,,,,,,,,,,0,,,
13040,"Retalhuleu",11,"Nuevo San Carlos",8,1780,380,123,36,13,16,4,0,8,0,2,202,38,6,246,0,246,--,380,134,202,246,246,Algún campo sin dato,1,1f11d5390241b5662e3699ed457442d90262b6bea71e801376781af39344e4f7,26/06/2023 02:14:23,MOVIL
13041,"Retalhuleu",11,"Nuevo San Carlos",8,1780,380,133,39,11,25,12,2,8,1,--,231,37,3,271,--,271,--,384,113,231,271,271,Algún campo sin dato,1,1622f9ad08378554afef027aa10de7279cecdcee024c4250a9a607e1dbb08225,26/06/2023 01:12:12,MOVIL
13042,"Retalhuleu",11,"Nuevo San Carlos",8,1780,380,133,48,12,16,5,1,4,2,--,221,27,3,251,--,251,--,384,133,221,251,251,Algún campo sin dato,1,1fddd0d8341a4abd64e95f6ebbd5374f8e23d86e2439cb8494cb89266836ca60,26/06/2023 01:00:57,MOVIL
13043,"Retalhuleu",11,"Nuevo San Carlos",8,1780,380,144,45,14,22,2,3,4,0,0,234,42,1,277,0,277,--,384,107,234,277,277,Algún campo sin dato,1,582893ffb8278ada665eafcfa7a6c6da608346e8d7b2fe40db527e77b13d5223,26/06/2023 01:52:38,ESCANER
13044,"Retalhuleu",11,"Nuevo San Carlos",8,1780,380,140,58,17,10,4,1,9,1,1,241,37,9,287,0,287,--,380,93,241,287,287,Algún campo sin dato,1,e4cccef634b0f6f7d5cb28e9c280cba50526e721dabcfd417c3d1c02d3d139dd,26/06/2023 04:26:51,ESCANER
13045,"Retalhuleu",11,"Nuevo San Carlos",8,1780,380,142,60,22,24,5,0,2,1,2,258,25,3,286,0,286,--,384,98,258,286,286,Algún campo sin dato,1,077661f336eacbff8f2c4cb44eeb68d7df6b1147014d44df91af8ebb9c28df83,26/06/2023 02:05:40,ESCANER
13046,"Retalhuleu",11,"Nuevo San Carlos",8,1780,380,135,38,16,25,9,3,4,--,4,234,23,2,259,--,259,--,384,125,234,259,259,Algún campo sin dato,1,ea075f0d920aec3d13fc3b53cc32fade70768f7db4c75a662ab7a8561c80bb7c,26/06/2023 02:12:18,ESCANER
13047,"Retalhuleu",11,"Nuevo San Carlos",8,1780,380,122,47,11,12,9,--,6,1,--,208,14,5,227,--,227,--,381,154,208,227,227,Algún campo sin dato,1,0c6133ef22aa33b36a65c602513f941b836dbcd6bad9b1d2e97f7e4752aa611e,26/06/2023 02:13:37,ESCANER
13048,"Retalhuleu",11,"Nuevo San Carlos",8,1780,380,124,48,14,15,4,1,5,--,2,213,17,3,233,--,233,--,384,151,213,233,233,Algún campo sin dato,1,e170c70c0b63c30a7ba61f5cf4a126b3dc245b97e077d229482d61252e21367b,26/06/2023 02:18:13,ESCANER
13049,"Retalhuleu",11,"Nuevo San Carlos",8,1780,380,136,33,6,22,6,1,6,2,--,212,17,5,234,--,234,--,380,146,212,234,234,Algún campo sin dato,1,63281c7f73bcc182fbebe0b0aa97444fae302a5f81275938780672ff5f35519f,26/06/2023 02:45:49,ESCANER
13050,"Retalhuleu",11,"Nuevo San Carlos",8,1780,380,117,56,6,17,4,1,3,--,2,206,20,2,228,--,228,--,380,152,206,228,228,Algún campo sin dato,1,ea84eb74bbcf27c0c3e58c2383da1c737e9db6707babda88d49c1bd456bfb478,26/06/2023 02:20:33,ESCANER
13051,"Retalhuleu",11,"Nuevo San Carlos",8,1780,380,123,55,8,12,6,--,3,--,--,207,8,--,215,--,215,--,380,165,207,215,215,Algún campo sin dato,1,0ce3122a5d9b536234fd1111ecaa51c16f8f60118003ff9b344ffbc1cb7885ab,26/06/2023 02:32:20,ESCANER
13052,"Retalhuleu",11,"Nuevo San Carlos",8,1780,380,134,40,9,16,3,1,1,--,--,204,7,1,212,--,212,--,380,168,204,212,212,Algún campo sin dato,1,682ddca3b53b70b73c92a5d6f3fc6c40bb31f9d95e7dfe289ccc5989c03d057b,26/06/2023 02:34:21,ESCANER
