TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
61,61,100.0000,61,100.0000,0,23210,14146,60.9478

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,MLP,VALOR,VAMOS,VIVA,BIEN,CC EL CAMINO,TODOS,AZUL,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13070,"Retalhuleu",11,"El Asintal",9,1784,400,7,9,49,78,13,17,7,2,1,65,248,17,7,272,0,272,1,397,125,248,272,272,,1,5fe5e9603131b374a1c958568f2d55a122114d00db3e03e460d15e28dc90edec,26/06/2023 05:58:27,ESCANER
13071,"Retalhuleu",11,"El Asintal",9,1784,400,7,17,49,80,16,21,4,0,0,63,257,13,7,277,0,277,1,400,123,257,277,277,,1,3efa017b66c560a346974a60e5cad720e49f8329f376c6a5e16848579deab5c2,26/06/2023 00:34:04,ESCANER
13072,"Retalhuleu",11,"El Asintal",9,1784,400,13,21,49,76,12,19,6,1,0,57,254,30,7,291,0,291,--,400,109,254,291,291,Algún campo sin dato,1,183d821b6918bcea4edab4460a1fc6a1e3cd859313a9132b1fc3a3b02226884c,26/06/2023 02:00:37,ESCANER
13073,"Retalhuleu",11,"El Asintal",9,1784,400,7,24,41,58,11,26,7,0,1,59,234,26,6,266,0,266,--,400,134,234,266,266,Algún campo sin dato,1,b8232d451cdfd4b537f2ddaf343638d720a070b4fffe072b4cbca9fd12265617,26/06/2023 04:11:59,ESCANER
13074,"Retalhuleu",11,"El Asintal",9,1784,400,4,22,45,77,16,25,8,0,0,46,243,24,9,276,0,276,--,400,124,243,276,276,Algún campo sin dato,1,be802ee012380f6b281ec21ca84ecb6585f420ec8b075fc4990432fef8af8c12,26/06/2023 04:05:00,ESCANER
13075,"Retalhuleu",11,"El Asintal",9,1784,400,11,9,42,67,14,23,5,0,1,78,250,13,1,264,0,264,--,400,136,250,264,264,Algún campo sin dato,1,7979b1d572ccfbcbad1ed2632a2fa963e945a8df387fa98bcbcc13b0179e4f96,26/06/2023 01:58:02,ESCANER
13076,"Retalhuleu",11,"El Asintal",9,1784,400,9,15,52,83,6,33,9,0,0,63,270,25,4,299,0,299,--,400,101,270,299,299,Algún campo sin dato,1,42cf7e2d725f7989cf5818778614c6003504e9e41c2b639711dd2bb0b4ebca49,26/06/2023 03:30:46,ESCANER
13077,"Retalhuleu",11,"El Asintal",9,1784,400,5,17,56,73,13,26,7,1,1,66,265,17,5,287,0,287,--,400,113,265,287,287,Algún campo sin dato,1,db47fda7793a7fb5e888d914575c6ea30bc3ebd0ccd35e8caf72cf2b2824fddf,26/06/2023 01:12:22,ESCANER
13078,"Retalhuleu",11,"El Asintal",9,1784,400,10,14,52,70,10,27,12,0,1,56,252,21,4,277,0,277,--,400,123,252,277,277,Algún campo sin dato,1,01f746a0773a8b45b562bae705df244ca3d668cf1580b477f11c22741070a91f,26/06/2023 02:10:06,ESCANER
13079,"Retalhuleu",11,"El Asintal",9,1784,400,3,14,48,66,6,25,6,1,0,47,216,14,2,232,0,232,--,400,168,216,232,232,Algún campo sin dato,1,03cd5164ccbc3eaa7e75e81c8cfeb65479219a367c16078390e7f3c7d5f17785,26/06/2023 02:01:46,ESCANER
