TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
83,83,100.0000,83,100.0000,0,30187,18913,62.6527

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNIONISTA,CUM,TODOS,ELEFANTE,PODEMOS,VICTORIA,CREO,VIVA,SEMILLA,PHG,UR,CABAL,PR,AZUL,VOS,PPN,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13131,"San Marcos",12,"San Marcos",1,1790,400,15,61,76,14,1,7,5,1,14,11,3,8,0,3,7,12,11,249,14,1,264,0,264,0,400,136,249,264,264,,1,e6eb0240b094a242504ca2f64c60791c32bdd8ebe4d9360a21dba95de7a14ec6,26/06/2023 01:25:10,ESCANER
13132,"San Marcos",12,"San Marcos",1,1790,400,8,64,62,15,0,8,9,4,17,14,1,14,1,10,4,15,10,256,18,0,274,1,275,0,400,125,256,274,275,,1,e38ea7162cf462e632c1009e9e48904fce754a7e24863e366b4cc30b6f7f3d81,26/06/2023 01:25:12,ESCANER
13133,"San Marcos",12,"San Marcos",1,1790,400,12,60,61,21,2,14,7,1,14,16,4,14,1,3,4,17,7,258,8,1,267,4,271,0,400,129,258,267,271,,1,ed987764a4ac60076f7a7b0634d81d777e1743d0d6722c7a896b98f3448f4019,26/06/2023 00:29:52,ESCANER
13134,"San Marcos",12,"San Marcos",1,1790,365,13,46,53,8,2,5,10,4,12,20,0,15,2,1,5,18,5,222,10,1,233,0,233,--,363,130,219,230,230,Sumas Asentadas sin cuadrar,1,41d7af05b998b13ea37f12d73f97781910d007a8053105772bc9a84fe37de0f2,26/06/2023 05:23:37,ESCANER
13135,"San Marcos",12,"San Marcos",1,1790,364,7,36,65,3,1,8,6,0,17,17,2,9,0,2,5,13,7,198,4,0,202,0,202,0,364,159,198,202,202,,1,cf99f9b7ba1f43f18b227ca938ce60258c65f4cc363f093f2d44712889e0cf92,26/06/2023 02:02:31,ESCANER
13136,"San Marcos",12,"San Marcos",1,1791,400,10,74,80,15,0,10,4,2,9,22,5,6,2,4,7,1,16,267,114,1,282,0,282,--,400,118,267,382,382,Sumas Asentadas sin cuadrar,1,bed681aba54bfe80f0a8829c23076646c9814bcc0fa39c618b30c3de1db01456,26/06/2023 04:40:33,ESCANER
13137,"San Marcos",12,"San Marcos",1,1791,400,7,75,94,11,2,6,6,6,10,12,5,6,3,1,8,7,12,272,16,6,294,0,294,--,400,106,271,293,293,Sumas Asentadas sin cuadrar,1,dbf02828ebf8517804ea1c38e8ce81d439d0a47863d6f2498c635199c0863e7b,26/06/2023 03:00:59,ESCANER
13138,"San Marcos",12,"San Marcos",1,1791,400,10,64,74,15,1,22,5,7,13,9,2,6,2,1,7,5,13,256,14,3,273,0,273,0,400,127,256,273,273,,1,9a6e4bea688215ffeed4035d0921d2938b5ea5f132b3541bb560fb9c2e97f362,26/06/2023 02:00:53,ESCANER
13139,"San Marcos",12,"San Marcos",1,1791,400,7,54,111,15,2,7,10,0,12,18,3,5,0,3,8,6,16,277,14,2,293,0,293,0,396,103,277,293,293,,1,6d94ddbce1c9e9bed9cb5b26dd5dc01b0024748536d80cd9fa12ae85d344148b,25/06/2023 22:57:19,ESCANER
13140,"San Marcos",12,"San Marcos",1,1791,400,6,61,89,11,1,11,3,2,14,8,3,4,0,1,12,4,9,239,10,1,250,0,250,0,398,148,239,250,250,,1,58118aa36f400c922d941f430a9ea2166ad3c9c00ded01a79c0ec5a7acb4cbe2,25/06/2023 22:53:00,ESCANER
13141,"San Marcos",12,"San Marcos",1,1791,400,5,61,103,12,1,5,4,2,15,12,4,11,2,1,11,3,10,262,9,1,272,0,272,0,401,129,262,272,272,,1,2e3d8f1eca1d9898f05913bd0ba78f25068b8cba74b5e85e0eac0af465638805,26/06/2023 01:51:36,ESCANER
13142,"San Marcos",12,"San Marcos",1,1792,400,8,74,87,10,1,10,10,1,5,18,2,10,0,2,8,2,10,258,12,8,278,0,278,1,397,118,258,278,278,,1,86cfecd10e1f0693bcaeac8316a43f70f2854755f514e12dda6a9cf16bab75ec,26/06/2023 01:16:59,ESCANER
13143,"San Marcos",12,"San Marcos",1,1792,400,5,73,97,12,1,7,10,1,9,10,3,9,1,2,7,4,9,260,7,0,267,0,267,0,397,130,260,267,267,,1,9e6d15379431e6a2682d3913a209947ea6775d2a2cd515c403ad238aa46c5138,26/06/2023 01:20:55,ESCANER
13144,"San Marcos",12,"San Marcos",1,1792,400,4,51,103,5,1,9,3,4,7,9,4,10,1,4,4,2,15,236,19,4,259,0,259,0,400,141,236,259,259,,1,85283c375ccca10e7162d12c2552997c3c08ed88c3c76532be5cf52688301ca1,26/06/2023 00:16:27,ESCANER
13145,"San Marcos",12,"San Marcos",1,1792,400,10,57,81,6,0,18,8,1,9,10,5,6,2,3,13,2,11,242,3,0,245,2,247,--,400,153,242,245,247,Algún campo sin dato,1,dde942a40ac02c7c564a1b10d4c0fccb3c4d15a68c12f1696778a27b345aca1b,26/06/2023 00:31:14,ESCANER
