TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
86,86,100.0000,86,100.0000,0,31570,17878,56.6297

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,WINAQ,PHG,UNE,SEMILLA,U R N G - MAIZ,CABAL,MLP,VAMOS,VICTORIA,TODOS,PODEMOS,CREO,ELEFANTE,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13362,"San Marcos",12,"Comitancillo",4,1830,400,1,34,45,68,13,4,35,2,44,1,0,1,0,0,1,249,9,5,263,0,263,0,400,137,249,263,263,,1,db1f06c1db2af77dc44f10b707092458768e0795cb31ded5c2af1dd12a25ce67,26/06/2023 01:19:22,ESCANER
13363,"San Marcos",12,"Comitancillo",4,1830,400,2,26,72,62,11,3,35,2,42,4,1,0,0,0,0,260,15,6,281,0,281,0,400,119,260,281,281,,1,a813ef893ae878d8ddcee985645d46d99717612851478e266bc893ce94a05bad,26/06/2023 01:27:01,ESCANER
13364,"San Marcos",12,"Comitancillo",4,1830,400,7,27,76,65,12,2,37,3,37,3,1,0,0,2,0,272,10,4,286,0,286,0,400,114,272,286,286,,1,1cdb2b88ae568de76589d32dcee6b9020b91b4e81b5483b9a589a2810341a019,26/06/2023 01:35:45,ESCANER
13365,"San Marcos",12,"Comitancillo",4,1830,400,2,18,71,57,10,3,45,3,45,5,0,0,1,0,0,260,10,1,271,0,271,0,400,129,260,271,271,,1,8876968c7531e96eda6188fcc7f956e2e0e060e7b00b26fcd78144a459b94221,26/06/2023 00:43:13,ESCANER
13366,"San Marcos",12,"Comitancillo",4,1830,400,2,35,55,64,12,3,23,3,43,1,0,3,0,0,1,245,5,7,257,0,257,0,400,143,245,257,257,,1,c6b34835e21a352c391a2ed1ea1374126c79d26156eb970260733aaa82642175,25/06/2023 23:52:50,ESCANER
13367,"San Marcos",12,"Comitancillo",4,1831,400,3,24,50,61,11,1,31,4,32,3,0,0,2,0,1,223,4,3,230,0,230,0,400,170,223,230,230,,1,e6be66c5a5d4fda0207ed495e3227ca5e4088a1ee3352499d4e2832a3a920329,26/06/2023 01:23:30,ESCANER
13368,"San Marcos",12,"Comitancillo",4,1831,372,5,25,32,55,9,2,29,2,19,0,0,0,0,0,1,179,1,1,181,0,181,0,372,191,179,181,181,,1,d41aeb4a366c4ef85a715a0cd4cf377a2225e97e5a76bee1ae1f5d77031e4fd4,26/06/2023 00:36:23,ESCANER
13369,"San Marcos",12,"Comitancillo",4,1831,371,0,21,47,50,20,0,19,4,31,1,0,0,0,0,0,193,2,0,195,1,196,--,368,175,193,195,196,Algún campo sin dato,1,ec732d7bfe3badc1341d064a40f2feea034058f331d3971eb52c5eb5d645d129,25/06/2023 23:41:49,ESCANER
13370,"San Marcos",12,"Comitancillo",4,1832,400,8,34,67,53,3,1,25,1,36,2,0,0,1,0,1,232,14,13,259,0,259,0,400,141,232,259,259,,1,f673a13dba9a8b62dc0e309df90c29ea2b7aac8b523e0d17512ffd6f861e5b46,26/06/2023 01:49:42,ESCANER
13371,"San Marcos",12,"Comitancillo",4,1832,400,6,41,82,55,8,3,22,1,40,1,1,0,0,0,0,260,12,9,281,0,281,0,400,119,260,281,281,,1,21bd23fd90528987e2c7b6448061957ee0a711bedd995bb70d0d2fc7d4696e1d,26/06/2023 03:36:26,ESCANER
13372,"San Marcos",12,"Comitancillo",4,1832,400,3,29,65,54,11,0,17,1,41,1,0,1,1,0,0,224,6,2,232,0,232,0,400,168,224,232,232,,1,7b4a644bb5545b21bf0e8d8fefb38c604f8adc69800b1ac01bf3a647ba82814b,26/06/2023 00:28:42,ESCANER
13373,"San Marcos",12,"Comitancillo",4,1833,340,9,21,32,37,4,1,12,0,19,2,0,0,3,0,0,140,5,1,146,0,146,0,340,194,140,146,146,,1,3809186bd90e2389087f9c4784e9af5a15aa8ef8e16e1e9cb9d74778920292be,25/06/2023 23:32:36,ESCANER
13374,"San Marcos",12,"Comitancillo",4,1833,340,1,13,34,32,4,0,14,1,29,0,0,0,1,0,0,129,6,1,136,0,136,0,340,204,129,136,136,,1,d5a7c98cf255a8bb263de80df86950f1dea68d04f4ba294e30961759bb807b7d,25/06/2023 23:39:01,ESCANER
13375,"San Marcos",12,"Comitancillo",4,1834,380,4,7,25,109,3,1,14,0,39,1,1,0,0,0,1,205,10,6,221,0,221,0,380,159,205,221,221,,1,046586027121d086167120bcc7eec2aa77d5f742357650340fcb7e6d1cc54c8c,26/06/2023 04:20:20,ESCANER
13376,"San Marcos",12,"Comitancillo",4,1834,380,1,13,41,131,4,3,14,0,36,1,0,1,0,0,0,245,10,6,261,0,261,0,380,119,245,261,261,,1,9d23b72e35791389c8e997a73800d19032480038cd9bed39dbc9c50ec6e5d692,26/06/2023 02:38:11,ESCANER
13377,"San Marcos",12,"Comitancillo",4,1834,380,1,6,50,126,4,4,14,2,33,0,0,0,1,0,0,241,11,19,271,0,271,0,389,118,241,271,271,,1,71e0c3e52f17c16621d03af712514d0eb46dc9f21b58df09659df5762caba3e5,26/06/2023 04:24:41,ESCANER
13378,"San Marcos",12,"Comitancillo",4,1834,380,2,9,33,132,7,0,13,1,35,1,1,1,1,0,0,236,13,9,258,0,258,0,380,122,236,258,258,,1,797bffbd74bd01b3caf5eae3be717d05c3ec0525bbfec11e375c6e54c5b0bcbe,26/06/2023 01:06:50,ESCANER
13379,"San Marcos",12,"Comitancillo",4,1834,380,1,5,33,125,6,1,19,2,32,3,0,0,0,0,1,228,18,6,252,24,252,--,380,128,228,252,276,Sumas Asentadas sin cuadrar,1,1bbf54e461665ab95a41bc94dcf906a356ebafe08cbc5671d8fda87fd7a50102,26/06/2023 05:51:35,ESCANER
13380,"San Marcos",12,"Comitancillo",4,1834,380,4,6,35,111,4,2,23,1,24,2,1,0,0,0,0,213,4,5,222,0,222,0,380,158,213,222,222,,1,920585fb5a4302c5895aa36a76b7960459b5d17d59bff34db7f5cb9dc4f54106,26/06/2023 00:32:35,ESCANER
