TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
69,69,100.0000,68,98.5507,1,24355,16541,67.9162

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CREO,MLP,UNE,BIEN,AZUL,TODOS,WINAQ,VIVA,VAMOS,PODEMOS,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13448,"San Marcos",12,"San Miguel Ixtahuacán",5,1854,400,146,1,2,73,6,58,4,3,1,0,0,294,15,5,314,0,314,--,400,86,294,314,314,Algún campo sin dato,1,15656c2c9d7ecf643dce897072616f0ce5a1cddb79386831cc4ddee8a703ef4b,26/06/2023 03:59:47,MOVIL
13449,"San Marcos",12,"San Miguel Ixtahuacán",5,1854,400,123,0,6,70,10,76,0,2,2,0,0,289,19,6,314,0,314,--,400,86,289,314,314,Algún campo sin dato,1,48d93a79caddcdd745b32f729a9e4cd4219edfca7845295ed0b60dbb87174633,26/06/2023 03:50:17,MOVIL
13450,"San Marcos",12,"San Miguel Ixtahuacán",5,1854,400,148,2,2,72,6,54,1,3,3,--,--,290,24,3,317,0,317,0,400,83,291,318,318,Sumas Asentadas sin cuadrar,1,789d5a09d4c66db66a10a40453f58fc111f4e0901eea6abb85a2405aa3357973,27/06/2023 14:23:18,ESCANER
13451,"San Marcos",12,"San Miguel Ixtahuacán",5,1854,400,113,0,2,135,5,36,2,2,2,0,0,297,17,3,317,0,317,--,400,83,297,317,317,Algún campo sin dato,1,fbc2dbeba7d68f969db63f962c6ac4bd5d0fee31e79d831bbb81b3a40729491d,26/06/2023 01:40:58,ESCANER
13452,"San Marcos",12,"San Miguel Ixtahuacán",5,1854,400,129,2,0,93,6,58,1,3,4,0,0,296,16,5,317,0,317,--,400,83,296,317,317,Algún campo sin dato,1,b8ee366faa9d47efed487cc775162a65ffb3b886771f839b5979e0053dddff71,26/06/2023 00:49:50,ESCANER
13453,"San Marcos",12,"San Miguel Ixtahuacán",5,1854,400,106,0,0,94,7,43,1,0,0,0,0,251,19,4,274,0,274,--,400,126,251,274,274,Algún campo sin dato,1,0f7b45df697bc57553c15ba77b8fd661b6074ab6bcb74eac408608a05f312a04,26/06/2023 02:03:06,ESCANER
13454,"San Marcos",12,"San Miguel Ixtahuacán",5,1854,400,107,2,2,74,4,35,5,2,4,0,0,235,12,6,253,0,253,0,400,147,235,253,253,,1,7e128c95b29ec3bd1aeeea593728a607004842a2fc5a0e395fc205d4be5c9bcf,26/06/2023 11:31:14,ESCANER
13455,"San Marcos",12,"San Miguel Ixtahuacán",5,1854,400,132,2,0,72,0,28,2,3,2,1,0,242,22,8,272,0,272,--,400,128,242,272,272,Algún campo sin dato,1,52e6bd31dbdde63e984921cc7bcfa2a9e98ed2c69a25e84c7fa103f432a96bef,26/06/2023 02:10:05,ESCANER
13456,"San Marcos",12,"San Miguel Ixtahuacán",5,1854,400,127,0,2,74,7,45,1,2,1,0,0,259,10,3,0,0,272,--,400,128,259,272,272,Algún campo sin dato,1,cef339138add04c724ac50fc0748a9478b1fca432b32d92e841d96b0dd4971f5,26/06/2023 01:28:43,ESCANER
13457,"San Marcos",12,"San Miguel Ixtahuacán",5,1855,400,127,1,0,69,5,47,0,4,4,0,0,257,9,0,266,0,266,--,400,134,257,266,266,Algún campo sin dato,1,150ea0358d9a93e3e52fa1ad49a5791071698fc3a53dc077ac180330959b0bba,26/06/2023 01:54:56,ESCANER
13458,"San Marcos",12,"San Miguel Ixtahuacán",5,1855,400,103,3,3,81,4,48,2,3,1,0,0,248,19,3,270,1,271,1,400,129,248,270,271,,1,f9580b6d835c649984bddf1c6c8a565a7812eb0fef7db9ebd420ce4569c3e065,26/06/2023 01:10:56,ESCANER
13459,"San Marcos",12,"San Miguel Ixtahuacán",5,1855,400,95,0,0,61,4,55,0,2,2,0,0,219,10,1,230,0,230,0,400,170,219,230,230,,1,fdf6bf116578c1287cb3292d26cfa026fc4d614459b70128d2b1832019da7745,25/06/2023 21:30:11,ESCANER
13460,"San Marcos",12,"San Miguel Ixtahuacán",5,1856,400,103,0,2,79,5,40,5,1,1,0,0,236,7,1,244,0,244,--,400,153,236,244,244,Algún campo sin dato,1,1e354f6707f1e067bc9632241dec278fb8dfc810179fb5f066366c1ff135cb86,26/06/2023 00:33:02,ESCANER
13461,"San Marcos",12,"San Miguel Ixtahuacán",5,1856,400,102,0,0,57,2,61,1,2,0,0,0,225,2,0,227,0,227,--,400,173,225,227,227,Algún campo sin dato,1,10268deb22fd8aa36b34fd82f780ac3dc2233ac82d06ed7b407a214f5366dd2b,26/06/2023 00:02:54,ESCANER
13462,"San Marcos",12,"San Miguel Ixtahuacán",5,1857,269,76,0,0,61,3,26,1,0,0,0,0,167,3,0,170,0,170,--,269,99,167,170,170,Algún campo sin dato,1,5dd8e9bca56af1c30dbf18efb4632708ae42cbb0ac2ee1fae743728c17ce7663,25/06/2023 23:28:27,ESCANER
13463,"San Marcos",12,"San Miguel Ixtahuacán",5,1857,269,65,1,0,37,2,28,0,3,0,0,0,136,4,0,140,0,140,--,269,129,136,140,140,Algún campo sin dato,1,059fc87190ba057d4edd380657a667ae26828e9b7c56e21939f71f0825154777,25/06/2023 22:33:16,ESCANER
13464,"San Marcos",12,"San Miguel Ixtahuacán",5,1858,371,118,0,4,50,2,46,2,0,1,0,0,223,23,11,257,0,0,--,371,114,223,257,257,Algún campo sin dato,1,4dccc530422ae468cfccf65c22c7bb8bcdc24d4147b1351a63c9e5f882ba5b73,26/06/2023 01:37:36,ESCANER
13465,"San Marcos",12,"San Miguel Ixtahuacán",5,1858,371,119,0,0,47,1,47,0,0,0,0,0,214,8,0,222,0,222,--,371,149,214,222,222,Algún campo sin dato,1,0930bd38df4c8638aa597b86c9624baffbba4e9334862c099c8b98fdc958d192,26/06/2023 01:26:00,ESCANER
13466,"San Marcos",12,"San Miguel Ixtahuacán",5,1859,380,131,3,5,71,2,25,1,0,2,0,1,241,19,13,273,0,273,--,380,107,241,273,273,Algún campo sin dato,1,3754d9e9278c8a71fe1f66df0913179a22b46c02b41c661c1a5e0a439e0f4b3c,26/06/2023 00:12:49,ESCANER
13467,"San Marcos",12,"San Miguel Ixtahuacán",5,1859,380,131,0,2,62,3,38,1,3,3,0,0,243,22,9,274,0,274,--,380,106,243,274,274,Algún campo sin dato,1,3658cc59210d01c0c6bd2c87ac7eba5e3f1d819dec6f3d938346b16d8178d60b,26/06/2023 00:39:01,ESCANER
13468,"San Marcos",12,"San Miguel Ixtahuacán",5,1859,380,115,0,3,93,2,25,4,6,3,0,0,251,27,17,295,0,295,--,380,85,251,295,295,Algún campo sin dato,1,e6671759b85e737b149aa0f764f99d72348f4bca47c785c69f25cdd59def996d,26/06/2023 02:42:10,ESCANER
13469,"San Marcos",12,"San Miguel Ixtahuacán",5,1859,380,136,1,2,67,6,22,1,2,2,0,0,239,16,1,256,0,256,--,380,124,239,256,256,Algún campo sin dato,1,b095472efbc0873d014488bf04fd77c0258d808a542d383610eb6f0f81257eb6,26/06/2023 02:57:40,ESCANER
13470,"San Marcos",12,"San Miguel Ixtahuacán",5,1859,380,112,0,4,72,6,34,4,3,2,0,1,238,23,5,266,0,266,--,380,114,238,266,266,Algún campo sin dato,1,855944f0750315f0b4ecfb340f72890126fc2596a4dfdeae4d93909c6cf37174,26/06/2023 00:34:03,ESCANER
