TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
98,97,98.9795,96,97.9591,1,34446,18528,53.7885

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,MLP,ELEFANTE,BIEN,AZUL,UNE,WINAQ,PODEMOS,VICTORIA,VIVA,VAMOS,VOS,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13517,"San Marcos",12,"Concepción Tutuapa",6,1869,400,124,2,26,63,1,10,2,0,0,1,0,0,0,229,10,5,244,0,244,--,400,156,229,244,244,Algún campo sin dato,1,b556f991dd4821efebb70e658ec6df9f09d661fa48963286720493b329c8eead,25/06/2023 23:24:59,ESCANER
13518,"San Marcos",12,"Concepción Tutuapa",6,1869,400,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
13519,"San Marcos",12,"Concepción Tutuapa",6,1869,400,126,2,15,85,4,6,2,0,3,5,0,0,0,248,20,8,276,0,276,--,400,124,248,276,276,Algún campo sin dato,1,b4e40f849ab9d6597def7454e9971b70fd7218a1603eeac7643d4acc882290ac,25/06/2023 23:06:22,ESCANER
13520,"San Marcos",12,"Concepción Tutuapa",6,1869,400,125,0,18,108,0,4,1,1,3,1,1,0,0,262,24,8,294,0,294,--,400,106,262,294,294,Algún campo sin dato,1,54eb793a343b69d41af74c326fc67eddb78fc9b2851a61c83163f062effe5aea,25/06/2023 22:52:57,ESCANER
13521,"San Marcos",12,"Concepción Tutuapa",6,1869,400,137,3,25,79,3,11,2,0,1,5,5,1,0,272,8,1,281,0,281,0,400,119,272,281,281,,1,3849fe492cabfe0fdd2618b730180ca3fbfc6e5b29f4ea0d021ac8adbec2bb65,25/06/2023 22:23:14,ESCANER
13522,"San Marcos",12,"Concepción Tutuapa",6,1869,400,98,2,17,74,1,8,0,0,2,2,0,0,0,204,7,2,213,0,213,0,400,187,204,213,213,,1,eba38fe66929707fe8ed9d57195884ffe7fd3175ae6705d01bdef8ffaec262dd,25/06/2023 22:09:35,ESCANER
13523,"San Marcos",12,"Concepción Tutuapa",6,1869,400,101,1,25,75,4,3,2,0,2,4,2,2,0,221,10,3,234,0,234,--,400,166,221,234,234,Algún campo sin dato,1,4008d7559af21cffa75964dd378418c8de3f5adc5d593f676dfae4d002d98bb4,25/06/2023 22:24:12,ESCANER
13524,"San Marcos",12,"Concepción Tutuapa",6,1869,400,108,1,14,68,3,9,0,0,1,2,0,1,0,207,12,7,226,0,226,--,400,174,207,226,226,Algún campo sin dato,1,6acbc45698c898997e425ba2cf99bdc749bd3a784f3a0e2b23e006a317df9b19,25/06/2023 23:40:26,ESCANER
13525,"San Marcos",12,"Concepción Tutuapa",6,1869,400,89,1,18,68,3,6,0,0,3,2,0,2,0,192,10,4,206,0,206,--,400,194,192,206,206,Algún campo sin dato,1,11a0b99350410c878ad7ea5e19011cbcdc159efcfd413abfb9ee300316216fd7,25/06/2023 23:25:31,ESCANER
13526,"San Marcos",12,"Concepción Tutuapa",6,1869,400,111,1,17,83,1,8,3,0,2,0,0,0,0,226,3,0,229,0,--,--,400,171,226,229,229,Algún campo sin dato,1,dcc695d8c201331ceb7f415f1de7473f06a384b4b954dec664342fc044940409,25/06/2023 22:50:59,ESCANER
13527,"San Marcos",12,"Concepción Tutuapa",6,1869,251,61,1,2,54,0,5,0,0,0,1,1,1,0,126,1,0,127,0,127,--,251,124,126,127,127,Algún campo sin dato,1,95d684a64daa371716b5bfc7c4e920e97bf91a1c7e849efe03e784edb1f6ff20,25/06/2023 22:45:23,ESCANER
13528,"San Marcos",12,"Concepción Tutuapa",6,1869,250,49,1,8,43,0,2,0,0,0,0,0,2,0,105,1,3,109,0,109,--,250,141,105,109,109,Algún campo sin dato,1,aec67a5019a46fd7bf273ff69986e3497231317f220cf48460ee5e8e9ccffb18,25/06/2023 22:25:48,ESCANER
13529,"San Marcos",12,"Concepción Tutuapa",6,1870,376,84,1,31,97,2,2,1,1,1,2,3,1,0,226,20,8,254,0,254,--,376,122,226,254,254,Algún campo sin dato,1,8d2201f9e36f7bbc152806965318af409617304a053b5b682ac5dbc441a1474c,26/06/2023 00:53:50,ESCANER
13530,"San Marcos",12,"Concepción Tutuapa",6,1870,376,71,1,24,76,1,1,1,0,1,0,0,0,0,177,3,6,186,0,186,--,376,190,176,185,185,Sumas Asentadas sin cuadrar,1,74da5169f8f35b160fa84b27e9819de73aa05b9e41a6066772fc20e84aa8c19d,26/06/2023 00:49:28,ESCANER
