TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
115,114,99.1304,113,98.2608,1,40227,17509,43.5254

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,ELEFANTE,WINAQ,CABAL,UNIONISTA,VIVA,VAMOS,CREO,SEMILLA,PODEMOS,UNE,PPN,UR,VOS,TODOS,AZUL,VALOR,BIEN,PIN,P A N,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13615,"San Marcos",12,"Tacaná",7,1886,400,2,12,3,29,2,9,39,3,11,4,5,4,3,6,37,0,0,23,1,1,194,6,7,207,0,207,--,400,193,194,207,207,Algún campo sin dato,1,b898896eb6437fadff677f1b8cd3dc95d6246c0a2bc99c3e73639a4a401d5bc0,26/06/2023 00:40:23,ESCANER
13616,"San Marcos",12,"Tacaná",7,1886,400,3,22,2,25,2,7,26,4,7,3,13,11,3,7,67,2,2,19,2,1,228,7,12,247,0,247,--,400,153,228,247,247,Algún campo sin dato,1,ab7638c22c9057164fa5c088fb346627c5ae5c1f300c4fefd3f1e14c0d91f9bc,26/06/2023 02:19:38,ESCANER
13617,"San Marcos",12,"Tacaná",7,1886,400,9,9,5,42,1,1,44,6,4,3,13,18,2,14,22,1,2,22,1,1,220,14,10,244,0,244,--,396,152,220,244,244,Algún campo sin dato,1,5cde31059a707d81d49ed5d49e981920075b497b37bd19450b737354fb1d4f33,26/06/2023 01:30:01,ESCANER
13618,"San Marcos",12,"Tacaná",7,1886,400,4,16,3,35,1,2,26,12,10,4,14,21,5,2,31,5,2,16,2,3,214,15,11,240,0,240,--,400,160,214,240,240,Algún campo sin dato,1,146f77e844c6e5bb75de6aef329c0a776ccbdc3270fa087b105338f981c04cd2,26/06/2023 01:17:25,ESCANER
13619,"San Marcos",12,"Tacaná",7,1886,400,4,15,4,35,0,8,34,12,7,2,25,11,4,2,31,5,1,12,1,3,216,11,7,234,0,234,--,400,166,216,234,234,Algún campo sin dato,1,2e959174608d8082e8558962cf85e7207f11685dc3dddc38a574a503fdd94c4f,26/06/2023 01:31:04,ESCANER
13620,"San Marcos",12,"Tacaná",7,1886,400,2,14,5,23,3,4,45,17,13,3,16,7,3,6,26,2,3,16,0,1,206,13,15,234,0,234,0,400,166,209,237,237,Sumas Asentadas sin cuadrar,1,4c8be7c38ad327ec3f6f662682485a0bdc7354e07cd6957091b2f601ab4ae480,26/06/2023 01:33:14,ESCANER
13621,"San Marcos",12,"Tacaná",7,1886,400,0,15,7,28,1,13,53,6,12,11,10,2,3,19,30,0,1,20,2,1,234,13,13,260,0,260,--,400,140,234,260,260,Algún campo sin dato,1,bd42a2a745ac58edf40d9c751cb5be149b89e8aa7ccd7cc45083e8d876b1bc64,26/06/2023 00:16:28,ESCANER
13622,"San Marcos",12,"Tacaná",7,1886,400,1,18,4,37,0,5,33,10,8,5,17,16,1,11,30,2,0,12,2,5,217,10,3,230,0,230,--,400,170,217,230,230,Algún campo sin dato,1,7dd47bc552feadd53aee28fac3890b1a891473aa50b68de1d3db4ed05b905894,26/06/2023 01:26:55,ESCANER
13623,"San Marcos",12,"Tacaná",7,1886,400,1,11,3,17,0,1,28,6,4,3,3,5,1,3,31,0,0,12,1,3,133,4,3,140,0,140,--,400,260,133,140,140,Algún campo sin dato,1,ab870592e58dc601d26c0ad309dcc110d24212cde021c038dde10b4050cf966c,25/06/2023 22:26:33,ESCANER
13624,"San Marcos",12,"Tacaná",7,1886,400,0,10,5,22,1,4,30,8,7,2,11,8,2,8,35,0,1,15,2,6,180,9,1,190,0,190,--,400,210,177,187,187,Sumas Asentadas sin cuadrar,1,1ba3a04736a793b0709a4ab0fd0e103c4ebf3a6ae76f79903b216f6065178972,25/06/2023 21:54:58,ESCANER
