TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
27,27,100.0000,27,100.0000,0,9941,6310,63.4744

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,CREO,PHG,UNE,BIEN,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13730,"San Marcos",12,"Sibinal",8,1907,400,91,6,4,35,39,85,260,7,6,273,0,273,0,400,127,260,273,273,,1,c33876a76406d1cc26c5cb216c9f33e66ed54cfc4618893df8e730d5af987139,26/06/2023 01:07:19,ESCANER
13731,"San Marcos",12,"Sibinal",8,1907,400,88,9,4,46,41,64,252,11,6,269,0,269,0,400,131,252,269,269,,1,7cbb3ba0048acef053f0400634bc1ff516ee77343b50e2e09526ca9f1dcfe083,25/06/2023 23:21:44,ESCANER
13732,"San Marcos",12,"Sibinal",8,1907,400,102,8,2,56,44,78,290,6,4,300,0,300,--,400,100,290,300,300,Algún campo sin dato,1,9af88af1ee7184727afb2c35f20bf4c12e3a51a214dbef7e39b706704fcb45f5,25/06/2023 22:22:28,ESCANER
13733,"San Marcos",12,"Sibinal",8,1907,400,68,12,5,78,40,75,278,11,8,297,0,297,1,400,103,278,297,297,,1,14e60029d0da1f9c2448b9da3f8394ba1cd4e5cb126110b3c7213e6adcf83ff7,26/06/2023 01:38:05,ESCANER
13734,"San Marcos",12,"Sibinal",8,1907,400,79,12,7,42,54,62,256,14,8,278,0,278,0,400,122,256,278,278,,1,14d71e94187864741bf477714198ec77afc05f71dd7f02e0385afc2b85da4c51,25/06/2023 23:54:30,ESCANER
13735,"San Marcos",12,"Sibinal",8,1907,400,92,7,10,18,122,57,306,15,4,325,0,325,1,400,75,306,325,325,,1,83c70cdc9dbe611639e0ca11986c3cbe939ef76f94101d0399b6986000638f0f,26/06/2023 01:22:11,ESCANER
13736,"San Marcos",12,"Sibinal",8,1907,400,127,3,12,32,67,60,301,6,10,317,0,317,0,400,83,301,317,317,,1,32cabe358f9e01cd1a15f2731ec218ebd855d3c96a977d31699438c1db63f26b,26/06/2023 00:14:25,ESCANER
13737,"San Marcos",12,"Sibinal",8,1907,400,139,3,3,60,16,52,273,8,10,291,0,291,0,400,109,273,291,291,,1,6a1e98be1397402dbf9a2cd92c6c3559135d2df0fb74f88d26986d24b16b187a,26/06/2023 00:52:33,ESCANER
13738,"San Marcos",12,"Sibinal",8,1908,400,133,4,13,29,39,56,274,9,6,289,0,289,0,398,109,274,289,289,,1,9514765de3be93cae982a7103daa69355ff94f2085b67cedbbc7f7f9c8e7dd16,26/06/2023 03:57:59,ESCANER
13739,"San Marcos",12,"Sibinal",8,1908,400,70,7,4,23,34,50,188,1,1,190,0,190,0,400,210,188,190,190,,1,8f9c671c0f1c2818afbc3b064977a6ea2201397bf3195697cd1d55aa53670f68,25/06/2023 23:58:38,ESCANER
