TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
71,71,100.0000,71,100.0000,0,25822,13287,51.4561

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CREO,PHG,UNE,CABAL,TODOS,AZUL,VICTORIA,VIVA,PODEMOS,PPN,VALOR,WINAQ,UR,MLP,ELEFANTE,BIEN,PODER,VAMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13757,"San Marcos",12,"Tajumulco",9,1915,400,10,3,29,127,14,1,20,3,7,6,2,1,3,0,0,2,2,10,240,20,3,263,0,263,--,400,137,240,263,263,Algún campo sin dato,1,3c418b5a315e07229c79e76867ac8b265c18c010d06f92970773320d018fb89d,26/06/2023 01:20:09,ESCANER
13758,"San Marcos",12,"Tajumulco",9,1916,400,9,12,33,110,29,1,7,6,3,1,1,1,2,0,0,1,1,17,234,21,6,261,0,261,0,400,139,234,261,261,,1,ade74fc77b7aa747cf8a1b09eb2bce9496db5751fc90ec82916801358a9f38b3,26/06/2023 05:30:42,MOVIL
13759,"San Marcos",12,"Tajumulco",9,1916,400,8,10,37,109,26,1,31,1,5,0,2,1,1,1,0,1,0,14,248,12,11,271,0,271,--,400,129,248,271,271,Algún campo sin dato,1,3bdaf05ff65db4ca0e4392eb5d59d1983b80443b9962c496a962effbd532a861,26/06/2023 03:14:47,MOVIL
13760,"San Marcos",12,"Tajumulco",9,1916,400,7,3,28,130,36,0,39,3,3,4,0,0,2,0,0,0,0,11,266,11,6,283,0,283,--,400,117,266,283,283,Algún campo sin dato,1,5b8e193c85e336987015eb2d0ed8ca7b80a3897c90c5b9d27df58c859519261e,26/06/2023 03:38:43,MOVIL
13761,"San Marcos",12,"Tajumulco",9,1916,400,10,6,44,119,34,2,19,1,4,6,1,2,0,0,0,0,1,16,266,16,7,289,0,289,--,397,109,265,288,288,Sumas Asentadas sin cuadrar,1,0bd3ca5026058bf4ef71d8b1f7d9684576a58fa110d65fa0a6f0b4c5d0241774,26/06/2023 04:10:52,MOVIL
13762,"San Marcos",12,"Tajumulco",9,1917,400,6,4,39,100,31,2,16,1,5,3,3,0,3,4,1,3,0,23,244,21,10,275,0,275,--,400,125,244,275,275,Algún campo sin dato,1,cbaaab1aac0419c4d0f89d88c511289d9260c7e3e35b5912633c2806ddd5ad77,25/06/2023 23:48:59,ESCANER
13763,"San Marcos",12,"Tajumulco",9,1918,400,11,3,37,114,31,2,22,2,5,4,1,2,2,0,1,2,2,20,261,22,7,261,0,290,0,400,110,261,290,290,Sumas Asentadas sin cuadrar,1,c362567781854d266bb6ad67c0733fa57fcadfb37c90c157d2ecaf76e73c3f5f,26/06/2023 04:26:32,MOVIL
13764,"San Marcos",12,"Tajumulco",9,1919,400,7,12,43,117,27,3,20,2,4,1,3,0,2,2,0,4,0,20,267,17,10,294,0,294,--,400,106,267,294,294,Algún campo sin dato,1,1fd0da3c9679b601082388d3a131d7c582a6d9269f00492b19542ff5c879b6fe,26/06/2023 03:10:26,ESCANER
13765,"San Marcos",12,"Tajumulco",9,1919,400,6,1,19,85,21,0,22,0,3,1,1,2,0,0,0,0,1,16,178,9,8,195,0,195,--,400,205,178,195,195,Algún campo sin dato,1,c441748cf47471b672f2f47aede26d1688ec76a7b03218bb0ab2054fbbfe9d3f,26/06/2023 03:18:18,ESCANER
13766,"San Marcos",12,"Tajumulco",9,1919,400,12,4,25,77,24,1,18,0,1,3,1,0,2,0,0,2,1,17,188,9,5,202,0,202,--,400,198,188,202,202,Algún campo sin dato,1,ea1acdbfb8c4b42b5d43dc818d709c44a7a5cc20d714049800479fa0b5a2e0c2,26/06/2023 03:06:00,ESCANER
13767,"San Marcos",12,"Tajumulco",9,1919,400,15,2,32,95,25,1,17,0,2,4,1,1,2,1,0,2,1,19,220,5,2,227,0,227,--,400,173,220,227,227,Algún campo sin dato,1,a08c191026bb922f493e217e6702b49a556c3a494f058b336c581b14bd39aeee,26/06/2023 03:32:14,ESCANER
