TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
52,52,100.0000,52,100.0000,0,19901,9143,45.9424

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,BIEN,C.C.T.,FCN-NACION,PODEMOS,AZUL,VIVA,PHG,CABAL,VOS,SEMILLA,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13828,"San Marcos",12,"Tejutla",10,1935,400,30,27,55,29,2,1,13,6,0,11,2,3,0,179,15,3,197,0,197,--,400,203,179,197,197,Algún campo sin dato,1,de20a06710a71ef1ca5ffa565056b9c821a7d20e3204ec2eaafd3853db1ef522,25/06/2023 23:15:54,ESCANER
13829,"San Marcos",12,"Tejutla",10,1935,400,41,29,39,41,1,2,3,0,1,7,2,1,1,168,15,4,187,0,187,--,400,213,168,187,187,Algún campo sin dato,1,567b381c165eb7867309d01662790bfdb81ba1f4f822cbb67c50670fbb02fa34,25/06/2023 21:25:14,ESCANER
13830,"San Marcos",12,"Tejutla",10,1935,400,40,20,58,31,1,0,6,3,1,5,3,3,1,172,17,3,192,0,192,--,400,205,172,192,192,Algún campo sin dato,1,3c689b4a04ac1d9715bfe8837a7b9c4892017aaea73f526b6e9a602b2998d50b,25/06/2023 23:22:33,ESCANER
13831,"San Marcos",12,"Tejutla",10,1935,400,42,24,19,35,3,5,6,1,0,9,6,2,0,152,11,1,164,0,164,--,400,236,152,164,164,Algún campo sin dato,1,5719d21597dff4f7fd42eb7655fa197dd043b0e781dde8d4b376dc203c608764,25/06/2023 22:47:01,ESCANER
13832,"San Marcos",12,"Tejutla",10,1935,400,35,34,30,57,2,1,8,2,0,6,4,3,0,182,20,1,203,0,203,--,400,197,182,203,203,Algún campo sin dato,1,d3eae0388d4e1571bb516e0f81dae3779b6986c8024bca3aae516ecb8a7ea884,25/06/2023 23:49:06,ESCANER
13833,"San Marcos",12,"Tejutla",10,1935,400,43,18,16,43,1,2,6,4,0,5,3,8,3,152,18,3,173,0,173,--,400,227,152,173,173,Algún campo sin dato,1,83a92a4f7c62233626dc058a283841f35323e5916623c9166a05d89b3d4523b2,25/06/2023 21:35:38,ESCANER
13834,"San Marcos",12,"Tejutla",10,1935,400,32,33,50,67,0,4,8,2,3,19,4,2,0,224,13,3,240,0,240,--,400,160,224,240,240,Algún campo sin dato,1,f60e7971cfe7b5bddc09231885e5b28387727bffe029e70520015964c12b820a,25/06/2023 21:45:45,ESCANER
13835,"San Marcos",12,"Tejutla",10,1935,400,41,18,39,77,1,5,11,5,3,25,5,5,0,235,11,0,246,0,246,--,388,142,235,246,246,Algún campo sin dato,1,13d9eb9817799f558a1a33e4ba6df553c0b2daff0375c0e7caefcc9078218619,26/06/2023 00:33:09,ESCANER
13836,"San Marcos",12,"Tejutla",10,1935,400,39,25,46,57,4,6,9,6,0,33,7,12,0,244,19,2,265,0,265,--,400,135,244,265,265,Algún campo sin dato,1,ee2a2851c1422ad76f0e0e2425300adbf0b5e4c06fa66bd7d96be88b8807c31c,25/06/2023 23:19:56,ESCANER
13837,"San Marcos",12,"Tejutla",10,1935,400,22,29,37,50,1,4,6,0,1,9,3,1,1,164,12,0,176,0,176,--,400,224,164,176,176,Algún campo sin dato,1,30800d64897314733a15493e356a2641c35dbaf736b0146a38454f0a7d15106d,25/06/2023 21:22:23,ESCANER
