TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
35,35,100.0000,34,97.1428,1,12450,9135,73.3734

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,PHG,UNE,CABAL,PPN,CREO,VIVA,VALOR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13880,"San Marcos",12,"San Rafael Pie De La Cuesta",11,1945,400,124,119,0,13,14,11,3,0,284,15,4,303,0,303,--,--,--,284,303,303,Algún campo sin dato,1,ccfb4034021ba6f2fb306c4381468be2ffb0006bc74e9afefee049c2b56d105b,26/06/2023 00:13:38,ESCANER
13881,"San Marcos",12,"San Rafael Pie De La Cuesta",11,1945,400,111,125,7,17,36,13,1,2,312,15,1,328,0,328,--,400,72,312,328,328,Algún campo sin dato,1,a175bcc42a2f1b2a713a3cde7de558d6f2bf4bf204abea363f1dbeb46719f279,25/06/2023 23:59:28,ESCANER
13882,"San Marcos",12,"San Rafael Pie De La Cuesta",11,1945,400,111,131,1,19,34,7,1,0,304,5,6,315,0,315,--,400,85,304,315,315,Algún campo sin dato,1,5179f6b63d382c43ad2bb8203fcba77d213f0f40d17206eea68bf21ca908f632,25/06/2023 23:32:33,ESCANER
13883,"San Marcos",12,"San Rafael Pie De La Cuesta",11,1945,400,133,115,8,20,23,6,0,2,307,16,4,327,0,327,--,400,73,307,327,327,Algún campo sin dato,1,9fcd3a7f694b9ae7bcb0c58585f6702b398486509c6b1580ae7c649501b16cc9,26/06/2023 00:42:32,ESCANER
13884,"San Marcos",12,"San Rafael Pie De La Cuesta",11,1946,400,143,116,3,9,14,7,3,2,297,16,6,319,0,319,--,400,81,297,319,319,Algún campo sin dato,1,5adcd2f7a33a2431c78945e627006e03c290a5e243ce8fd9a68efe67658b141e,26/06/2023 00:00:35,ESCANER
13885,"San Marcos",12,"San Rafael Pie De La Cuesta",11,1946,400,139,128,4,10,27,4,1,4,317,13,10,340,0,340,--,399,59,317,340,340,Algún campo sin dato,1,7b2aeeb6a0a455dc16aa35164efb4b1f30700fbf588a54f6089280dcd27ec875,25/06/2023 23:36:49,ESCANER
13886,"San Marcos",12,"San Rafael Pie De La Cuesta",11,1946,400,164,106,3,16,22,6,1,1,319,6,2,327,0,327,--,400,73,319,327,327,Algún campo sin dato,1,9993d59f569e07fe6c17f60188e233a72cd9532a7f6875ea73864d6c384abcd6,26/06/2023 02:02:38,MOVIL
13887,"San Marcos",12,"San Rafael Pie De La Cuesta",11,1946,400,119,112,2,16,28,15,1,1,294,1,0,295,0,295,--,400,104,294,295,295,Algún campo sin dato,1,1defd932f7c9459d5c6f2f6dbaf29be718f7ced4cc68fb8a6c82cff5f729e2aa,26/06/2023 00:45:47,ESCANER
13888,"San Marcos",12,"San Rafael Pie De La Cuesta",11,1946,400,125,103,5,13,24,13,2,0,285,7,1,293,0,293,--,400,107,285,293,293,Algún campo sin dato,1,52735873e484bbd385ebf689cb1bc7977434b342784e59e4332014ad9fd44c51,26/06/2023 00:52:36,ESCANER
13889,"San Marcos",12,"San Rafael Pie De La Cuesta",11,1946,400,127,117,0,13,28,17,2,0,304,2,2,308,0,308,--,400,92,304,308,308,Algún campo sin dato,1,b59569e697da44a0ea4459b20892beee7cfca33e800ee109d509b2ae552d38a2,26/06/2023 00:29:32,ESCANER
