TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
49,49,100.0000,49,100.0000,0,18124,9897,54.6071

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,MLP,TODOS,PHG,UNE,PPG,CABAL,UNIONISTA,VAMOS,VICTORIA,CCS,VALOR,BIEN,ELEFANTE,PODER,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13915,"San Marcos",12,"Nuevo Progreso",12,1954,400,2,16,13,35,21,1,39,6,34,14,18,1,6,3,10,0,219,13,9,241,0,241,0,400,156,219,241,241,,1,1cfe662318f219036c4060b012625d06cb8c8fc7af1a8af6194b0143746f363a,26/06/2023 01:05:03,ESCANER
13916,"San Marcos",12,"Nuevo Progreso",12,1954,400,6,7,14,39,32,2,20,1,59,19,13,1,1,5,5,0,224,25,6,255,0,255,0,400,145,224,255,255,,1,4a2cb6f73c231bbf330a32941557dda92210769f99ec8b6eae5beaf80614b762,26/06/2023 00:42:43,ESCANER
13917,"San Marcos",12,"Nuevo Progreso",12,1954,400,2,10,18,47,16,2,40,1,47,15,13,1,5,7,5,0,229,27,6,262,0,262,0,400,138,229,262,262,,1,c386ca914934d080a99f7d6a4886b8332e9b52482c4bc39381df2c974164e0b6,26/06/2023 02:26:39,ESCANER
13918,"San Marcos",12,"Nuevo Progreso",12,1954,400,5,2,20,40,33,1,36,1,27,19,27,4,8,6,9,0,238,35,6,279,0,279,0,400,121,238,279,279,,1,39f51aef747917d9bc3742b03c589ed1935f2a1c6a22c75c80ed7bfb836df891,26/06/2023 01:52:53,ESCANER
13919,"San Marcos",12,"Nuevo Progreso",12,1954,400,6,13,7,41,40,3,40,1,39,11,12,2,4,3,7,1,230,24,7,261,0,261,0,400,139,230,261,261,,1,7ef29ebcaf81769fdc717f5c82845c4efb26d255c09c38b19e4ab8ac118f4c5c,26/06/2023 00:49:45,ESCANER
13920,"San Marcos",12,"Nuevo Progreso",12,1954,400,2,10,14,42,35,2,28,3,48,21,12,3,5,5,13,0,243,32,8,283,0,283,0,400,117,243,283,283,,1,88e1d1d3e66c7d3e8e94fd19f8631dedecbd682c8ec2336ac29342a267a813ff,26/06/2023 03:00:48,ESCANER
13921,"San Marcos",12,"Nuevo Progreso",12,1954,400,10,5,10,56,39,1,36,9,34,20,17,4,2,8,4,1,256,22,4,282,0,282,1,400,117,256,282,282,,1,df2e20a8daa32ece28e0fa3833eeadaa61bea5a354d47953aa81450ebbc4e0a1,26/06/2023 01:52:40,ESCANER
13922,"San Marcos",12,"Nuevo Progreso",12,1954,400,1,7,14,48,30,1,20,3,24,12,19,4,0,5,4,0,192,7,1,200,0,200,0,400,200,192,200,200,,1,fec2eb02f90a1ec82591c4aa4d0082bce1d2d9d0f75ef5a90d1d7e26822c92a5,26/06/2023 01:15:10,ESCANER
13923,"San Marcos",12,"Nuevo Progreso",12,1954,400,3,11,13,46,26,1,31,1,25,15,8,2,2,6,6,0,196,10,4,210,0,210,0,400,190,196,210,210,,1,beb4ce38090965718b3ea807df383be7c16cd968a48b6af62a4bd575b880208d,25/06/2023 23:37:47,ESCANER
13924,"San Marcos",12,"Nuevo Progreso",12,1954,400,2,9,18,39,16,3,23,1,30,21,17,1,2,6,4,0,192,10,1,203,0,203,0,400,197,192,203,203,,1,af780a0add4624aee8200e9a56af67c8f369ea3d8ad1239d7ae701a4beabc14c,26/06/2023 00:06:37,ESCANER
