TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
69,69,100.0000,69,100.0000,0,26438,13961,52.8065

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,PPN,CREO,VICTORIA,UNE,MLP,CABAL,VOS,ELEFANTE,PODEMOS,AZUL,BIEN,PHG,SEMILLA,TODOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13964,"San Marcos",12,"El Tumbador",13,1962,400,88,85,5,1,4,4,0,3,1,6,1,4,2,0,2,206,18,5,229,0,229,--,400,171,206,229,229,Algún campo sin dato,1,cf969c84d21479f22f278ff1624ccba5962161705aabad39f2be76e110e221b7,26/06/2023 03:52:38,ESCANER
13965,"San Marcos",12,"El Tumbador",13,1962,400,94,75,18,1,5,0,1,2,4,6,3,4,2,1,2,218,34,6,258,0,258,--,400,142,218,258,258,Algún campo sin dato,1,053a6f2bbd3429eb506038db89585ee445017c8d542d40fe80c6a3f95c12ea77,26/06/2023 03:52:14,ESCANER
13966,"San Marcos",12,"El Tumbador",13,1962,400,42,127,10,5,5,3,0,2,3,6,1,1,2,1,3,211,30,2,243,0,243,--,400,157,211,243,243,Algún campo sin dato,1,43cfadb1be2c508a7c80af8bade0069409beb2c6fda7e8cbf9086860af7f4e8c,26/06/2023 03:46:39,ESCANER
13967,"San Marcos",12,"El Tumbador",13,1962,400,88,115,26,2,3,0,1,6,3,2,3,0,3,2,2,256,21,2,279,0,279,--,400,121,256,279,279,Algún campo sin dato,1,f0c3a471c5de456a1be7a618887895ccee745b81c02d18e95c27ff4273e18a38,26/06/2023 03:52:02,ESCANER
13968,"San Marcos",12,"El Tumbador",13,1962,400,112,113,16,0,0,0,0,3,0,3,3,4,1,0,0,257,16,1,274,0,274,--,400,126,255,272,272,Sumas Asentadas sin cuadrar,1,0be195e73ff2d9f28ecc6ff7486df8c3763954b9aaea1be870c907095cd00f73,26/06/2023 03:56:13,ESCANER
13969,"San Marcos",12,"El Tumbador",13,1962,400,81,131,16,2,6,0,0,3,2,5,0,0,1,0,0,247,9,6,262,0,262,--,400,138,247,262,262,Algún campo sin dato,1,85243b77a2cbb6beb7e6ea448719f21da85d62d9ea21fd044b2368b3eb38eb78,26/06/2023 03:54:52,ESCANER
13970,"San Marcos",12,"El Tumbador",13,1962,400,81,70,16,0,4,0,1,2,4,5,0,1,0,0,2,186,13,2,201,0,201,--,400,199,186,201,201,Algún campo sin dato,1,9931e6663eba6c4866b9043fe650cc1b7037277b0417e6988c98b5739afc925a,26/06/2023 03:55:36,ESCANER
13971,"San Marcos",12,"El Tumbador",13,1963,400,70,77,24,1,2,1,0,3,7,8,0,0,1,0,1,195,12,3,210,0,210,--,400,189,195,210,210,Algún campo sin dato,1,e3838cd8367c49e63320387d04ade1d42647d5c67c4d0d65404ffa12a9f4822b,26/06/2023 01:24:51,ESCANER
13972,"San Marcos",12,"El Tumbador",13,1963,400,96,85,14,1,0,1,0,1,7,8,1,1,0,1,1,217,4,3,224,0,228,4,397,169,217,224,224,Sumas Asentadas sin cuadrar,1,a62feb9dab5faf03ede9e72701a2c9427ca8aea038ee6ea90d6508537831a436,26/06/2023 01:53:52,ESCANER
13973,"San Marcos",12,"El Tumbador",13,1963,400,69,84,10,0,2,2,0,1,3,5,2,2,1,0,5,186,11,1,198,0,199,1,400,201,186,198,198,Sumas Asentadas sin cuadrar,1,60c18289f7a9d359efd9c2e25d7f54af1599f4e5158ef9a15aac621283f640b0,26/06/2023 02:32:43,ESCANER
