TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
37,37,100.0000,37,100.0000,0,12392,6914,55.7940

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,PHG,PODEMOS,ELEFANTE,VAMOS,UNE,VIVA,CABAL,BIEN,PPN,VALOR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
14033,"San Marcos",12,"El Rodeo",14,1972,400,37,38,5,69,11,4,8,7,1,9,189,21,6,216,0,216,--,400,184,189,216,216,Algún campo sin dato,1,e151a2d511e5363590d7f752cbb26b5ab2d986e96cdb4a4dcf1b55b9e9ca4502,26/06/2023 03:17:53,ESCANER
14034,"San Marcos",12,"El Rodeo",14,1972,400,52,55,2,70,10,0,9,9,2,8,217,29,6,252,0,252,1,400,147,217,252,252,,1,a806f33be6472e8b98cd8ecea8caaffb2b24c3f95002d151be3d7daf539ce2f4,26/06/2023 01:44:30,ESCANER
14035,"San Marcos",12,"El Rodeo",14,1972,400,44,60,4,89,5,6,12,12,0,8,240,24,5,269,0,269,--,400,131,240,269,269,Algún campo sin dato,1,6d7f344b6bafc4efad16c546a40ba6e313fc1c1ba170ddd9e475a46e552dea5e,26/06/2023 03:01:01,ESCANER
14036,"San Marcos",12,"El Rodeo",14,1972,400,49,59,3,121,3,3,8,16,4,21,287,16,4,307,0,307,--,400,93,287,307,307,Algún campo sin dato,1,54d51c90fea8a39c2bfde4c321aeffdb9625839f4f31da87fc18423a3193109c,26/06/2023 03:04:05,ESCANER
14037,"San Marcos",12,"El Rodeo",14,1972,400,24,49,2,71,5,0,4,10,3,14,182,7,2,191,1,192,--,400,208,182,191,192,Algún campo sin dato,1,a6e891be12f45d38db5f57480b5282a4311abfb2bbb4d0c81c18e9c318a86480,26/06/2023 02:09:22,ESCANER
14038,"San Marcos",12,"El Rodeo",14,1972,400,31,45,4,78,2,6,1,12,1,5,185,9,2,196,0,196,--,400,204,185,196,196,Algún campo sin dato,1,d1e81b701ba45334da7183d35fd27bc6cea86b2da66cd26df8f134cc1f352690,26/06/2023 01:33:23,ESCANER
14039,"San Marcos",12,"El Rodeo",14,1972,400,36,45,4,72,4,2,8,12,0,14,197,9,0,206,0,206,--,380,171,197,206,206,Algún campo sin dato,1,0b77df1f02b77b27635d104fbf3d68824e2086fd00e006f1c79284f78768f542,26/06/2023 03:30:13,ESCANER
14040,"San Marcos",12,"El Rodeo",14,1972,263,31,36,3,57,0,3,6,9,0,11,156,0,0,156,0,156,--,260,104,156,156,156,Algún campo sin dato,1,e19ca30fe17274083f1251829359cb6a39e177e90e398e5ae644b49239c29284,26/06/2023 01:29:42,ESCANER
14041,"San Marcos",12,"El Rodeo",14,1972,263,16,33,1,33,1,4,4,2,0,6,100,2,3,105,0,105,--,263,158,100,105,105,Algún campo sin dato,1,836b1833028c35b1033239c160fbdfc15ccfa8ea8b3963efa429a4e614784da5,26/06/2023 01:13:12,ESCANER
14042,"San Marcos",12,"El Rodeo",14,1973,380,23,76,2,88,3,4,4,5,0,8,213,26,2,241,0,241,--,380,139,213,241,241,Algún campo sin dato,1,c5d41ec06c25c6ee156bb527283710a385bba19ca6e83524cfb3fc605b8133cf,26/06/2023 03:31:16,ESCANER
