TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
55,55,100.0000,55,100.0000,0,20883,12948,62.0025

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,ELEFANTE,VICTORIA,VAMOS,CREO,TODOS,PHG,CABAL,AZUL,PPN,UR,VALOR,VIVA,UNE,PIN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
14227,"San Marcos",12,"Catarina",16,1995,400,5,5,54,69,5,10,9,5,3,1,1,1,90,0,258,29,3,0,0,290,--,400,110,258,290,290,Algún campo sin dato,1,bec50aa53a99c92cabd5eb75f8157f7b35b1871aeb12844e0aae2c0dfd0d3d77,26/06/2023 02:34:43,ESCANER
14228,"San Marcos",12,"Catarina",16,1995,400,14,3,74,64,8,6,10,3,3,0,2,2,68,0,257,27,2,286,0,286,0,400,114,257,286,286,,1,4bd8a5521eaf10cc26d71ebc6366ce61d518437774fedcd0205d745836f9495d,26/06/2023 03:06:56,ESCANER
14229,"San Marcos",12,"Catarina",16,1995,400,18,3,51,88,3,11,9,2,0,0,1,0,64,0,250,15,6,271,0,0,--,400,129,250,271,271,Algún campo sin dato,1,b3eb66486d5fdd371dc6c7b3627f2acaf73c023441a37a23b802564e743c65c5,26/06/2023 04:54:09,ESCANER
14230,"San Marcos",12,"Catarina",16,1995,400,17,3,55,47,3,3,21,6,12,3,1,2,62,0,235,22,6,263,0,263,--,400,137,235,263,263,Algún campo sin dato,1,7f1814d9b43a4ae7cab9d5eb693669c257700649d4c69a6016e463d1369d269c,25/06/2023 22:55:48,ESCANER
14231,"San Marcos",12,"Catarina",16,1995,400,15,4,58,75,5,10,8,3,2,0,1,0,50,1,232,8,2,242,2,244,--,400,156,232,242,244,Algún campo sin dato,1,99b5108695be484473c61c233117ddb973902e32333066fc92e50f9946c88a58,26/06/2023 00:23:09,ESCANER
14232,"San Marcos",12,"Catarina",16,1995,400,15,2,69,78,2,8,9,5,4,1,0,0,62,0,255,18,1,274,0,274,0,400,126,255,274,274,,1,48e9bdbe2b65ef66f85c3836378775e90ed8689adfbc086c4227c5f1b5030a40,26/06/2023 01:28:05,ESCANER
14233,"San Marcos",12,"Catarina",16,1995,400,8,6,58,83,4,9,12,3,2,1,0,0,46,0,232,30,5,267,0,267,--,200,665,232,267,267,Algún campo sin dato,1,7c3fdf75e82865183b3c13f2afac3ccf290d0a71c5a10566b203880e00a0ad60,26/06/2023 02:46:56,ESCANER
14234,"San Marcos",12,"Catarina",16,1995,400,5,3,53,76,5,5,8,6,1,0,0,1,69,0,232,24,3,259,0,259,--,400,141,232,259,259,Algún campo sin dato,1,ff315edac5aee6b81a7264341ae02390e0cf31c0de8a1ca947d81dec29b8d94f,26/06/2023 00:47:36,ESCANER
14235,"San Marcos",12,"Catarina",16,1995,400,17,5,50,74,5,5,7,2,1,0,0,1,54,1,222,17,6,245,0,245,--,400,155,222,245,245,Algún campo sin dato,1,86f2ad4c266e528a35f4aefc1e916a21766ea2265364971c1bc161b45b3905ea,25/06/2023 23:45:09,ESCANER
14236,"San Marcos",12,"Catarina",16,1995,400,8,8,53,54,5,4,14,3,1,3,0,1,54,0,208,14,2,224,0,224,2,400,176,208,224,224,,1,2e3bbb0fb5110067915b33be67b7e61e822de3a609f620d34a07d2e58f819b76,26/06/2023 01:20:57,ESCANER
