TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
57,57,100.0000,57,100.0000,0,22037,11358,51.5405

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CCC,UNE,MLP,VIVA,FCN-NACION,PODEMOS,BIEN,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
14282,"San Marcos",12,"Ayutla",17,2002,400,82,92,2,4,3,2,3,1,189,12,4,205,0,205,--,400,195,189,205,205,Algún campo sin dato,1,f0633d6cf379bbc9781990904211cb72209708ac5aeb2c604fabc86f7f330957,25/06/2023 22:58:53,ESCANER
14283,"San Marcos",12,"Ayutla",17,2002,400,106,82,4,1,2,3,3,0,201,14,3,218,0,218,--,400,182,201,218,218,Algún campo sin dato,1,ab377904d7087f665e194a58361ef8da5e3e11737f6e68a0ce5b30b16e226fad,26/06/2023 01:37:10,ESCANER
14284,"San Marcos",12,"Ayutla",17,2002,400,110,82,5,1,6,2,8,1,215,13,3,231,0,231,--,400,196,215,231,231,Algún campo sin dato,1,22edb9b7f5ce049607ea11f1ec9e087fb581a67c0662d797929eec7a1ce3da50,26/06/2023 01:44:15,ESCANER
14285,"San Marcos",12,"Ayutla",17,2002,400,89,99,3,4,7,5,5,0,212,8,1,212,0,221,--,--,--,212,221,221,Sumas Asentadas sin cuadrar,1,1825a4d05398aa5bdb6ed231b271583fa56e075a89a659950dd4fc839ebb206f,26/06/2023 00:53:39,MOVIL
14286,"San Marcos",12,"Ayutla",17,2002,400,100,99,3,2,6,6,4,1,221,7,2,230,0,230,--,400,170,221,230,230,Algún campo sin dato,1,669ee9a8cfe85d531b923579719f7fdb049a9438397bb9ed246eca7ce6ef40c5,26/06/2023 01:54:25,ESCANER
14287,"San Marcos",12,"Ayutla",17,2002,400,119,96,1,1,2,2,7,1,229,12,3,244,0,244,--,400,156,229,244,244,Algún campo sin dato,1,3c890cabe86ffeffac6f96fbe707ce2a3f45f6b2be95d3d8cac99b1cf8c8aeed,26/06/2023 01:31:28,ESCANER
14288,"San Marcos",12,"Ayutla",17,2002,400,104,124,1,0,3,6,3,2,243,11,0,254,0,254,0,400,143,243,254,254,,1,8f35d9e59a46f90c766803ac2e4903d8b941d1e9f6ab8068e29cc62ac534fb43,26/06/2023 01:05:36,ESCANER
14289,"San Marcos",12,"Ayutla",17,2003,400,95,118,4,0,8,4,7,3,239,14,3,256,0,256,0,400,144,239,256,256,,1,d9cdfc76aef9bf5c105538f8ece03a5aceb4c78d47ac9637784b3babd3769f52,26/06/2023 01:04:36,ESCANER
14290,"San Marcos",12,"Ayutla",17,2003,400,99,87,4,0,5,0,4,0,199,8,1,208,0,208,0,400,192,199,208,208,,1,5cb623b4200ecd9c42264a504c6b732bb922eed92d6ea1c6cdca9d5f4cab846e,25/06/2023 23:35:34,ESCANER
14291,"San Marcos",12,"Ayutla",17,2003,400,97,75,1,2,3,0,3,1,182,4,0,186,0,186,--,400,214,182,186,186,Algún campo sin dato,1,97e24f200dce2c79058e2f055cb4a01df9b8fc3a9869892e2ca9365eef1cab7b,25/06/2023 22:13:05,ESCANER
14292,"San Marcos",12,"Ayutla",17,2003,400,83,89,2,2,2,1,3,0,182,16,3,201,0,201,--,400,199,182,201,201,Algún campo sin dato,1,a30140dc1d9d683e18d6d25aaf9ebe1367dd74b9e6a7f06c1543d1465a7dbc58,26/06/2023 01:23:53,ESCANER
14293,"San Marcos",12,"Ayutla",17,2003,400,84,72,5,1,6,3,5,0,176,9,1,186,0,186,--,400,214,176,186,186,Algún campo sin dato,1,cebc4f9ed55c8a659a39df63bae473c226d595c2af9db03371e82cf0f17a0188,25/06/2023 22:05:18,ESCANER
14294,"San Marcos",12,"Ayutla",17,2003,400,99,59,8,1,7,2,4,2,182,5,1,188,0,188,0,400,212,182,188,188,,1,8372a859c7b8b5c3ae7b10e9ca64b31352ba7e8a7b76d2dde5a45cc15d3afe4a,25/06/2023 23:08:01,ESCANER
14295,"San Marcos",12,"Ayutla",17,2003,400,103,83,3,2,4,2,3,0,200,9,1,210,0,210,--,400,190,200,210,210,Algún campo sin dato,1,abfb70efddb6a86fafd19f8ebcefc99b4464964a4176653781ccd090f042f32a,25/06/2023 23:24:43,ESCANER
14296,"San Marcos",12,"Ayutla",17,2004,400,109,73,1,1,9,3,2,3,201,10,1,212,0,212,--,400,188,201,212,212,Algún campo sin dato,1,c03648d5b687e97aa0c171bd7c94cb5c74941c60603c57d891a20781ba70fde0,26/06/2023 00:42:26,ESCANER
14297,"San Marcos",12,"Ayutla",17,2004,400,100,81,1,0,8,0,5,0,195,13,1,209,0,209,--,400,191,195,209,209,Algún campo sin dato,1,d7dc85616c14e2fc4a23648ff2109a562c4a4eaf74ee613574e369af94d5f9af,26/06/2023 00:23:16,ESCANER
14298,"San Marcos",12,"Ayutla",17,2004,400,100,72,4,3,3,8,6,1,197,12,0,209,0,209,0,400,209,197,209,209,,1,19d97283eebf18586c891634902d2e597d21ae714b2f7210fd7d25aa35022842,25/06/2023 23:40:07,ESCANER
14299,"San Marcos",12,"Ayutla",17,2004,400,85,72,3,2,5,1,2,0,170,9,0,179,0,179,--,400,221,170,179,179,Algún campo sin dato,1,1970e439b7f7c046732a41cdaa8e280c7e64afa6f53ba6f43da2a54ddf599903,26/06/2023 00:43:30,ESCANER
