TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
26,26,100.0000,26,100.0000,0,9771,5365,54.9073

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,PHG,UNE,BIEN,CABAL,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
14339,"San Marcos",12,"Ocós",18,2011,400,124,1,50,25,6,206,12,5,223,0,223,--,350,127,206,223,223,Algún campo sin dato,1,f6ce86323ebbb6c3a3204977aa7e82daa76dbe1ed2a56ce68381d975a8e22399,26/06/2023 01:46:33,ESCANER
14340,"San Marcos",12,"Ocós",18,2011,400,121,2,60,27,4,214,13,4,231,0,231,0,400,169,214,231,231,,1,df3e706920dfc52d30dc97e3b1e51ce39a6cf1756b4abb6fdacf4290b8d1f438,26/06/2023 02:12:14,ESCANER
14341,"San Marcos",12,"Ocós",18,2011,400,143,5,62,44,9,263,0,1,264,10,274,0,400,126,263,264,274,,1,ff37f5736abb7f8af65d791bac86eac898bc9c93210a17759583a3afa08c59e9,26/06/2023 00:42:14,ESCANER
14342,"San Marcos",12,"Ocós",18,2011,400,163,6,51,35,13,268,11,5,284,0,284,1,400,115,268,284,284,,1,6a91d81673e61c20e9f640067c36348962712d209759791b450e172b5e365291,26/06/2023 00:03:59,ESCANER
14343,"San Marcos",12,"Ocós",18,2011,400,118,5,49,44,3,219,8,1,228,0,228,--,399,171,219,228,228,Algún campo sin dato,1,7aea61e6401e0cd4b97461ce3bbb27eeac5ee703c2e3a075fa9925f2c582c444,25/06/2023 22:29:16,ESCANER
14344,"San Marcos",12,"Ocós",18,2011,400,86,1,37,36,5,165,11,3,179,0,179,1,399,219,165,179,179,,1,8560f2ab290415e9f37a925974d81de4e1d13279e909dd060bd64e6f2a8af074,25/06/2023 23:56:53,ESCANER
14345,"San Marcos",12,"Ocós",18,2011,400,94,3,44,34,1,176,13,3,192,0,192,0,397,205,176,192,192,,1,a96264055bab72593706be52bfbdbc475b74163acfb70a06973a9f7fb85acc49,25/06/2023 23:52:09,ESCANER
14346,"San Marcos",12,"Ocós",18,2011,400,81,3,50,21,2,157,8,2,167,0,167,--,400,233,157,167,167,Algún campo sin dato,1,313ae42835a4b992c8f6ef630f69243d85f457bd2a235c5ff8b480e15131be9d,25/06/2023 22:18:50,ESCANER
14347,"San Marcos",12,"Ocós",18,2011,400,117,3,56,29,2,207,6,3,216,0,216,0,400,184,207,216,216,,1,11ec125dfbd63c21ea66ddc2ce3bd37438772534669c7d91049f98c9916d39da,25/06/2023 22:45:47,ESCANER
14348,"San Marcos",12,"Ocós",18,2012,400,94,1,50,32,7,184,6,2,192,0,192,0,400,208,184,192,192,,1,72ccc51d8a69d5e840bbd51dcf8d8866dbe18ef59d2c49fca91c8973178929e5,25/06/2023 22:33:41,ESCANER
