TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
72,72,100.0000,72,100.0000,0,28283,16685,58.9930

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,PHG,CABAL,MLP,TODOS,AZUL,CREO,UNE,BIEN,WINAQ,ELEFANTE,VIVA,UR,PR,VALOR,U R N G - MAIZ,VICTORIA,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
14365,"San Marcos",12,"San Pablo",19,2015,400,62,10,7,3,37,11,20,6,51,2,3,1,0,1,1,3,0,2,220,27,3,250,0,250,--,400,150,220,250,250,Algún campo sin dato,1,be3aefcc30d779bb8c7eb5904dfba779f04cd05ce552dd48b2181314a72d1cf5,26/06/2023 00:48:57,ESCANER
14366,"San Marcos",12,"San Pablo",19,2015,400,79,9,4,1,75,11,16,15,12,2,2,2,2,0,2,0,2,1,235,29,14,278,0,278,--,400,122,235,278,278,Algún campo sin dato,1,1b7fec9d1e102092ed4d1a35d5c72ac45eba7199eda0e10f8dace1b6da0cea84,26/06/2023 02:22:30,ESCANER
14367,"San Marcos",12,"San Pablo",19,2015,400,57,20,16,0,54,15,12,13,20,3,0,1,1,1,--,--,--,--,217,31,11,259,0,259,--,400,141,213,255,255,Sumas Asentadas sin cuadrar,1,6247f7f3f391a247f09c5ad255f76548c30964f70f2161bc04bdf75e90642a44,26/06/2023 00:55:35,ESCANER
14368,"San Marcos",12,"San Pablo",19,2015,400,83,6,9,3,43,9,18,10,26,6,0,1,9,0,0,2,0,2,227,26,15,268,0,268,--,400,132,227,268,268,Algún campo sin dato,1,f0c9d3bcdbc176525715136d3facc4d9e3995a80e85025dc51bb118899d669ba,26/06/2023 01:55:36,ESCANER
14369,"San Marcos",12,"San Pablo",19,2015,400,91,5,10,3,37,15,23,11,14,2,0,2,3,0,0,1,3,4,224,39,12,275,0,275,--,400,125,224,275,275,Algún campo sin dato,1,676c661b8a60116f43252a718b9ce808f6e221ed86555a085189aa431787b5b4,26/06/2023 01:52:00,ESCANER
14370,"San Marcos",12,"San Pablo",19,2015,400,100,7,5,1,47,18,20,17,18,1,0,0,1,0,0,3,0,3,241,31,3,275,0,275,--,400,125,241,275,275,Algún campo sin dato,1,78a5e65aabbe272ebbddc046fe1e44703f5a06f51e144ffff65231077dbe8400,26/06/2023 01:21:12,ESCANER
14371,"San Marcos",12,"San Pablo",19,2015,400,67,11,7,6,40,17,21,22,28,3,2,2,0,1,1,1,0,2,231,37,5,273,0,273,--,400,124,231,273,273,Algún campo sin dato,1,21a450ebbfdfd0763ec4623c724c60c405ed6ef091d5ecc5d442083d4de73f79,26/06/2023 02:13:47,ESCANER
14372,"San Marcos",12,"San Pablo",19,2015,400,61,8,8,3,44,27,24,30,17,2,0,6,1,0,0,2,1,2,239,30,5,274,0,274,--,400,126,236,271,271,Sumas Asentadas sin cuadrar,1,41b6597b8e33f5707e2330ce356a2a41a0eee5bf9444c366135cc7c3bc07a71b,26/06/2023 01:01:35,ESCANER
14373,"San Marcos",12,"San Pablo",19,2016,400,61,11,9,4,37,15,15,37,16,3,2,1,1,1,1,2,0,1,217,24,10,251,0,251,--,400,149,217,251,251,Algún campo sin dato,1,4a39e4b90104f0bba59678949035b3b8a080d40f10828386c680eb4ad0c1a108,26/06/2023 01:28:40,ESCANER
14374,"San Marcos",12,"San Pablo",19,2016,400,45,7,9,5,71,13,26,22,9,6,1,4,4,0,2,1,0,0,227,25,2,254,0,254,--,400,146,225,252,252,Sumas Asentadas sin cuadrar,1,2119fad2c259f22b4c2d90fdae551f4c5e2f64542194c43f670e52e6785ab2c5,26/06/2023 01:53:59,ESCANER
14375,"San Marcos",12,"San Pablo",19,2016,400,68,6,16,1,26,50,19,18,16,2,1,7,0,1,0,2,0,0,233,31,8,272,0,272,--,--,--,233,272,272,Algún campo sin dato,1,13ba9958e2d9ce9cf279c7d36ca826c304918ca5baaf12af668111ea51d7f8cd,26/06/2023 02:55:35,ESCANER
14376,"San Marcos",12,"San Pablo",19,2016,400,78,9,17,0,45,10,33,12,31,2,5,2,1,0,1,3,2,2,285,27,5,285,0,0,--,400,115,253,285,285,Sumas Asentadas sin cuadrar,1,ab2c82e4ab7754338777d5c98ead6b1d3c2e95991567fde60d81e29ed3952330,26/06/2023 00:31:20,ESCANER
14377,"San Marcos",12,"San Pablo",19,2016,400,70,9,18,1,47,7,42,9,35,1,2,0,2,2,3,0,0,1,249,26,6,281,0,281,--,400,119,249,281,281,Algún campo sin dato,1,fb1945efd1b051b13bb257b8baf5e82e4acc30fd9a6a8374641b3d9e70c76a66,26/06/2023 01:24:58,ESCANER
14378,"San Marcos",12,"San Pablo",19,2016,400,63,10,8,6,22,5,67,9,36,1,3,3,4,1,0,4,0,2,244,33,3,280,0,280,--,397,117,244,280,280,Algún campo sin dato,1,3a2539c0e828840a4152f68f72c82ce0a48f39df8ddf69e1c9152b05c2638cb1,26/06/2023 02:31:08,ESCANER
14379,"San Marcos",12,"San Pablo",19,2016,400,62,11,7,1,16,15,60,17,40,2,2,2,1,0,1,8,0,1,246,26,7,279,0,279,--,400,121,246,279,279,Algún campo sin dato,1,fbc11be071a1b19ab45c9ba8227af220436df55cf97e5f2db4ba0ea5cf7aa547,26/06/2023 02:21:39,ESCANER
14380,"San Marcos",12,"San Pablo",19,2016,400,55,8,18,2,25,5,55,16,35,3,3,1,2,1,1,8,0,1,239,25,8,272,0,272,--,400,128,239,272,272,Algún campo sin dato,1,4f8293b5a5908724ff4b6b9ba18aac3a4a8582003a1b9a57dd21b1f077d9011f,26/06/2023 00:45:33,ESCANER
14381,"San Marcos",12,"San Pablo",19,2017,400,38,13,17,3,44,6,48,14,39,2,3,2,1,1,2,5,0,0,238,27,6,271,0,271,--,397,126,238,271,271,Algún campo sin dato,1,f47b1b5de94d0798cd1f27688482b3f30e7033e5f97967d943b178a93c2db174,26/06/2023 00:19:00,ESCANER
14382,"San Marcos",12,"San Pablo",19,2017,400,50,8,21,1,30,7,25,14,31,2,5,1,2,2,0,2,0,0,201,1,4,206,18,224,--,400,176,201,206,224,Algún campo sin dato,1,2c2d8a0e3226341480a84828fee33710ec322b29ffba003b5b1ce537c2b61976,25/06/2023 23:48:17,ESCANER
14383,"San Marcos",12,"San Pablo",19,2017,400,59,8,8,0,32,11,39,6,13,3,1,0,1,0,0,0,1,1,183,7,0,190,0,190,--,400,207,183,190,190,Algún campo sin dato,1,e3903f2025037424ccb0c482be4d2bf762dc906daac8cdc4be3ff19c1fda558f,25/06/2023 22:50:53,ESCANER
14384,"San Marcos",12,"San Pablo",19,2017,400,52,10,4,2,34,12,27,18,25,2,0,1,0,1,1,3,0,1,193,7,5,205,0,205,--,400,192,193,205,205,Algún campo sin dato,1,1b22e520daf76691a7e5822100efd74127e815d072dc747e916206d7f20ec901,26/06/2023 00:00:40,ESCANER
14385,"San Marcos",12,"San Pablo",19,2017,400,84,6,11,1,33,20,30,9,27,1,1,0,0,1,1,2,0,1,228,25,6,259,0,259,--,400,141,228,259,259,Algún campo sin dato,1,076aa946928b42354f98e5c80c0f8fd4ea3418e44de7014793bee96cac47a978,25/06/2023 23:53:36,ESCANER
14386,"San Marcos",12,"San Pablo",19,2017,400,57,12,13,0,49,6,28,12,22,4,0,0,2,0,0,2,1,0,208,14,8,230,0,0,--,400,170,208,230,230,Algún campo sin dato,1,a7452f3ffe13e88baae3c5f2d39535fa450b09acebb8af8cc41ce14aef6dd893,25/06/2023 23:41:59,ESCANER
14387,"San Marcos",12,"San Pablo",19,2017,400,54,8,17,3,44,9,31,15,21,3,0,1,0,0,1,2,0,1,210,14,8,232,0,232,--,400,168,210,232,232,Algún campo sin dato,1,5e2481037220e2c1185819484d29858af4b801bdbca3787d77007bb3515d15d0,25/06/2023 23:18:57,ESCANER
14388,"San Marcos",12,"San Pablo",19,2017,400,70,13,15,1,49,10,24,14,20,0,1,0,0,0,0,3,0,0,220,10,3,233,0,233,0,400,167,220,233,233,,1,d65fc83fb62d4caabbf15c9a5a5c6190f5777a54b48dbe97d4b41160527c580a,25/06/2023 22:10:06,ESCANER
14389,"San Marcos",12,"San Pablo",19,2017,400,53,18,11,0,41,13,27,14,36,1,0,3,2,0,2,1,1,1,224,10,3,239,0,239,--,400,161,224,237,237,Sumas Asentadas sin cuadrar,1,b1f35fa9ac321113bb442b85041a422b4f14334d568f3e7194c9ab2958602dec,26/06/2023 00:57:17,ESCANER
14390,"San Marcos",12,"San Pablo",19,2018,400,66,12,16,3,34,7,25,8,18,4,1,1,0,1,0,4,1,2,203,19,12,234,0,234,--,400,166,203,234,234,Algún campo sin dato,1,c1d49b3245bf023fdef6a350b9bbe765c24e8704ae595edf4f48e2a49bc05489,25/06/2023 23:17:23,ESCANER
14391,"San Marcos",12,"San Pablo",19,2018,400,65,8,16,0,38,14,30,7,36,1,1,1,0,1,3,2,0,1,224,8,5,237,0,237,--,400,163,224,237,237,Algún campo sin dato,1,ee32476f71da5aa0a2edcef733c9c185d250d63738c46332175c5b7afc8e2498,25/06/2023 23:36:17,ESCANER
