TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
40,40,100.0000,40,100.0000,0,14257,8028,56.3091

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,VICTORIA,PHG,CREO,AZUL,VIVA,UNE,ELEFANTE,U R N G - MAIZ,BIEN,CABAL,TODOS,PODEMOS,PPN,VALOR,UR,MLP,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
14437,"San Marcos",12,"El Quetzal",20,2025,400,38,3,37,6,7,19,33,21,0,10,0,16,21,7,1,4,8,2,233,17,5,255,0,255,0,400,145,233,255,255,,1,60dea9083e8daa611208f96d17a530a06cfba3f8becd578276ee1a39b7917067,26/06/2023 03:15:58,ESCANER
14438,"San Marcos",12,"El Quetzal",20,2025,400,34,0,46,6,6,12,28,30,1,11,1,19,10,8,2,1,6,1,222,15,7,244,0,244,0,400,156,222,244,244,,1,0ca523d1aa253a59bee300686668114a4ed16a94fadf80c0c01723934761d649,25/06/2023 23:45:41,ESCANER
14439,"San Marcos",12,"El Quetzal",20,2025,400,40,0,24,6,9,22,31,19,2,13,1,24,15,7,3,1,2,1,220,9,6,235,0,235,0,400,165,220,235,235,,1,ee23ec2b3b76fd2d88acdf1c4648a90b642852d25bb593a6e1c454914d803ead,26/06/2023 02:12:48,ESCANER
14440,"San Marcos",12,"El Quetzal",20,2025,400,51,1,19,3,4,17,40,37,1,10,2,22,33,9,1,2,5,0,257,15,6,278,0,278,--,400,122,257,278,278,Algún campo sin dato,1,b859a69b3186f3d5e83ddd1c352f5b3b74cde556fdb96eadf1ca711e9e263e0e,26/06/2023 03:01:27,ESCANER
14441,"San Marcos",12,"El Quetzal",20,2025,400,32,4,41,5,1,25,26,18,1,7,0,15,14,3,3,0,2,2,199,11,2,212,0,212,0,400,188,199,212,212,,1,c600354f3ee6cccab19fc90f6091c8d5fde62e904997c52c71bea6b273fb35f8,26/06/2023 02:07:10,ESCANER
14442,"San Marcos",12,"El Quetzal",20,2025,400,31,3,31,12,7,23,25,22,1,7,1,17,19,5,2,5,7,0,218,7,3,228,0,228,0,400,172,218,228,228,,1,7b711db55f0ac3ee6639177166734dc18f10731069c862555b12ada6b2ba12d8,26/06/2023 02:20:23,ESCANER
14443,"San Marcos",12,"El Quetzal",20,2025,400,28,5,28,6,6,21,30,27,0,4,0,19,16,4,3,1,10,1,209,18,0,227,0,227,0,400,173,209,227,227,,1,84712f96f9466c5287fcfd19bf50682ad33cfbb8f77bb5c889fd0e1b0f507990,25/06/2023 23:55:24,ESCANER
14444,"San Marcos",12,"El Quetzal",20,2026,400,25,1,17,4,3,24,45,22,1,10,3,10,20,9,1,2,5,1,203,9,4,216,0,216,--,--,--,203,216,216,Algún campo sin dato,1,b9d9140c1ac8cea1fa339b096bd8cb6b27f7da033cd562a4d35dbd8017d57919,26/06/2023 01:48:29,ESCANER
14445,"San Marcos",12,"El Quetzal",20,2026,400,37,4,8,7,2,17,28,13,1,11,2,30,17,5,2,0,5,1,190,0,3,193,0,193,0,400,207,190,193,193,,1,686f5923dd472418757712c107eacbc1c60d0959ef7def76a2211860a84a6de3,25/06/2023 23:01:43,ESCANER
14446,"San Marcos",12,"El Quetzal",20,2026,258,23,6,22,5,6,19,19,5,0,2,0,10,14,4,2,0,3,1,141,1,0,142,0,142,0,258,116,141,142,142,,1,c1e5976afedc16168bbfaba8d6bab704094f737e2a130f79c4a46719fc337627,26/06/2023 00:17:42,ESCANER
