TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
38,38,100.0000,38,100.0000,0,13521,8158,60.3357

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,PHG,PPN,CREO,UNE,VIVA,CABAL,PODEMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
14477,"San Marcos",12,"La Reforma",21,2032,400,60,106,48,33,4,2,3,0,256,17,1,274,0,274,--,400,126,256,274,274,Algún campo sin dato,1,59c5de52a7cc5d8c1d90547617047b28a5623b8dffde1ed832c7d73ddfbde454,25/06/2023 23:52:12,ESCANER
14478,"San Marcos",12,"La Reforma",21,2032,400,52,120,43,38,4,1,5,2,265,13,1,279,0,279,--,400,121,265,279,279,Algún campo sin dato,1,98a5f63af5aa0cd29389364e67d62f79b69b4f86652c3be952ad7df06e2fa222,26/06/2023 01:42:06,ESCANER
14479,"San Marcos",12,"La Reforma",21,2032,400,63,113,45,34,7,1,1,0,264,21,11,296,0,296,--,401,105,264,296,296,Algún campo sin dato,1,fb9c141ae8779c2c2f8c9112240d9cd39e3d6cf557f3249ce0eef067f75fd45c,25/06/2023 23:51:15,ESCANER
14480,"San Marcos",12,"La Reforma",21,2032,400,61,127,60,32,2,2,0,0,284,22,3,309,1,310,--,401,91,284,309,310,Algún campo sin dato,1,69569cbf6008230cbb9dbf9337336da299624958b98293ef91e54424aa082a5a,25/06/2023 23:42:44,ESCANER
14481,"San Marcos",12,"La Reforma",21,2032,400,77,103,40,47,0,0,0,3,270,14,2,286,0,286,--,400,114,270,286,286,Algún campo sin dato,1,9c9f0de39f297207317782402791375c6ab1391a50983ef2ffd9dda289038503,25/06/2023 23:46:34,ESCANER
14482,"San Marcos",12,"La Reforma",21,2033,400,92,40,51,43,1,2,0,1,230,9,0,239,1,240,1,400,240,230,239,240,,1,121581eba9eaa4c90b31ded4c6411f12a27dc4e7ff5c2c3ac86bbc8339d50bfb,25/06/2023 23:54:31,ESCANER
14483,"San Marcos",12,"La Reforma",21,2033,400,54,91,45,30,1,0,0,0,221,16,1,238,0,238,--,401,163,221,238,238,Algún campo sin dato,1,6d3b3d62c771e304513215f5441c20d5a4ef24af79d95fd4b4f4da1d7dd373ce,26/06/2023 00:03:20,ESCANER
14484,"San Marcos",12,"La Reforma",21,2033,400,67,116,35,25,--,1,2,3,249,5,2,256,--,256,--,400,144,249,256,256,Algún campo sin dato,1,5e4d1e9167d2c5c64d873bce7277839b538da111b7b432679a44ea9397da38a6,26/06/2023 02:09:58,ESCANER
14485,"San Marcos",12,"La Reforma",21,2033,400,60,96,43,33,2,2,2,1,237,8,2,247,0,247,--,400,153,239,249,249,Sumas Asentadas sin cuadrar,1,f16a41fdb967627d80b4c9c1d170a78cad69ef0344d70abe5066ab8c99c1c26d,26/06/2023 00:54:29,ESCANER
14486,"San Marcos",12,"La Reforma",21,2033,400,77,119,29,34,0,1,0,1,261,6,1,7,0,168,--,400,132,261,268,268,Sumas Asentadas sin cuadrar,1,cd306041b51a584a7432e8e3c1bf33ad785051c9c23991ddf437f17ce807e584,26/06/2023 02:31:29,ESCANER
