TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
44,44,100.0000,44,100.0000,0,16560,9949,60.0785

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,PPN,ELEFANTE,CREO,TODOS,UNE,PHG,CABAL,AZUL,VICTORIA,UNIONISTA,BIEN,VALOR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
14515,"San Marcos",12,"Pajapita",22,2042,400,72,16,6,27,7,13,45,22,4,4,4,4,8,232,23,3,258,0,258,--,396,138,232,258,258,Algún campo sin dato,1,fd2e996060e1f1a051427ea2fcbbdb43f06a70433d9b5f96cedf608a92bdd6c9,26/06/2023 02:16:07,ESCANER
14516,"San Marcos",12,"Pajapita",22,2042,400,66,5,7,44,8,7,61,17,4,12,6,6,9,252,13,2,267,0,267,0,400,133,252,267,267,,1,5acc25f1e1f9595fc28430d37b2571ecdd277aa1f621071abd40c5beafebbaa0,26/06/2023 01:29:03,ESCANER
14517,"San Marcos",12,"Pajapita",22,2042,400,70,10,3,40,8,12,49,24,2,5,4,1,9,237,13,4,254,0,254,0,400,146,237,254,254,,1,3975853e04a1b360611658c40741555ac33073e9a9db4e7291fc85bdb787e188,26/06/2023 01:12:06,ESCANER
14518,"San Marcos",12,"Pajapita",22,2042,400,64,9,7,37,14,16,60,18,5,6,1,5,6,248,14,4,266,0,266,--,400,134,248,266,266,Algún campo sin dato,1,9334500d58cf52b9c069007f397667f63318d3b7d6b768bc67a0e00b28845760,26/06/2023 04:54:04,ESCANER
14519,"San Marcos",12,"Pajapita",22,2042,400,67,14,7,39,7,4,50,21,4,5,5,5,8,236,12,1,249,0,249,0,400,151,236,249,249,,1,67498869dc9b68a27342d81d64a1fea234d2dd5945527327c538150731d4f246,26/06/2023 00:50:29,ESCANER
14520,"San Marcos",12,"Pajapita",22,2042,400,88,12,3,38,5,10,54,13,5,8,5,1,10,252,14,4,270,0,270,0,400,130,252,270,270,,1,6e73770c3e6de0d9eae73cdc1345182bb275d9450c3a632f3f8e3d649379d6a5,26/06/2023 01:40:11,ESCANER
14521,"San Marcos",12,"Pajapita",22,2042,400,74,8,4,38,13,15,46,24,1,8,4,4,13,252,15,2,269,0,269,--,400,131,252,269,269,Algún campo sin dato,1,7bf7dbffda4e5ab2095713729551ab38c4f58ac879d4be16496615ba5ac6542f,26/06/2023 02:25:20,ESCANER
14522,"San Marcos",12,"Pajapita",22,2042,400,100,20,7,33,16,16,48,24,1,8,4,5,9,291,15,3,309,0,309,--,400,91,291,309,309,Algún campo sin dato,1,418246ba5ebb3c1e550aaee47d1b464db5233b8afddd084d7d3267ac08eaf877,26/06/2023 01:53:52,ESCANER
14523,"San Marcos",12,"Pajapita",22,2042,400,69,19,5,36,19,11,55,19,2,6,1,11,10,263,14,1,278,0,278,--,400,122,263,278,278,Algún campo sin dato,1,5dbe12dd8fb2b2577dbd116786a2aa63aabc60ebe01d5e1761ce868a2d8129bc,26/06/2023 01:51:36,ESCANER
14524,"San Marcos",12,"Pajapita",22,2042,400,72,9,5,25,5,9,53,20,0,2,0,2,7,209,5,1,215,0,215,0,400,185,209,215,215,,1,7a422afdd37f35f2a1528c521d9ddc983affc73b846ec7ecb9929dedce2af47e,26/06/2023 01:36:12,ESCANER
14525,"San Marcos",12,"Pajapita",22,2042,400,62,5,4,47,9,15,51,16,1,9,4,2,4,229,14,2,245,0,245,0,400,155,229,245,245,,1,e1f1cb6ce9de39eb937da142abdf1f557467077877d5952736e208c8d434cef5,26/06/2023 02:07:43,ESCANER
14526,"San Marcos",12,"Pajapita",22,2042,400,71,10,6,31,15,17,45,15,2,9,2,4,13,240,12,3,255,0,255,--,400,145,240,255,255,Algún campo sin dato,1,248a0666eb9f9b957cc08c75c0b9c651fb437d2d5d3f91233d276cfd6cd4e8e1,26/06/2023 03:46:54,ESCANER
14527,"San Marcos",12,"Pajapita",22,2042,400,53,11,3,30,11,4,56,15,3,8,3,4,6,207,14,3,224,0,224,--,400,176,207,224,224,Algún campo sin dato,1,7c6d4af3e2b310523907cb006638b60e4e18ec30e2f601696682890b85bcdc23,26/06/2023 00:12:33,ESCANER
14528,"San Marcos",12,"Pajapita",22,2042,400,67,8,4,32,12,10,55,19,3,6,2,3,18,239,8,0,247,0,247,--,400,153,239,247,247,Algún campo sin dato,1,803691ce05c2e7683b1309241936fb29a07d2ad879faa7f25ff79a818ec91431,25/06/2023 23:39:52,ESCANER
14529,"San Marcos",12,"Pajapita",22,2042,400,62,11,5,29,12,8,52,22,1,8,3,0,7,220,14,2,236,0,236,0,400,164,220,236,236,,1,5b0c65b500f6b957cfa5c7c8b05dcec5adc652b9ebb21f7633c43be239b534ad,26/06/2023 01:59:35,ESCANER
14530,"San Marcos",12,"Pajapita",22,2042,400,74,10,6,22,11,10,51,18,2,5,4,6,6,225,12,3,240,0,225,0,400,160,225,240,240,Sumas Asentadas sin cuadrar,1,8fdc291e2398f84264464872090e181939e6a2c5bf839ed2c26c545bb908d28a,26/06/2023 01:32:05,MOVIL
14531,"San Marcos",12,"Pajapita",22,2042,400,77,15,2,30,8,9,43,19,2,7,1,1,6,220,11,2,233,1,234,1,400,166,220,233,234,,1,417d7cbe0cc40cbffba8919df5f9960700d0f025c0a6fd4d015cc17ee5717ced,26/06/2023 00:59:04,ESCANER
14532,"San Marcos",12,"Pajapita",22,2042,400,76,9,1,30,6,7,64,20,2,1,4,2,7,229,6,4,239,0,239,0,400,161,229,239,239,,1,9dd59dc08972455a76faedf31cf8c61eea5663294fcb1a9f667c0eb84412bb8c,26/06/2023 01:02:46,ESCANER
14533,"San Marcos",12,"Pajapita",22,2042,400,82,18,3,31,8,9,51,18,5,5,0,1,2,233,4,0,237,0,237,--,400,163,233,237,237,Algún campo sin dato,1,d700c432a40e97a6f6f5169deaa21f40ae2d6a1f0f58762d22bf067bbbb95e9d,26/06/2023 00:15:50,ESCANER
14534,"San Marcos",12,"Pajapita",22,2042,400,69,8,4,32,7,11,53,20,3,11,0,4,5,227,5,0,232,1,233,0,400,167,227,232,233,,1,dfe34fb8eeeee7a14dc7a474ef21da7fa2a015c219b553d0462ca9c379a2f6aa,26/06/2023 00:54:55,ESCANER
14535,"San Marcos",12,"Pajapita",22,2042,400,57,4,2,46,2,8,38,27,3,4,1,3,5,200,2,0,202,0,202,--,400,198,200,202,202,Algún campo sin dato,1,6eaf1158508774d314d3be9ea5380942152ad64855d24f447428bdc55e5e54fb,26/06/2023 01:30:04,ESCANER
14536,"San Marcos",12,"Pajapita",22,2042,400,79,20,1,31,10,9,65,22,3,2,1,1,11,255,8,0,263,0,263,0,400,137,255,263,263,,1,cb16fa909bc5d794b08f4248babee3784a5ed51bd4ba9a7c3075933f6bf5cfaa,25/06/2023 23:38:00,ESCANER
14537,"San Marcos",12,"Pajapita",22,2042,305,47,16,1,31,9,9,33,10,4,4,0,1,10,175,4,1,180,0,180,0,305,125,175,180,180,,1,1b4103fd06af646a03376da7f6b16833ae2f437a351bb86950a733fc414aa868,25/06/2023 23:25:42,ESCANER
14538,"San Marcos",12,"Pajapita",22,2042,304,40,5,2,15,4,2,22,10,0,4,1,1,4,110,8,2,120,0,120,--,304,184,110,120,120,Algún campo sin dato,1,4a54a19045d7c816a7232eee7e87f3f2fccd7a946a106e105b04929bf1f7a86c,25/06/2023 23:11:22,ESCANER
14539,"San Marcos",12,"Pajapita",22,2043,380,134,11,2,29,12,6,17,7,0,4,0,5,8,235,20,7,262,0,262,0,380,118,235,262,262,,1,c4d8288dd7b81d30944b705cedaa87ecfb5508e0138366c7257dd581ceada4b5,26/06/2023 03:28:52,ESCANER
14540,"San Marcos",12,"Pajapita",22,2043,380,132,7,3,42,10,5,22,7,1,5,1,9,3,247,19,2,268,1,269,--,400,131,247,268,269,Algún campo sin dato,1,fe392d9f590c357e096d96b4d730c4f2f4b211a5416503ef77785ac00a420cf0,26/06/2023 02:08:56,ESCANER
14541,"San Marcos",12,"Pajapita",22,2043,380,147,8,3,44,12,7,22,16,3,6,2,4,2,276,6,1,283,0,283,0,380,97,276,283,283,,1,d99a7a61e6ad4284c3c01eee6fbf5843015ac192daf5e8f1f5307e6890728f6f,26/06/2023 03:37:47,ESCANER
14542,"San Marcos",12,"Pajapita",22,2043,380,123,9,4,27,8,6,18,16,2,4,1,2,3,223,10,0,233,0,233,--,380,147,223,233,233,Algún campo sin dato,1,7183683d1f680a31059e62afffead24bf9464c6394cfa6e475d11d73fce28215,26/06/2023 01:41:21,ESCANER
14543,"San Marcos",12,"Pajapita",22,2043,380,143,5,2,29,11,4,13,4,1,2,2,4,6,226,11,2,239,0,239,0,380,141,226,239,239,,1,8caa1d306c7055b67f0d818e1a269dae539c9b288be77ad60ed8bc1401ffba8f,26/06/2023 03:34:06,ESCANER
14544,"San Marcos",12,"Pajapita",22,2043,380,114,8,3,23,7,3,19,5,1,5,0,1,3,192,18,4,214,0,214,--,380,166,192,214,214,Algún campo sin dato,1,166e7e753599caf95fc2de35f9d9c8a4b2e8f90bb8d6a6843cb6cba4ea87142a,26/06/2023 02:35:40,ESCANER
14545,"San Marcos",12,"Pajapita",22,2043,380,131,5,2,29,6,1,21,9,0,1,0,1,4,210,4,1,215,5,220,0,380,160,210,215,220,,1,678bb6af819de1b41a1bfe0f9695ec59548c9975c2f185e1acc1ebe0cf66f9f6,26/06/2023 04:39:25,ESCANER
