TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
31,30,96.7741,30,96.7741,0,10384,5299,51.0304

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,PHG,CABAL,VAMOS,UR,UNE,VIVA,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
14559,"San Marcos",12,"Ixchiguán",23,2047,400,3,78,71,12,7,1,2,174,20,6,200,0,200,0,400,200,174,200,200,,1,a3672bd5c4b31666684cd8c7e01c190155c08e39980ec0ea0b4f267e77f59b7a,25/06/2023 23:26:51,ESCANER
14560,"San Marcos",12,"Ixchiguán",23,2047,400,2,136,57,15,4,7,2,223,14,5,242,0,242,0,400,158,223,242,242,,1,7ebada3ed28a3f6f9f0c7dd44e7d2182c0d9fa9e26dbf721704a8ffcf7900af5,26/06/2023 00:58:56,ESCANER
14561,"San Marcos",12,"Ixchiguán",23,2047,400,,,,,,,,,,,,,,,,,,,,,0,,,
14562,"San Marcos",12,"Ixchiguán",23,2047,400,3,132,52,43,3,3,1,237,15,9,261,0,261,0,400,139,237,261,261,,1,a58c349bb398ab36e6af81c594b7a4c679a793476f2819836543880b5f714fc3,26/06/2023 00:26:48,ESCANER
14563,"San Marcos",12,"Ixchiguán",23,2047,400,5,136,60,17,4,3,5,230,6,2,238,--,--,--,400,162,230,238,238,Algún campo sin dato,1,f0a47166cc8272c44143c36f4cff797472fe07bd5251c9ba832bd6173e24d392,26/06/2023 04:31:33,ESCANER
14564,"San Marcos",12,"Ixchiguán",23,2047,400,8,80,46,11,0,2,2,149,8,3,160,0,160,0,400,240,149,160,160,,1,5126a9495b7ecdba96c71e12dc0e6443d4eb75eb28326a16c27c383c7041e259,26/06/2023 02:36:41,ESCANER
14565,"San Marcos",12,"Ixchiguán",23,2047,400,0,106,39,16,1,3,7,181,0,3,172,6,181,0,400,219,172,175,181,Sumas Asentadas sin cuadrar,1,ee4c783bf4de736c1d8d3408d0a9ad5b208217a0988c4099e132c44ef7d01a7c,26/06/2023 02:34:53,MOVIL
14566,"San Marcos",12,"Ixchiguán",23,2047,232,1,58,24,16,0,1,4,104,2,0,106,0,106,0,232,126,104,106,106,,1,674ca67d2d51474cc281e01b90dd66bc0696e5405bf36d003c7c78f2553b787e,25/06/2023 23:12:25,ESCANER
14567,"San Marcos",12,"Ixchiguán",23,2047,232,1,47,26,12,1,5,0,92,1,1,94,0,94,0,232,135,92,94,94,,1,a2ce25c5b0ecf65d843746976ab049822471af6c0d2e26433d4c154e6bff0ca0,25/06/2023 23:10:29,ESCANER
14568,"San Marcos",12,"Ixchiguán",23,2048,380,14,68,94,6,5,3,1,191,19,7,217,0,217,0,380,163,191,217,217,,1,99fc4fcab2a9b91c180d340cf1eeaac9f4a65211259f58a48d1fcaf40b487fc4,26/06/2023 01:29:45,ESCANER
