TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
36,36,100.0000,36,100.0000,0,12876,6937,53.8754

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,AZUL,VAMOS,PHG,BIEN,WINAQ,TODOS,ELEFANTE,VIVA,CABAL,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
14590,"San Marcos",12,"San José Ojetenam",24,2056,400,3,4,47,1,26,1,139,5,3,5,234,18,10,262,0,262,0,400,138,234,262,262,,1,429cbf39c844493f46b5c46aced44dd49619413fe543904e5959e4f3d9c435af,26/06/2023 02:05:05,ESCANER
14591,"San Marcos",12,"San José Ojetenam",24,2056,400,9,2,43,0,39,2,142,3,2,0,242,17,5,264,0,264,0,400,136,242,264,264,,1,18c9f2554dd01fc72e6b3c6767c3188c252d8a735d811774dcf1756f505b566e,26/06/2023 02:11:10,ESCANER
14592,"San Marcos",12,"San José Ojetenam",24,2056,400,8,1,45,1,27,5,171,3,5,4,270,14,4,288,1,289,1,400,111,270,288,289,,1,a95f57a5e2b842aa3bea1f61ae51cc826588f026c30f03aa2870a691c55bb371,26/06/2023 02:11:46,ESCANER
14593,"San Marcos",12,"San José Ojetenam",24,2057,400,8,1,28,1,18,7,130,4,0,2,199,11,8,218,0,218,--,400,182,199,218,218,Algún campo sin dato,1,1df095802ea571aef101296623e156639b58a42f97952a3f2454771136ae7bc5,25/06/2023 23:03:32,ESCANER
14594,"San Marcos",12,"San José Ojetenam",24,2057,400,10,0,52,0,19,0,137,0,2,2,222,14,1,237,0,237,0,400,163,222,237,237,,1,d5c0a577b19857cc620636b20823721c0e711a9600f48cb8c9b018bf7773a690,26/06/2023 00:03:49,ESCANER
14595,"San Marcos",12,"San José Ojetenam",24,2057,400,9,2,37,0,24,3,148,2,3,2,230,16,4,250,0,250,--,400,150,230,250,250,Algún campo sin dato,1,dc13b72f6210f6b802e9b9b86eedfc1fbd8f7df168a73febf189dc7faf1175b2,25/06/2023 21:21:59,ESCANER
14596,"San Marcos",12,"San José Ojetenam",24,2058,400,8,0,49,0,19,1,129,1,3,4,214,8,2,224,0,224,0,400,176,214,224,224,,1,096665e0d83de3dfdeba915a359396163e79fd374bac039e5a5e6c2b66de0a76,25/06/2023 23:42:11,ESCANER
14597,"San Marcos",12,"San José Ojetenam",24,2058,331,4,0,36,0,21,3,101,1,2,0,168,1,1,170,0,170,0,331,161,168,170,170,,1,8f972e80773ad980c40769d3451e999fce7574951bc4ba4d8489e18a5dc2f62e,25/06/2023 23:19:37,ESCANER
14598,"San Marcos",12,"San José Ojetenam",24,2058,330,5,0,18,0,8,2,109,3,1,1,155,2,6,155,0,155,--,330,175,147,155,155,Sumas Asentadas sin cuadrar,1,b88a6a64301043caa6c02631da4dbaa953f03c6212156eb5e6225a843974e9d4,25/06/2023 22:49:44,ESCANER
14599,"San Marcos",12,"San José Ojetenam",24,2059,400,13,1,46,1,19,1,90,0,2,3,176,19,1,196,0,196,0,400,204,176,196,196,,1,f0228f929ca62a5dd4b2eb4d25ec6de030e1d3fcf1860fead68c943bfb7fc241,25/06/2023 22:59:12,ESCANER
14600,"San Marcos",12,"San José Ojetenam",24,2059,213,3,0,24,0,6,0,39,1,1,1,75,7,5,87,0,87,0,213,126,75,87,87,,1,aeeee16dbb5bd54d0e2a2250724c995ce8e742f79d96993a32b1a62d83c60079,25/06/2023 22:56:21,ESCANER
14601,"San Marcos",12,"San José Ojetenam",24,2059,213,4,1,17,0,5,0,50,0,1,0,78,2,0,80,0,80,--,213,133,78,80,80,Algún campo sin dato,1,969ad7929e2602cacea5e5eee19b0ec6d6e6262d48c466114de95edbe7f984d7,25/06/2023 20:37:48,ESCANER
14602,"San Marcos",12,"San José Ojetenam",24,2060,380,5,1,139,6,25,0,20,0,3,1,200,22,8,230,0,230,0,380,150,200,230,230,,1,e6f3c15418bef35b96691ea9e312dabe87441a3156fd5fcf35d0af74ee9658b0,26/06/2023 00:59:45,ESCANER
14603,"San Marcos",12,"San José Ojetenam",24,2060,380,2,1,157,10,23,1,29,1,4,5,233,24,4,261,0,261,1,380,119,233,261,261,,1,adf6634cb959c417023a0e97580081c50221649e4d1ff50fbaf3676922f1d2c6,26/06/2023 01:01:18,ESCANER
14604,"San Marcos",12,"San José Ojetenam",24,2060,380,8,1,155,4,28,0,17,2,3,1,219,28,7,254,0,254,0,380,126,219,254,254,,1,c0a415494c8da7ccf489068bb49221d93156d25f1d1a34a0f63cda890d51561c,25/06/2023 23:48:14,ESCANER
14605,"San Marcos",12,"San José Ojetenam",24,2061,380,5,1,131,5,29,0,19,0,1,0,191,13,9,213,0,213,0,380,167,191,213,213,,1,c6afbbf11d31636bee7a8849f517d622f15418d4511115e1dfc5bdf1a83e2f18,25/06/2023 22:23:35,ESCANER
14606,"San Marcos",12,"San José Ojetenam",24,2061,380,4,0,113,3,11,2,14,2,1,2,152,21,8,181,0,181,0,380,199,152,181,181,,1,6a77b1882d23709235ff99b8316a772b0046f3c72f22c31b4a469436db4fce06,25/06/2023 23:04:15,ESCANER
14607,"San Marcos",12,"San José Ojetenam",24,2061,321,2,2,101,2,19,0,8,2,1,0,137,5,5,147,0,147,0,321,174,137,147,147,,1,9ced7eebb196c5d2e9028d438aa60745298b2dfc7867cf60d704bef49e70fd2e,25/06/2023 22:22:16,ESCANER
14608,"San Marcos",12,"San José Ojetenam",24,2061,320,2,0,89,0,13,0,21,0,3,0,128,6,0,134,0,134,0,320,186,128,134,134,,1,cd19b9b8d6eefa45a1e1f68147139112cbedf9838329012bcd71de3f12380a1b,25/06/2023 23:13:46,ESCANER
14609,"San Marcos",12,"San José Ojetenam",24,2062,380,2,2,100,0,9,0,67,0,15,1,196,32,8,236,0,236,0,380,144,196,236,236,,1,7588a38b4f1450ed17cce43617aa92dd3b15cbbd97169b556ab47cd14474f3c0,25/06/2023 23:05:34,ESCANER
14610,"San Marcos",12,"San José Ojetenam",24,2062,380,5,1,119,0,15,0,81,0,12,0,233,28,13,274,0,274,0,380,106,233,274,274,,1,e9cc37ac787443c773c1aa4184f5194534aaac4c196879f9bf848300d0e8d36f,25/06/2023 22:58:04,ESCANER
14611,"San Marcos",12,"San José Ojetenam",24,2062,380,7,0,107,0,8,0,65,0,15,1,203,17,7,227,0,227,0,380,153,203,227,227,,1,2007b0b72a972bfcee51067be855be5cdffac8b5c78a8f7cd4b99180cb4dcb95,26/06/2023 00:52:15,ESCANER
14612,"San Marcos",12,"San José Ojetenam",24,2063,380,5,1,94,0,11,0,58,0,13,1,183,18,6,207,0,207,0,363,156,183,207,207,,1,9d879b155c891993de325b987c9b0617a2dfff1b963d819c86dd9d26eec84cd1,25/06/2023 23:53:48,ESCANER
14613,"San Marcos",12,"San José Ojetenam",24,2063,327,2,0,62,0,5,0,53,0,13,1,136,6,4,146,0,146,0,326,180,136,146,146,,1,f440eda5cf4b29f4195aa02c314acdda0bdcc8da5e186c23f9c68a487c5fa79d,25/06/2023 23:43:49,ESCANER
14614,"San Marcos",12,"San José Ojetenam",24,2063,327,2,0,86,0,3,0,40,0,5,0,136,3,2,141,0,141,0,327,183,136,141,141,,1,426bc84da090f91809988ecc9faa411080de244caa2a28e4e45de8b868fdfa27,25/06/2023 23:39:14,ESCANER
14615,"San Marcos",12,"San José Ojetenam",24,2064,380,2,2,72,0,16,3,94,2,0,2,193,22,15,230,0,230,0,380,150,193,230,230,,1,8ae6cba49888b86df8928dfa5bc2cbcc5f783da4a43f6e75e336bbdb79ab3c57,26/06/2023 00:22:12,ESCANER
14616,"San Marcos",12,"San José Ojetenam",24,2064,380,9,1,75,0,31,1,78,0,4,4,203,13,4,220,0,220,0,0,0,203,220,220,,1,24534ff52266b85f4e5a603acd9ed70928ac5e1be707cf1f216a8ccacd37ba96,26/06/2023 00:44:14,ESCANER
14617,"San Marcos",12,"San José Ojetenam",24,2064,380,7,3,88,0,12,0,62,0,2,1,175,7,8,190,0,190,0,380,190,175,190,190,,1,ddfd2dd2b24af75b3f8d0824f5de1c40be465b6be89d391a71f21a052dfbd490,25/06/2023 23:00:59,MOVIL
14618,"San Marcos",12,"San José Ojetenam",24,2065,348,2,1,58,0,19,1,53,0,0,1,135,11,6,152,0,152,0,345,193,135,152,152,,1,be4788c062845fbfdf67688441a31058e85559ae5f2fd73106d6088f711e3b5c,25/06/2023 23:48:59,ESCANER
14619,"San Marcos",12,"San José Ojetenam",24,2065,348,1,1,60,1,14,0,46,0,0,1,124,1,1,126,6,132,0,348,216,124,126,132,,1,c970b0411f0febfbead3adffa7943128e1d5f5fd94bcebd5210bda1f3f54f5a9,25/06/2023 23:39:37,ESCANER
14620,"San Marcos",12,"San José Ojetenam",24,2066,380,14,3,65,0,12,6,103,6,8,3,220,30,6,256,0,256,0,380,124,220,256,256,,1,efe27a7f68da06ee5df011a71228a9c016d0ac57d9e7c43475ba7b37937a11b1,25/06/2023 23:35:11,ESCANER
14621,"San Marcos",12,"San José Ojetenam",24,2066,380,11,2,69,2,7,3,114,2,8,1,219,23,4,246,0,246,--,380,134,219,246,246,Algún campo sin dato,1,df34095dc4971f338585ec2e64d4f13df0990b4431bb80cdc4212eae0b0e0989,26/06/2023 03:11:24,ESCANER
14622,"San Marcos",12,"San José Ojetenam",24,2067,308,4,1,50,1,6,2,78,2,1,1,146,16,6,168,0,168,0,308,140,146,168,168,,1,bd65e9a6944a731b7876b5bdf697eb5c61245e0e9ecf03b4207a218edaca4fe9,25/06/2023 22:59:43,ESCANER
14623,"San Marcos",12,"San José Ojetenam",24,2067,307,13,0,25,1,6,0,67,9,2,0,123,30,1,154,0,154,0,307,153,123,154,154,,1,0dd797064a806205e058a6530c20856b6e25af4f59f82ccf6ce3c9af1eef33aa,25/06/2023 23:26:31,ESCANER
14624,"San Marcos",12,"San José Ojetenam",24,2068,332,1,0,18,0,7,1,34,0,0,2,63,5,5,73,0,73,0,332,259,63,73,73,,1,c551172ae30d242156c244dac685a228683ee046987316cad7d2d098381d2c76,25/06/2023 23:33:57,ESCANER
14625,"San Marcos",12,"San José Ojetenam",24,2068,331,0,0,9,0,8,2,12,0,2,0,33,6,1,40,0,40,--,331,291,33,40,40,Algún campo sin dato,1,6c0f336f6a2e8a6926e4d1e1dfc31391f64363f7ba26968f6a4cac61867d7d48,25/06/2023 22:55:33,ESCANER
