TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
33,33,100.0000,33,100.0000,0,11410,6754,59.1936

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,AZUL,TODOS,UNE,VICTORIA,ELEFANTE,VAMOS,WINAQ,VALOR,PHG,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
14626,"San Marcos",12,"San Cristóbal Cucho",25,2069,400,61,28,84,9,0,19,30,1,3,5,0,240,10,8,258,0,258,--,400,142,240,258,258,Algún campo sin dato,1,03b4a8ac754e2c2033fdf8fb4e38e6e7bda7a39f9ff8a5be4ccbc807a75ef1a0,26/06/2023 00:10:32,ESCANER
14627,"San Marcos",12,"San Cristóbal Cucho",25,2069,400,63,40,106,2,3,28,27,3,2,4,0,278,14,4,296,0,296,--,400,104,278,296,296,Algún campo sin dato,1,df2839a31a24b75f472ff7d9806a5230f67261b7e9673b519d3ceaf9215e3da5,25/06/2023 23:21:28,ESCANER
14628,"San Marcos",12,"San Cristóbal Cucho",25,2069,400,28,53,128,9,5,26,20,2,5,4,2,282,9,10,301,0,301,--,400,99,282,301,301,Algún campo sin dato,1,93a463cdae1cc281c9e90272a363e4a40d73f776b984bc7de84914b4cf3a4a13,25/06/2023 23:17:31,ESCANER
14629,"San Marcos",12,"San Cristóbal Cucho",25,2070,400,27,54,143,3,1,30,21,1,2,2,1,285,11,16,312,0,312,--,400,88,285,312,312,Algún campo sin dato,1,209aa9143e992d9684f0b9a5f87d8d269d5611001c5a9e42bb9ac34c31e11bb8,26/06/2023 01:27:43,ESCANER
14630,"San Marcos",12,"San Cristóbal Cucho",25,2070,400,30,34,109,4,3,12,22,2,0,1,0,217,6,5,228,0,228,--,400,172,217,228,228,Algún campo sin dato,1,10d76e773ca8228dd5b06fd3a2f53c82058021b87c88c61de19ef8d8b4b5d2a9,25/06/2023 23:18:55,ESCANER
14631,"San Marcos",12,"San Cristóbal Cucho",25,2070,400,30,30,95,6,4,20,29,4,0,6,0,224,4,4,232,0,232,--,400,168,224,232,232,Algún campo sin dato,1,d161446ca1d79bdca331f274277a66332fd5eea02a7e2e2ec3850ed894ee0766,25/06/2023 21:49:59,ESCANER
14632,"San Marcos",12,"San Cristóbal Cucho",25,2071,400,34,28,109,6,2,19,26,2,5,3,0,234,6,1,241,0,241,--,400,159,234,241,241,Algún campo sin dato,1,7a7eaac6704135110437a7bbfa2074da037500da9cfe4f621ff74beabb704eba,25/06/2023 21:28:09,ESCANER
14633,"San Marcos",12,"San Cristóbal Cucho",25,2071,308,35,31,74,7,5,13,17,3,2,1,0,188,0,2,190,0,190,--,308,118,188,190,190,Algún campo sin dato,1,d4190d895a5859b33cc8399a4c9ec6065f4fc5fbc003a02cb2a4198fcb49f26b,25/06/2023 21:56:09,ESCANER
14634,"San Marcos",12,"San Cristóbal Cucho",25,2072,307,23,32,92,3,0,15,16,0,1,1,0,183,1,2,186,0,186,--,307,121,183,186,186,Algún campo sin dato,1,c078893e2f559724ca68a026d310f8b4271c1ac68eb018baa0f517f745386fb3,25/06/2023 22:18:17,ESCANER
14635,"San Marcos",12,"San Cristóbal Cucho",25,2073,380,37,33,1,2,3,34,71,0,4,1,0,186,12,11,209,0,209,--,380,171,186,209,209,Algún campo sin dato,1,e40052baf49483cfb88e8d46af7c7dbad7116ef4b28cdc11458978f0d1cc35d2,25/06/2023 22:38:03,ESCANER
14636,"San Marcos",12,"San Cristóbal Cucho",25,2073,380,38,41,5,5,8,16,96,0,5,0,0,214,10,16,240,0,240,--,380,140,214,240,240,Algún campo sin dato,1,7b5bfec6d3eea6fbfb0a9d38ed57bbed4b6b40d6a5bb11498f7f4f7b35c65f3f,25/06/2023 23:04:14,ESCANER
14637,"San Marcos",12,"San Cristóbal Cucho",25,2073,380,35,35,3,1,2,22,82,1,3,2,0,186,12,10,208,0,208,--,378,170,186,208,208,Algún campo sin dato,1,b9fe9f2ad00b688dba9bb8c22073ab35c8c18ad34378d6b7ea7cd7dd278bc9aa,25/06/2023 22:39:46,ESCANER
14638,"San Marcos",12,"San Cristóbal Cucho",25,2073,380,36,31,5,1,2,25,64,0,0,2,0,166,8,1,175,0,175,--,381,206,166,175,175,Algún campo sin dato,1,589d71205608eabb25c4a6668ae200724d4a09c9271d436a5a43e27f824da81e,25/06/2023 21:17:30,ESCANER
14639,"San Marcos",12,"San Cristóbal Cucho",25,2073,240,24,12,8,2,1,16,32,0,3,0,0,98,2,0,100,0,100,--,240,140,98,100,100,Algún campo sin dato,1,ff103bf675b9d88d60e75034852dc04b7cc79ea62356cf6b784063d5f58d6d0e,25/06/2023 20:50:54,ESCANER
14640,"San Marcos",12,"San Cristóbal Cucho",25,2073,240,17,21,7,1,4,17,39,0,0,1,0,107,0,1,108,0,108,--,240,132,107,108,108,Algún campo sin dato,1,aa8c22b49b9a160c66bb0ef3abdc68cdc9615f52932ba9a1aaf963c11ead4f0d,25/06/2023 21:03:35,ESCANER
14641,"San Marcos",12,"San Cristóbal Cucho",25,2074,380,57,40,11,2,2,31,57,1,0,10,1,212,15,9,236,0,236,--,380,144,212,236,236,Algún campo sin dato,1,fcab55e12cd3edae67eff68294b16cbdd207561006366b487be41eeb90e8254e,26/06/2023 00:05:51,ESCANER
14642,"San Marcos",12,"San Cristóbal Cucho",25,2074,380,40,36,19,2,10,26,76,0,3,6,0,218,13,13,244,0,244,--,380,136,218,244,244,Algún campo sin dato,1,9fdf6908df13915137fa36af0652727eb4049d6469c8e9f5c55ad47771ed2106,26/06/2023 00:20:36,ESCANER
14643,"San Marcos",12,"San Cristóbal Cucho",25,2074,380,54,38,19,4,11,28,69,2,3,8,1,237,7,8,252,0,252,--,380,128,237,252,252,Algún campo sin dato,1,d5be9dc6d67d6099a481301d602be561aedebc7b6c917940e84ed6bd8e9d907b,25/06/2023 23:04:31,ESCANER
14644,"San Marcos",12,"San Cristóbal Cucho",25,2074,380,53,25,22,2,6,28,64,1,2,5,0,208,11,3,222,--,--,--,380,158,208,222,222,Algún campo sin dato,1,a4ede63772434d67cf57e9ba210c9eaeb5be0c19fbc9aaed72de10af43e29212,25/06/2023 22:50:45,ESCANER
14645,"San Marcos",12,"San Cristóbal Cucho",25,2075,380,62,35,19,4,3,30,47,0,2,14,0,216,8,5,229,0,229,--,379,150,216,229,229,Algún campo sin dato,1,48256f19655aea0ad630ccd1a42d66346c346384cafa9f466c2c394a108bad70,25/06/2023 22:59:53,ESCANER
14646,"San Marcos",12,"San Cristóbal Cucho",25,2075,349,42,35,15,3,1,33,62,0,1,4,0,196,3,1,200,0,200,--,--,--,196,200,200,Algún campo sin dato,1,b6054148e69720f45e6ea87075bda19df8dd54b3c85f2d8d9894a201d4f65fb7,25/06/2023 21:44:52,ESCANER
14647,"San Marcos",12,"San Cristóbal Cucho",25,2075,349,42,29,13,5,8,22,46,1,0,6,0,172,2,1,175,--,--,--,349,174,172,175,175,Algún campo sin dato,1,ff290e3ae1aba09357c07432ff3a3181ec4d2ab364efb98a84c9969685ad9dba,25/06/2023 22:38:51,ESCANER
14648,"San Marcos",12,"San Cristóbal Cucho",25,2076,380,25,133,2,4,2,7,47,1,2,4,0,227,9,10,246,0,246,--,380,134,227,246,246,Algún campo sin dato,1,ded30f2bd6cda22127bd431452298303ebb19f6419b42c3beb904330a2d76d81,25/06/2023 23:35:29,ESCANER
14649,"San Marcos",12,"San Cristóbal Cucho",25,2076,380,22,110,9,2,3,0,40,0,3,5,0,194,7,5,206,0,206,--,380,174,194,206,206,Algún campo sin dato,1,42967adf3ec553cad1eecd2741df1bac7fc1a39667c42c0d4bc7f6ab6381eddd,26/06/2023 00:21:57,ESCANER
14650,"San Marcos",12,"San Cristóbal Cucho",25,2077,206,21,66,3,2,0,2,13,1,1,2,0,111,1,7,119,0,119,--,206,87,111,119,119,Algún campo sin dato,1,eb10574e32bcf646e34b8fc9029510b4cfb8f43bfa9d334dee4817f6aa70bfd6,25/06/2023 22:44:26,ESCANER
14651,"San Marcos",12,"San Cristóbal Cucho",25,2077,206,7,73,3,0,3,6,22,0,2,0,0,116,2,2,120,0,120,--,206,86,116,120,120,Algún campo sin dato,1,29fa6ae7566c5997319fb0d2ff25a467d18b0f883d06fe551c5d21eacdb68635,25/06/2023 22:05:51,ESCANER
14652,"San Marcos",12,"San Cristóbal Cucho",25,2078,348,25,80,18,6,2,20,34,0,4,7,0,196,9,3,208,0,208,--,348,140,196,208,208,Algún campo sin dato,1,34b778cb86cd5e93381eb0a1a3c02177f7bb00ad0c8b0a827784330ffd46588d,26/06/2023 01:22:17,ESCANER
14653,"San Marcos",12,"San Cristóbal Cucho",25,2079,347,18,63,19,7,3,14,41,1,2,4,0,172,6,3,181,0,181,--,346,165,172,181,181,Algún campo sin dato,1,9266bd5ccccc1e86e35544fa9fa0576214fc0a2a0c1296441c40427818635f2d,26/06/2023 01:28:49,ESCANER
14654,"San Marcos",12,"San Cristóbal Cucho",25,2080,380,44,34,25,2,0,12,54,3,8,2,0,184,12,9,205,0,205,--,305,100,184,205,205,Algún campo sin dato,1,5d840aaed8d5e7ff0cbaf30ea32a302861a07533e93e613cc8abd40373d71600,25/06/2023 22:23:49,MOVIL
14655,"San Marcos",12,"San Cristóbal Cucho",25,2080,380,37,22,22,4,0,9,62,4,9,0,0,169,4,2,176,1,176,--,304,128,169,175,176,Sumas Asentadas sin cuadrar,1,e996ee8cfda4209f1c2318241f6006a2dd7b2acc4a3974559d89231b3864444a,25/06/2023 22:17:48,MOVIL
14656,"San Marcos",12,"San Cristóbal Cucho",25,2081,204,27,28,120,0,2,10,20,0,0,0,0,207,10,7,224,0,224,--,279,55,207,224,224,Algún campo sin dato,1,45f7f237bfbf74ae0936595ebd28d6a1f35c73e247d487e8c1448f90a41e5369,25/06/2023 22:17:44,ESCANER
14657,"San Marcos",12,"San Cristóbal Cucho",25,2081,203,16,26,126,3,0,5,10,0,0,1,0,187,0,1,188,0,188,--,279,91,187,188,188,Algún campo sin dato,1,3fa5589808f5234ccc0dc81bfa3bdcbcdd00aa7436b2f238f351d9dfe25cacb1,25/06/2023 22:40:40,ESCANER
