TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
32,32,100.0000,31,96.8750,1,11095,7001,63.1004

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VICTORIA,VAMOS,CREO,UNE,PHG,CABAL,WINAQ,VIVA,UR,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
14659,"San Marcos",12,"Sipacapa",26,2083,400,7,74,64,67,10,0,1,3,5,0,231,23,8,262,0,262,--,369,107,231,262,262,Algún campo sin dato,1,f20b55ed5a033b8d18942fe25935c6f23a0c624a513f776f29f4fcbf593d6d46,26/06/2023 01:22:45,ESCANER
14660,"San Marcos",12,"Sipacapa",26,2083,400,9,65,95,82,9,0,0,1,1,1,263,25,8,296,0,297,1,369,72,263,296,296,Sumas Asentadas sin cuadrar,1,f724fbabefd0c19312e479e9c0feaac6d2925e01693948ce8d10502e9ad917f0,26/06/2023 00:36:25,ESCANER
14661,"San Marcos",12,"Sipacapa",26,2083,400,17,57,80,72,7,2,1,4,3,1,244,24,7,275,0,275,--,396,121,244,275,275,Algún campo sin dato,1,063ee6fddfde7d7f92dd19d230ed7e2eec38ceed3f586e43173a57aefb84a4e2,26/06/2023 01:13:55,ESCANER
14662,"San Marcos",12,"Sipacapa",26,2083,400,9,78,85,78,7,2,0,4,3,0,266,19,16,301,0,301,--,399,98,266,301,301,Algún campo sin dato,1,219b7ed7b853728d1912e357536b0c6fd6341b0bf38e1d91e5619d9769a1aec4,26/06/2023 02:04:37,ESCANER
14663,"San Marcos",12,"Sipacapa",26,2083,400,10,91,68,67,0,0,0,2,1,0,246,22,4,272,0,272,0,366,94,239,265,265,Sumas Asentadas sin cuadrar,1,3b2a8a2a79695c1168d48b6a6620aaa05b26280a2b6302a2eba84e5b83d5edb7,26/06/2023 03:16:13,ESCANER
14664,"San Marcos",12,"Sipacapa",26,2083,400,13,123,60,80,2,1,0,1,3,0,283,25,4,312,1,313,--,402,89,283,312,313,Algún campo sin dato,1,5da31d69aa528f5b17d85afa99df77929f42757da3ac2b515c557a6e21545298,26/06/2023 01:36:46,ESCANER
14665,"San Marcos",12,"Sipacapa",26,2083,400,6,112,40,97,6,1,0,3,2,0,267,18,6,291,0,291,--,400,109,267,291,291,Algún campo sin dato,1,0867d01fbc52dec8b1ef3fd6086e9a009b6489d3352774bf1b36c7012bc6bad1,25/06/2023 23:55:53,ESCANER
14666,"San Marcos",12,"Sipacapa",26,2083,400,9,83,48,64,3,3,0,3,1,0,214,11,1,226,0,226,1,402,176,214,226,226,,1,59fea1fa9b756f0a1a4945999cdeba396c736a63028aa813c23da0dd1531501c,26/06/2023 00:34:51,ESCANER
14667,"San Marcos",12,"Sipacapa",26,2083,400,12,92,62,61,7,1,1,1,3,0,240,8,4,252,0,252,--,369,117,240,252,252,Algún campo sin dato,1,4f4980d76f6f9573e9fb868e76296d7c4aabdb19f7484482a8ec22318dec2761,25/06/2023 23:47:15,ESCANER
14668,"San Marcos",12,"Sipacapa",26,2084,400,7,61,45,55,5,2,0,2,2,0,179,13,0,192,0,192,--,400,208,179,192,192,Algún campo sin dato,1,d123ee6c472da16192115511f86506f64d41aa3ae8c6e9156303f33e7115d12d,26/06/2023 00:46:28,ESCANER
14669,"San Marcos",12,"Sipacapa",26,2084,400,7,71,37,69,4,1,1,2,3,0,195,3,0,198,0,198,--,399,201,195,198,198,Algún campo sin dato,1,3731b5298eec48748c0d29fc02221180fd3d8c0433716249542511789ce64f3f,26/06/2023 00:37:23,ESCANER
14670,"San Marcos",12,"Sipacapa",26,2084,366,11,75,45,57,3,0,0,0,0,0,194,8,0,199,0,199,1,366,163,191,199,199,Sumas Asentadas sin cuadrar,1,99d103766bd99376719209a3a14b6fef6e2af29a69d7d09225622b62d40298fb,26/06/2023 01:27:44,ESCANER
14671,"San Marcos",12,"Sipacapa",26,2084,365,11,56,52,48,1,0,0,2,2,0,118,3,1,182,0,118,0,362,180,172,176,176,Sumas Asentadas sin cuadrar,1,bd947fd864d0ec856c9800dde3304ba8e42c27695fd059385597477257092123,26/06/2023 03:05:37,ESCANER
14672,"San Marcos",12,"Sipacapa",26,2085,380,16,61,47,108,1,1,0,3,2,0,239,11,12,262,0,262,--,--,--,239,262,262,Algún campo sin dato,1,db6b1fd4eb01fc15d55c71f2e62f4d3c3af24b4a3c2c67e3d2a77a7a7c4932c3,26/06/2023 03:10:09,ESCANER
14673,"San Marcos",12,"Sipacapa",26,2085,380,10,56,73,145,2,0,1,1,4,0,292,19,17,328,0,328,--,383,55,292,328,328,Algún campo sin dato,1,8406ec53ae3f917239623433ae3e5fcd8cd1d04067a1cf185e7066bf466ffafc,26/06/2023 00:33:38,ESCANER
14674,"San Marcos",12,"Sipacapa",26,2085,380,6,69,48,151,11,2,0,2,1,0,290,15,7,312,0,312,--,380,68,290,312,312,Algún campo sin dato,1,a2b7d047813fffd67b9684fd28e04edcf98355cb567914e146c305bb1140adb6,25/06/2023 23:42:07,ESCANER
14675,"San Marcos",12,"Sipacapa",26,2085,380,10,55,79,122,7,2,1,1,2,0,279,13,5,297,0,297,1,380,82,279,297,297,,1,dfef8819fd8b2de863ae39bad258cf19b348a12f10f92692a7e31aedfbf2de78,26/06/2023 04:08:02,ESCANER
14676,"San Marcos",12,"Sipacapa",26,2085,380,12,74,61,104,1,1,0,2,3,0,258,20,5,283,0,283,--,376,93,258,283,283,Algún campo sin dato,1,fe328e8a07661d9977342e0c97d091e0d7d6f68d071f19d7d580bf78644ab066,26/06/2023 00:58:58,ESCANER
14677,"San Marcos",12,"Sipacapa",26,2085,380,9,44,39,105,2,0,0,1,2,0,202,9,0,211,0,211,--,380,169,202,211,211,Algún campo sin dato,1,9d9d893a181b2ad5c0421bb0a7ca2611d7bf87e8d1caca991b411e9d32820ab2,26/06/2023 00:42:41,ESCANER
14678,"San Marcos",12,"Sipacapa",26,2085,380,7,63,35,88,4,0,0,1,0,0,198,4,1,203,0,203,--,380,177,198,203,203,Algún campo sin dato,1,17fe1450c915aeb4b7fba80ca29d2ea6a20c3245488c0a54b7ec00fc684bdbea,25/06/2023 23:19:07,ESCANER
