TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
25,25,100.0000,25,100.0000,0,8928,6177,69.1868

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,UNE,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
14691,"San Marcos",12,"Esquipulas Palo Gordo",27,2092,400,165,78,6,0,249,12,2,263,0,263,--,400,137,249,263,263,Algún campo sin dato,1,80cb54b92cca7ec09eae52eb3bae3de74b254382ed5e2ecbbae5672807a323a2,26/06/2023 00:14:53,ESCANER
14692,"San Marcos",12,"Esquipulas Palo Gordo",27,2092,400,163,112,3,1,279,6,3,288,0,288,--,400,112,279,288,288,Algún campo sin dato,1,ca39f4a5c302e81e59a33f0262f2c9924d2670ee8194f5df359a850059b18b36,25/06/2023 23:39:38,ESCANER
14693,"San Marcos",12,"Esquipulas Palo Gordo",27,2092,400,173,99,6,5,294,8,3,11,0,11,--,400,106,283,294,294,Sumas Asentadas sin cuadrar,1,f40561339cdab6c4ebc9f80d4e53b213bb6e0c64b1e3a4adb29d4863332ccd17,26/06/2023 02:12:50,ESCANER
14694,"San Marcos",12,"Esquipulas Palo Gordo",27,2092,400,178,126,4,3,311,4,2,317,0,317,--,400,83,311,317,317,Algún campo sin dato,1,54652811a4c0e72db8ffc41afbb16cfb10f46742dbda2d4218be5dc56d3eccca,26/06/2023 00:18:15,ESCANER
14695,"San Marcos",12,"Esquipulas Palo Gordo",27,2092,400,207,107,2,4,320,6,5,331,0,331,--,400,69,320,331,331,Algún campo sin dato,1,3d2ff6440ab7165b4eb0fbe2b7a4ab83bcf34fd1c86b888c9395af41590a4cff,26/06/2023 02:05:30,ESCANER
14696,"San Marcos",12,"Esquipulas Palo Gordo",27,2093,400,148,92,2,2,244,5,4,253,0,253,--,400,147,244,253,253,Algún campo sin dato,1,897bcb8a335467034be007a316054a2d58090508c696e934284440e4082b1d3f,25/06/2023 23:08:31,ESCANER
14697,"San Marcos",12,"Esquipulas Palo Gordo",27,2093,400,135,92,2,2,231,10,4,245,0,245,--,400,155,231,245,245,Algún campo sin dato,1,46604ca0a1ee3a44c1a22353ce9d4f3409e1e69c79eb9b82363e2600907531ed,26/06/2023 01:20:40,ESCANER
14698,"San Marcos",12,"Esquipulas Palo Gordo",27,2093,400,145,94,2,0,241,5,5,251,0,251,--,400,149,241,251,251,Algún campo sin dato,1,c3c9437cd59b666648e0ce49324b332e393b75053c5396983e329d73f16e0921,26/06/2023 00:26:00,ESCANER
14699,"San Marcos",12,"Esquipulas Palo Gordo",27,2093,400,157,109,3,8,277,1,0,278,0,278,--,400,122,277,278,278,Algún campo sin dato,1,a4470f3e13766e03ad01df0c52d8792e41bc5fab113020857c6ba4723f3723d8,25/06/2023 23:33:01,ESCANER
14700,"San Marcos",12,"Esquipulas Palo Gordo",27,2093,359,133,90,1,4,228,2,1,231,0,231,--,359,128,228,231,231,Algún campo sin dato,1,c7fb1940e6a7a23e492de1bba766ff372ccade98062f277758ee9d708f138c93,25/06/2023 22:19:04,ESCANER
14701,"San Marcos",12,"Esquipulas Palo Gordo",27,2093,359,112,74,1,3,190,3,1,194,0,194,--,359,165,190,194,194,Algún campo sin dato,1,e3c2eadf457dcf1ee78c6d10d1a92b62b5e509422a3e9da8be5b092c186813c6,26/06/2023 00:21:26,ESCANER
14702,"San Marcos",12,"Esquipulas Palo Gordo",27,2094,400,163,93,1,11,268,6,3,277,0,277,--,400,123,268,277,277,Algún campo sin dato,1,71bf54209b0526e8b058ec2151260a5efba807c40f8d48a8975ad936dbb4dd3f,26/06/2023 00:19:12,ESCANER
14703,"San Marcos",12,"Esquipulas Palo Gordo",27,2094,400,153,71,3,3,230,11,2,243,0,243,--,400,157,230,243,243,Algún campo sin dato,1,f387bb93e26c5ae0a99a6c5f12ec3bc790f2726a4b26f60ca7bf0a6f5f9e31df,26/06/2023 00:57:11,ESCANER
