TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
10,10,100.0000,10,100.0000,0,3897,2680,68.7708

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,PHG,VAMOS,CABAL,PODEMOS,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
14716,"San Marcos",12,"Río Blanco",28,2099,400,61,73,169,8,0,0,311,12,5,311,0,311,--,400,72,311,328,328,Sumas Asentadas sin cuadrar,1,bb4a77c8e0d1b4d5a18231bd68c3da2022beb2de2bb97e9d041ed5c5e1c90c6e,26/06/2023 00:17:38,ESCANER
14717,"San Marcos",12,"Río Blanco",28,2099,400,50,79,172,3,2,4,328,12,6,328,0,328,--,400,72,310,328,328,Sumas Asentadas sin cuadrar,1,75fde2eb363b7f38a7f6050822ddc90a2abc9057f78638e682ae1ea3f190b23e,26/06/2023 01:11:20,ESCANER
14718,"San Marcos",12,"Río Blanco",28,2100,400,53,68,175,6,2,4,308,5,3,316,0,316,--,400,84,308,316,316,Algún campo sin dato,1,be51085b7376e93fdc357d4d59d25142bdab8430b30035e5123967a54005b02b,25/06/2023 23:25:47,ESCANER
14719,"San Marcos",12,"Río Blanco",28,2101,400,78,65,161,6,1,1,312,9,9,330,0,331,1,400,69,312,330,330,Sumas Asentadas sin cuadrar,1,d98ed0ebb9aad6531874a8ea29c278d41e649820c418c4bf204b32d7048a52a0,26/06/2023 00:55:25,ESCANER
14720,"San Marcos",12,"Río Blanco",28,2101,400,69,63,149,7,0,2,290,9,6,305,0,305,1,400,94,290,305,305,,1,c2939e1514493dbff922a3b758e28a7a018c87105edb010fb286c1b0f1b7377e,26/06/2023 02:10:25,ESCANER
14721,"San Marcos",12,"Río Blanco",28,2101,400,54,58,124,1,2,2,241,1,3,245,0,245,--,395,150,241,245,245,Algún campo sin dato,1,94350cb59227fa870c41286b494da1bc8052f66512f50535911e5d9df6d2ec89,25/06/2023 23:00:00,ESCANER
14722,"San Marcos",12,"Río Blanco",28,2102,400,30,82,164,7,1,2,286,2,0,288,0,288,--,405,117,286,288,288,Algún campo sin dato,1,8152ab8b227ccb09839b8048a89584508e8ec2d28edb90492603b31a38e2023c,26/06/2023 00:53:07,ESCANER
14723,"San Marcos",12,"Río Blanco",28,2102,377,80,54,125,4,1,4,268,1,1,270,0,270,--,377,107,268,270,270,Algún campo sin dato,1,b16b3e7df88885067b03827af47b632cec15f42eb1459256c8e5560d60c33dc7,26/06/2023 00:04:15,ESCANER
14724,"San Marcos",12,"Río Blanco",28,2102,376,39,53,121,5,3,2,223,3,3,229,0,229,--,376,147,223,229,229,Algún campo sin dato,1,068738a62cd9be4dc5da24cdf92a786510c3090d759d3718819796f3f1a84e21,25/06/2023 22:57:23,ESCANER
14725,"San Marcos",12,"Río Blanco",28,2103,344,3,8,25,1,1,1,38,1,1,40,0,40,0,344,304,39,41,41,Sumas Asentadas sin cuadrar,1,b62f05e14e91f352062ef61d2c6b8e714b172f02819b3e3f3388ee5cca0ed8ad,25/06/2023 20:55:18,ESCANER
