TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
21,21,100.0000,21,100.0000,0,8237,5809,70.5232

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,ELEFANTE,VICTORIA,CABAL,UNE,PODEMOS,VIVA,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
14726,"San Marcos",12,"San Lorenzo",29,2104,400,95,58,12,46,12,64,2,1,290,12,6,308,0,308,0,400,92,290,308,308,,1,ee348c8adf46aa0d4d1393614c5046fc5cca531dfb787842700ba203b507d14f,26/06/2023 01:25:57,ESCANER
14727,"San Marcos",12,"San Lorenzo",29,2104,400,87,55,22,55,13,45,9,0,286,19,10,315,0,315,0,400,85,286,315,315,,1,f28d2dc2e109adf9dfca567155466e8c38ec1ff5ab1fa2ca1f015323e374c3a3,25/06/2023 23:57:27,ESCANER
14728,"San Marcos",12,"San Lorenzo",29,2104,400,101,15,41,41,13,60,5,--,297,12,9,318,0,--,1,--,--,276,297,297,Sumas Asentadas sin cuadrar,1,a4f04eb30beef83283da40f27cddb1175616ed542fb0a675c637918cd17ed0f5,26/06/2023 04:44:23,ESCANER
14729,"San Marcos",12,"San Lorenzo",29,2104,400,67,75,11,47,20,89,6,0,315,15,7,337,0,337,--,400,63,315,337,337,Algún campo sin dato,1,ffbae598f10e55cf19a8b385d251a118171aa281f4c579121afcb5702ea2adb6,25/06/2023 23:55:44,ESCANER
14730,"San Marcos",12,"San Lorenzo",29,2104,400,97,64,21,40,21,74,2,2,321,10,8,339,0,339,0,397,58,321,339,339,,1,8d75b4c53eb2e889509c7133a85ed4d9d4272b84df3c556e27a850976dca1f7f,26/06/2023 01:22:34,ESCANER
14731,"San Marcos",12,"San Lorenzo",29,2104,400,115,50,16,57,17,69,4,2,330,12,8,350,0,350,--,400,50,330,350,350,Algún campo sin dato,1,1d69f95e5838dce192203ea71d71e597132422e25611fc6d781109a0c0e95d67,25/06/2023 22:51:22,ESCANER
14732,"San Marcos",12,"San Lorenzo",29,2104,400,89,48,19,46,12,56,6,0,276,16,4,296,0,296,0,400,104,276,296,296,,1,7a46df76808cd5a2e7355a9ae8291b946660685bf1038233ce59ddd5fc65a3ca,26/06/2023 00:18:10,ESCANER
14733,"San Marcos",12,"San Lorenzo",29,2104,400,73,48,18,28,21,50,4,1,243,4,3,250,0,250,--,--,--,243,250,250,Algún campo sin dato,1,d3ea10458cc0ce564d0d0fd5d4fbb473ce3ed20a6a93565582592e1555813be4,26/06/2023 01:11:17,ESCANER
14734,"San Marcos",12,"San Lorenzo",29,2105,400,70,70,14,36,10,57,4,1,262,3,1,266,0,266,--,400,134,262,266,266,Algún campo sin dato,1,f0192a4a5d2048a3155b62aa346dfa9f0b6f770255d816395f2666c58b59bbcb,25/06/2023 23:44:42,ESCANER
14735,"San Marcos",12,"San Lorenzo",29,2105,400,72,59,20,33,12,63,2,0,261,4,0,265,0,265,0,400,135,261,265,265,,1,18d7d759963ca0f97ada63ff475dcd17c83a2733cabc64ae2107fbca4f877112,26/06/2023 01:07:29,ESCANER
