TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
50,50,100.0000,50,100.0000,0,18958,10911,57.5535

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,PHG,CABAL,PPN,BIEN,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
14747,"San Marcos",12,"La Blanca",30,2109,400,78,12,110,30,1,231,10,5,246,0,246,--,400,154,231,246,246,Algún campo sin dato,1,3eed46fa3973dfef78fe8c9775f88440accd9abcb527503543f5ca57d74cfe3f,26/06/2023 02:54:05,ESCANER
14748,"San Marcos",12,"La Blanca",30,2109,400,91,14,98,36,3,242,11,6,259,0,259,0,400,141,242,259,259,,1,bffde6d9bd67ea50281735577694cedbc87666a8c7c6b4825cceafc6b876d1f5,26/06/2023 00:54:14,ESCANER
14749,"San Marcos",12,"La Blanca",30,2109,400,72,13,102,27,0,214,8,6,228,0,228,--,400,172,214,228,228,Algún campo sin dato,1,e789b13496f7469635e0233ca172f2a2de0bc5f9b2b3507c0267f48e2403488f,26/06/2023 01:07:56,ESCANER
14750,"San Marcos",12,"La Blanca",30,2109,400,77,16,115,18,1,227,17,3,247,153,400,--,400,153,227,247,400,Algún campo sin dato,1,02367bf97e6b435f580f2e94e5956d84cf7263cd1050fa2ca50e8681c8f7d35d,26/06/2023 00:25:24,ESCANER
14751,"San Marcos",12,"La Blanca",30,2109,400,66,16,93,31,4,210,9,4,223,0,223,--,400,174,210,223,223,Algún campo sin dato,1,811c28c93b840938c00012c217e67da06e371bfbfae365be63f3633397b2c0ef,26/06/2023 03:00:07,ESCANER
14752,"San Marcos",12,"La Blanca",30,2109,400,71,13,107,29,2,222,5,1,228,0,228,1,400,171,222,228,228,,1,cd506283cceedf283bc5b7571389f7618f613f2d99fbdd21908efd206982796b,26/06/2023 01:42:36,ESCANER
14753,"San Marcos",12,"La Blanca",30,2109,241,46,7,70,15,1,139,2,1,142,0,142,--,241,99,139,142,142,Algún campo sin dato,1,5b601bcc830188fdb0428d45a90d7c400fcc1f3583557d9312a17f85fe88b016,26/06/2023 01:00:38,ESCANER
14754,"San Marcos",12,"La Blanca",30,2109,241,29,8,48,9,2,96,3,3,102,0,102,0,242,140,96,102,102,,1,6c40faf40f942f16e466a458d480e734086faa5d8534a30cb33510e3a67c03f6,25/06/2023 23:33:39,ESCANER
14755,"San Marcos",12,"La Blanca",30,2110,400,118,10,95,24,8,255,19,5,279,0,279,--,400,121,255,279,279,Algún campo sin dato,1,2603a225615519f33161019a1ad5129cc6eeb787f55584c8e43416ae8c9e69d4,26/06/2023 03:09:01,ESCANER
14756,"San Marcos",12,"La Blanca",30,2110,400,111,10,118,22,1,262,13,7,282,0,282,--,400,118,262,282,282,Algún campo sin dato,1,d95056970049d92ec5ada8e2ea0e4318dd1d7c917d2b14981a4f2ed45a5ac646,26/06/2023 03:08:13,ESCANER
14757,"San Marcos",12,"La Blanca",30,2110,400,87,20,119,26,8,260,15,3,278,0,278,2,400,120,260,278,278,,1,fbc3de0ce0fd5485a6a1c8b26fd665d09a3f1b747892d76d4a2d71e941b876cb,26/06/2023 01:38:16,ESCANER
14758,"San Marcos",12,"La Blanca",30,2110,400,99,10,124,29,1,263,14,0,277,0,277,--,410,133,263,277,277,Algún campo sin dato,1,24488b0800c0144eac51415bd49b0aaf8144abbe647c175bb071cdc91cd757e1,26/06/2023 02:02:37,ESCANER
14759,"San Marcos",12,"La Blanca",30,2111,400,80,23,125,23,2,253,15,5,273,0,273,--,400,127,253,273,273,Algún campo sin dato,1,d4d5b8edebf413144d8a1b3c904ddbbee5359941ee590eaaece6422b1dce69b4,26/06/2023 02:22:18,ESCANER
14760,"San Marcos",12,"La Blanca",30,2111,400,89,9,105,28,2,233,4,0,237,0,237,--,400,163,233,237,237,Algún campo sin dato,1,f63de3f7b9c82c02d4c45617d1e11bc00c7e2516e19d9d0f996c52c9c4913741,26/06/2023 02:21:30,ESCANER
14761,"San Marcos",12,"La Blanca",30,2111,400,101,10,100,21,2,234,14,1,249,0,249,1,400,151,234,249,249,,1,11da04c227ad4319105959044226635dc98ac7d35b7e2ecaa8b2975df196e4c3,26/06/2023 02:24:02,ESCANER
14762,"San Marcos",12,"La Blanca",30,2111,400,98,11,93,30,4,236,10,3,249,0,249,1,400,150,236,249,249,,1,1e7ce3192873a8d612110c964f89df12cbdc286277136bfb1122db656291748b,26/06/2023 03:20:38,ESCANER
14763,"San Marcos",12,"La Blanca",30,2111,400,90,11,95,37,3,146,18,9,--,0,--,2,400,135,236,263,263,Sumas Asentadas sin cuadrar,1,6e577b25bf7515444254cd23ace0e9f41804f234b4d7bac48703d14e9159474e,26/06/2023 02:32:23,ESCANER
14764,"San Marcos",12,"La Blanca",30,2111,400,101,17,95,24,8,263,13,5,0,0,400,3,400,133,245,263,263,Sumas Asentadas sin cuadrar,1,43fe59ce4883affed56faa6a7256078b9b2a74af7f81fbdb910c0a2fee0991b4,26/06/2023 02:25:01,ESCANER
