TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
185,185,100.0000,184,99.4594,1,70079,38880,55.4802

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,BIEN,VAMOS,TODOS,UR,U R N G - MAIZ,UNE,ELEFANTE,VALOR,VICTORIA,VIVA,AZUL,PHG,PODEMOS,PODER,CABAL,UNIONISTA,CAMBIO,PPN,PR,MLP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
14797,"Huehuetenango",13,"Huehuetenango",1,2115,400,20,102,44,11,5,8,3,1,2,3,2,10,3,3,3,2,2,0,1,3,229,20,4,253,0,253,--,413,160,228,252,252,Sumas Asentadas sin cuadrar,1,cd193976aa2c8a20ad58278274b967ecc3fee36399862cfa9a0801e0aa9173a7,26/06/2023 03:32:56,ESCANER
14798,"Huehuetenango",13,"Huehuetenango",1,2115,400,27,104,49,11,6,18,0,5,5,4,2,7,4,0,3,3,0,0,2,1,251,23,1,275,0,275,--,400,125,251,275,275,Algún campo sin dato,1,982e02d564fe5f80802108de91719ef8ca4f114479aa4666600b84dc453f31c0,26/06/2023 00:43:03,ESCANER
14799,"Huehuetenango",13,"Huehuetenango",1,2115,400,36,96,58,14,6,14,1,1,6,3,4,15,1,3,3,1,1,0,0,3,266,19,2,287,0,287,--,398,111,266,287,287,Algún campo sin dato,1,ef0a87994701d20857336f6596aa65bba4cf13e0585803846f631188bfb9ed66,26/06/2023 01:46:39,ESCANER
14800,"Huehuetenango",13,"Huehuetenango",1,2115,400,38,118,40,14,5,9,2,4,0,5,2,16,2,3,4,3,2,0,2,4,273,16,1,290,0,290,--,400,110,273,290,290,Algún campo sin dato,1,cc68f14c649fec47315883180ad3eb197a4ae0cc0f6cc229b08c119d4b1bd29a,25/06/2023 23:30:44,ESCANER
14801,"Huehuetenango",13,"Huehuetenango",1,2115,400,32,110,38,9,1,13,2,4,2,5,0,10,3,2,0,1,1,1,2,0,236,13,2,251,--,--,--,400,149,236,251,251,Algún campo sin dato,1,4b7a7b400ad6ce1d018246aca2ee50e5d754f40dca694cff952374549d353e47,26/06/2023 00:24:29,ESCANER
14802,"Huehuetenango",13,"Huehuetenango",1,2115,400,27,108,38,9,9,4,4,10,2,1,5,15,2,2,2,1,0,1,1,0,241,15,0,256,0,256,--,400,144,241,256,256,Algún campo sin dato,1,3fd84535aeba6c3cbea9c2b4c2adf9d1c629be48fe616febe1052db95c610a78,26/06/2023 00:25:29,ESCANER
14803,"Huehuetenango",13,"Huehuetenango",1,2115,400,34,113,42,14,6,13,0,2,3,1,3,11,3,0,2,1,1,2,3,1,255,11,1,267,0,267,--,400,133,255,267,267,Algún campo sin dato,1,53be1014ce737c71943c84adb128fd200210ac1a63466c30582988d55c1c4058,25/06/2023 22:00:36,ESCANER
14804,"Huehuetenango",13,"Huehuetenango",1,2116,400,30,119,52,10,10,8,1,6,3,2,6,9,0,3,1,1,1,0,1,1,264,16,3,283,0,283,--,400,117,264,283,283,Algún campo sin dato,1,a8067490ed7f2e9717c53c6754a35c5a4d9064c171fff7e53b8b3b7ef9cd26ee,26/06/2023 00:18:32,ESCANER
14805,"Huehuetenango",13,"Huehuetenango",1,2116,400,26,127,52,14,5,9,1,3,4,3,6,8,4,2,0,2,1,0,2,3,272,9,0,281,0,281,--,398,117,272,281,281,Algún campo sin dato,1,0d390b757d6987359619e6376a912a93c1f1acabdf973a12a4a0deda291b4210,25/06/2023 22:46:53,ESCANER
14806,"Huehuetenango",13,"Huehuetenango",1,2116,400,30,121,32,7,7,11,0,4,5,1,8,6,1,1,4,0,1,1,1,3,244,17,4,265,0,265,--,387,122,244,265,265,Algún campo sin dato,1,2e0c3717c471fb26b8d5dae87ffd42244be5a75ccd931d1dccc6947e5743c350,26/06/2023 00:53:42,ESCANER
14807,"Huehuetenango",13,"Huehuetenango",1,2116,400,38,100,36,7,3,11,1,5,1,2,4,4,2,1,3,2,0,1,0,3,224,16,1,241,0,241,--,400,159,224,241,241,Algún campo sin dato,1,5426397fcb82d378f8644f2a50da3dab77f712f14154a28bafea1e0a998e8d4d,25/06/2023 23:58:01,ESCANER
14808,"Huehuetenango",13,"Huehuetenango",1,2117,400,28,118,37,15,6,8,5,5,2,4,4,9,2,2,4,0,1,2,0,5,257,8,0,265,0,265,--,400,135,257,265,265,Algún campo sin dato,1,28e7003aa60f87f45a369d41e84e9e08636f4c422ad6178971c4c64aa81a9814,25/06/2023 23:27:57,ESCANER
14809,"Huehuetenango",13,"Huehuetenango",1,2117,273,13,57,24,10,4,5,1,9,0,3,0,2,0,0,2,0,1,1,1,3,136,10,1,147,0,147,--,273,126,136,147,147,Algún campo sin dato,1,374510dcee818b23492c347b397861e6785c6fed815d54267b86a12789ce31f6,25/06/2023 23:57:36,ESCANER
14810,"Huehuetenango",13,"Huehuetenango",1,2117,272,14,58,24,6,0,4,1,4,2,0,4,5,0,0,1,0,0,2,2,1,128,5,0,133,0,133,--,272,139,128,133,133,Algún campo sin dato,1,190fc20b897b8d2f189ee062b38ef7bb1f6e3943fbaeb25434982b949f191164,25/06/2023 23:44:03,ESCANER
14811,"Huehuetenango",13,"Huehuetenango",1,2118,400,68,44,64,5,2,17,2,5,1,5,4,6,1,0,2,1,2,1,0,2,232,22,1,255,0,255,--,400,145,232,255,255,Algún campo sin dato,1,aaa7ccffc7ad275dcfca973412ad8b241ff32e9cf61ef1d21b9817ca4e81767a,25/06/2023 22:57:12,ESCANER
14812,"Huehuetenango",13,"Huehuetenango",1,2118,400,73,59,75,5,2,12,1,0,0,4,1,4,3,2,0,2,2,1,1,3,251,19,3,273,0,273,--,127,--,250,272,272,Sumas Asentadas sin cuadrar,1,ff5df55fe41c36a4e4ad844c3d4186a894da8ff07c0fa218b62ab7840f0c65b2,26/06/2023 00:44:30,ESCANER
14813,"Huehuetenango",13,"Huehuetenango",1,2118,400,64,56,73,4,4,19,3,5,4,8,4,5,1,1,3,0,0,0,2,2,258,17,3,278,0,278,--,--,--,258,278,278,Algún campo sin dato,1,7af3aa309ece6ad1e6257613a6247184a54d68f1d01f7fccee364df4951bedb0,26/06/2023 05:18:01,ESCANER
14814,"Huehuetenango",13,"Huehuetenango",1,2118,400,65,56,41,5,2,17,1,1,2,2,0,7,2,3,1,1,1,0,1,5,213,15,1,229,0,229,--,400,171,213,229,229,Algún campo sin dato,1,9a321454f474eeb9719c06991ba803ee4a542d60c554773821160891073dd4c9,26/06/2023 00:09:17,ESCANER
14815,"Huehuetenango",13,"Huehuetenango",1,2118,400,58,66,47,4,9,15,5,2,3,9,3,5,1,2,3,2,1,0,1,6,242,20,2,264,0,264,--,396,132,242,264,264,Algún campo sin dato,1,49cb563006483ad3cd82b60dd7e6b137da6b073570f854afee7287d38c4f4f03,26/06/2023 02:40:33,ESCANER
14816,"Huehuetenango",13,"Huehuetenango",1,2118,400,68,69,48,6,1,13,0,1,2,3,4,6,1,2,1,1,3,0,1,3,233,21,0,254,0,254,--,400,146,233,254,254,Algún campo sin dato,1,179007a2ffbf444b5601a0ec00fe33f617a71c6b52f579c178c0cd8f7c732a37,26/06/2023 01:33:37,ESCANER
14817,"Huehuetenango",13,"Huehuetenango",1,2119,400,72,68,44,3,4,13,2,4,7,2,0,5,2,3,1,6,1,1,1,4,243,12,1,256,1,257,1,401,144,243,256,257,,1,74f9fd7e5ac79730dca144a28f7ebc529d8b9b342028cf10782f53b0b93cade5,26/06/2023 02:35:26,ESCANER
14818,"Huehuetenango",13,"Huehuetenango",1,2119,392,54,73,44,4,5,12,0,1,7,2,3,8,3,0,0,1,1,0,0,4,222,14,0,236,1,237,--,392,155,222,236,237,Algún campo sin dato,1,7ec18f1ea99e4b5f23195cea25f5c283aa51fb3c2b2e035b58d6fe1f4166dc82,26/06/2023 02:55:23,ESCANER
14819,"Huehuetenango",13,"Huehuetenango",1,2119,391,44,49,39,0,2,5,0,4,2,2,1,4,1,1,2,2,2,1,1,3,165,13,0,178,1,179,--,391,212,165,178,179,Algún campo sin dato,1,a3fc92235468febe80a9faf1e0e35716dac3345884237ff53a29db7c1aefb376,26/06/2023 02:06:14,ESCANER
14820,"Huehuetenango",13,"Huehuetenango",1,2120,400,52,46,49,4,4,8,2,2,5,6,3,5,1,4,5,2,0,0,1,1,200,17,1,218,0,218,--,400,182,200,218,218,Algún campo sin dato,1,98edb1a72a178c1e437461539970fe4d48819e22df575234976fab8d9c2e54f7,26/06/2023 01:27:11,ESCANER
14821,"Huehuetenango",13,"Huehuetenango",1,2120,400,43,60,38,4,5,17,2,9,5,5,4,7,4,1,2,2,3,0,0,2,213,24,3,240,0,240,--,400,160,213,240,240,Algún campo sin dato,1,84633b5e963c9fe8d9261ca5419de4065636bdee14f11a305c29948e4d2e185f,26/06/2023 02:36:02,ESCANER
14822,"Huehuetenango",13,"Huehuetenango",1,2120,400,53,58,49,0,4,15,4,3,4,9,2,4,3,0,5,3,1,0,2,1,220,23,1,244,0,244,--,400,156,220,244,244,Algún campo sin dato,1,d9707a1f468e8cf116e3e9959c17e848732a09dade4b6e64d85a8d480a9e8e9b,25/06/2023 23:18:28,ESCANER
14823,"Huehuetenango",13,"Huehuetenango",1,2120,400,40,61,52,3,9,12,1,3,7,6,7,6,0,1,4,1,2,2,3,2,222,26,5,253,0,253,--,400,147,222,253,253,Algún campo sin dato,1,f4dee69d95fdad462d485c5961a1c7740e0f445f376e158f9a81cd6672754a75,26/06/2023 01:24:41,ESCANER
14824,"Huehuetenango",13,"Huehuetenango",1,2120,400,66,55,53,2,3,21,2,3,9,3,3,3,2,0,1,1,0,0,2,1,230,17,4,251,0,251,--,400,149,230,251,251,Algún campo sin dato,1,97a16551c1d2e998cbb6eee864a9578b9b55dc21fb7995a64e5f078bbd74aea5,26/06/2023 01:45:12,ESCANER
