TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
126,126,100.0000,126,100.0000,0,45765,21289,46.5180

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,U R N G - MAIZ,AZUL,VAMOS,TODOS,CABAL,VALOR,UNIONISTA,VIVA,CAMBIO,UR,PPN,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
14982,"Huehuetenango",13,"Chiantla",2,2145,400,47,6,1,80,5,6,19,4,15,0,3,2,0,188,13,8,209,0,209,--,401,192,188,209,209,Algún campo sin dato,1,97abe53e6eddb481012345b3ba1cd61182442c8159c115e3cb067acf337096cf,25/06/2023 21:46:48,ESCANER
14983,"Huehuetenango",13,"Chiantla",2,2145,400,48,3,5,77,3,9,16,5,28,0,1,2,1,198,8,2,208,1,209,--,400,191,198,208,209,Algún campo sin dato,1,76f2f3ae346ee947ed121ae9e6640f687a64dd10f2e6e71698d2499a933774dd,26/06/2023 00:16:11,ESCANER
14984,"Huehuetenango",13,"Chiantla",2,2145,400,36,5,1,65,9,11,25,7,17,1,1,3,0,205,16,8,205,0,205,--,400,195,181,205,205,Sumas Asentadas sin cuadrar,1,803fe26600f800128950cddf709ff4f370d90ab174d663dbf015484417081d1f,26/06/2023 00:10:55,ESCANER
14985,"Huehuetenango",13,"Chiantla",2,2145,400,40,1,6,73,11,11,27,5,27,0,1,1,0,203,14,2,219,0,219,--,400,181,203,219,219,Algún campo sin dato,1,06bff3f3a0aab15161729e6d49c036accb135e60ec3969ae55ecdca0ce7a3442,25/06/2023 23:28:32,ESCANER
14986,"Huehuetenango",13,"Chiantla",2,2146,400,51,2,1,87,5,18,23,5,19,1,1,2,1,216,21,4,241,0,241,--,400,159,216,241,241,Algún campo sin dato,1,a30d030536a3d5a8d18bd1792f766c376dbc55b1005d782502f00f0f153a9e24,25/06/2023 23:38:28,ESCANER
14987,"Huehuetenango",13,"Chiantla",2,2146,400,46,1,2,79,5,12,33,9,20,0,0,1,0,208,12,4,224,0,224,--,400,176,208,224,224,Algún campo sin dato,1,d8f2523090a822b62346b9e7b5048b75ddcbf0aeaa46596943bde0629756c646,25/06/2023 22:30:25,ESCANER
14988,"Huehuetenango",13,"Chiantla",2,2146,400,63,1,2,94,3,12,37,4,30,1,1,1,0,249,12,4,265,0,265,--,400,135,249,265,265,Algún campo sin dato,1,3d427a3f3cc3442f18288dd3c5479b96e111e960595554b95ed3a29ae49907fe,25/06/2023 23:15:05,ESCANER
14989,"Huehuetenango",13,"Chiantla",2,2146,400,52,1,1,69,1,12,36,6,25,0,0,0,0,203,4,2,209,0,209,--,400,191,203,209,209,Algún campo sin dato,1,9b8a97e26655af926c11746cdc6da280cbac3eaa49920dbee446a01ca8c0200d,25/06/2023 23:25:04,ESCANER
14990,"Huehuetenango",13,"Chiantla",2,2147,400,38,2,4,71,3,8,34,3,7,1,2,2,1,176,11,0,187,0,187,--,400,213,176,187,187,Algún campo sin dato,1,2075b0643e5c99e8e12e68b25336bb65791facafdd1eedebbfbf730d3b04097e,25/06/2023 23:19:35,ESCANER
14991,"Huehuetenango",13,"Chiantla",2,2147,400,58,3,9,73,2,14,31,3,22,1,5,0,0,221,3,0,224,0,224,--,400,176,221,224,224,Algún campo sin dato,1,2130fc06c5f2d1337e4929ed4f6224c67477e8f0b70a04b59671aaf79a26a265,25/06/2023 22:35:33,ESCANER
