TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
32,32,100.0000,32,100.0000,0,11796,7034,59.6303

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,PHG,VICTORIA,U R N G - MAIZ,VAMOS,AZUL,TODOS,PODEMOS,BIEN,VIVA,CAMBIO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15108,"Huehuetenango",13,"Malacatancito",3,2173,400,52,13,0,30,5,101,4,8,13,1,7,0,234,22,5,261,0,261,--,400,139,234,261,261,Algún campo sin dato,1,dcd1119d9d6f3feaa27363fbf729454d926bce8fd5abe57dae6ddc50800b1ac4,26/06/2023 01:43:34,ESCANER
15109,"Huehuetenango",13,"Malacatancito",3,2173,400,80,6,2,37,10,111,3,4,11,0,5,0,269,9,3,281,0,281,--,401,120,269,281,281,Algún campo sin dato,1,d138d299ad7ff36e6d492aba6868837091275f8de08abf639e8002e421380161,26/06/2023 02:14:38,ESCANER
15110,"Huehuetenango",13,"Malacatancito",3,2173,400,53,7,1,41,6,116,1,7,13,0,8,0,253,15,5,273,0,273,2,400,127,253,273,273,,1,81c36ec60a828934dc5d39d1e852a8a080a1b52cff4944fe09d2407389382926,26/06/2023 01:30:10,ESCANER
15111,"Huehuetenango",13,"Malacatancito",3,2173,400,73,10,1,29,10,116,3,6,13,2,6,0,269,14,7,290,0,290,--,400,110,269,290,290,Algún campo sin dato,1,4dd703fe1fbff4523c964fa7a07249f9d350e967aa7e763cb7b0407d59a076ae,26/06/2023 02:08:52,ESCANER
15112,"Huehuetenango",13,"Malacatancito",3,2173,400,40,18,0,32,11,104,2,6,13,0,5,0,231,21,9,261,0,261,--,400,139,231,261,261,Algún campo sin dato,1,084c6e8926df8ada5f2a6f52444bd47e6258f5cd4212258ff76a379d26f0ada7,26/06/2023 01:23:03,ESCANER
15113,"Huehuetenango",13,"Malacatancito",3,2173,400,51,17,0,36,11,127,2,10,11,0,3,1,269,11,4,284,0,284,--,400,116,269,284,284,Algún campo sin dato,1,d8e89b21d70cd9b3bfa957243e550596920dffd2957ccd5fc6825c0d82ad4cd3,26/06/2023 03:32:33,ESCANER
15114,"Huehuetenango",13,"Malacatancito",3,2174,400,47,9,0,43,3,98,4,8,12,0,7,0,231,13,6,250,1,251,--,400,149,231,250,251,Algún campo sin dato,1,ea22f4e1bf8491d52fd108b01b365010494ea8692a984fea259e4f48dd65f289,26/06/2023 01:55:44,ESCANER
15115,"Huehuetenango",13,"Malacatancito",3,2174,400,58,15,0,32,9,109,10,9,12,1,1,1,257,15,4,276,0,276,--,400,124,257,276,276,Algún campo sin dato,1,731edeee842485c9da864349e8d7a7cd9752cf66876cf9ca2308be3068654a06,26/06/2023 01:35:07,ESCANER
15116,"Huehuetenango",13,"Malacatancito",3,2174,400,41,8,6,31,7,123,8,21,16,1,3,0,265,11,11,287,0,287,0,400,113,265,287,287,,1,e9eff435221bc60e22bf55b4f55c28baf38c1a2c4f11a116906c51837a8b94ad,26/06/2023 01:25:36,ESCANER
15117,"Huehuetenango",13,"Malacatancito",3,2174,400,44,11,2,19,6,145,2,12,12,4,1,0,258,3,3,264,0,264,--,400,136,258,264,264,Algún campo sin dato,1,ec37795e93c990a305c31e9ea15ff7c4995cf7f7c06416edf32b7231d474f23d,26/06/2023 01:47:55,ESCANER
15118,"Huehuetenango",13,"Malacatancito",3,2175,400,54,12,0,33,10,84,3,8,11,0,2,0,217,10,0,227,1,228,1,400,172,217,227,228,,1,544414ca116506f366886301909c901629052f73076f5a0b0ee0580f6c4259ca,26/06/2023 01:47:37,ESCANER
