TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
78,78,100.0000,78,100.0000,0,29651,12198,41.1385

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,U R N G - MAIZ,TODOS,VALOR,CABAL,PHG,BIEN,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15140,"Huehuetenango",13,"Cuilco",4,2181,400,41,39,74,3,7,12,9,1,2,188,8,4,--,--,--,--,388,188,188,200,200,Algún campo sin dato,1,988aedc829fa94b8544a2550e413ea5281336e41dad9a7ea437f7119dbae12a1,26/06/2023 00:11:30,ESCANER
15141,"Huehuetenango",13,"Cuilco",4,2181,400,41,39,51,2,12,12,9,0,0,166,21,4,191,0,191,--,400,209,166,191,191,Algún campo sin dato,1,2bc62d71c648de1c8b1d410168c146e0c2c2f579182d788900c8342eeb6c954b,25/06/2023 23:51:03,ESCANER
15142,"Huehuetenango",13,"Cuilco",4,2181,400,49,32,45,4,15,7,10,2,2,166,15,6,187,0,187,--,400,213,166,187,187,Algún campo sin dato,1,7f314f0451bc2461eeb1a92ab82f99626b61115c7b4b2464f894d6e061052b66,25/06/2023 23:57:50,ESCANER
15143,"Huehuetenango",13,"Cuilco",4,2181,400,68,36,30,4,12,7,6,1,3,167,26,6,199,32,199,--,400,201,167,199,231,Sumas Asentadas sin cuadrar,1,7241fc67d89ba1aea2ed0562c1c74820129e5133ef8c7b4941ac2d55f5765305,26/06/2023 01:34:58,ESCANER
15144,"Huehuetenango",13,"Cuilco",4,2181,400,34,29,82,2,7,3,5,0,2,164,13,5,182,1,183,--,400,217,164,182,183,Algún campo sin dato,1,55505fae3f351d2659d983ae0c8ff6fbdc4404a93c4e79a5d1475a6c06c93026,25/06/2023 23:22:52,ESCANER
15145,"Huehuetenango",13,"Cuilco",4,2181,400,27,22,51,5,18,7,10,0,1,141,11,0,152,0,152,--,384,232,141,152,152,Algún campo sin dato,1,797a10d5e9078acb025257157295871d21a5587a63110b39eb48622363918ec6,26/06/2023 00:20:20,ESCANER
15146,"Huehuetenango",13,"Cuilco",4,2181,400,34,32,62,4,14,7,12,1,0,166,13,13,192,0,192,--,400,217,166,192,192,Algún campo sin dato,1,50f326b7f0ae0c8f1fe25cb4553a635b9db1a6aedfc4351b33b149d943231664,26/06/2023 02:57:54,ESCANER
15147,"Huehuetenango",13,"Cuilco",4,2182,400,23,25,41,3,4,14,14,0,2,126,4,2,132,0,132,--,400,268,126,132,132,Algún campo sin dato,1,490612ecd0633a4035c59dfcfca660d08ed66e1a6e85c5328984a61c41360d1b,25/06/2023 23:22:51,ESCANER
15148,"Huehuetenango",13,"Cuilco",4,2182,400,33,20,69,4,9,12,13,1,2,163,5,2,170,0,170,--,400,230,163,170,170,Algún campo sin dato,1,4efbd8b574e110666af9c81472d1795ba3d261384743314a7acaaba672067cf2,26/06/2023 00:15:11,ESCANER
15149,"Huehuetenango",13,"Cuilco",4,2182,400,42,33,62,1,13,17,14,0,1,183,7,11,201,0,201,--,400,199,183,201,201,Algún campo sin dato,1,adad4300acecfd590f8d015d9d5409e958b2eddb35dbac99c287387b1be127ed,26/06/2023 01:12:23,ESCANER
15150,"Huehuetenango",13,"Cuilco",4,2182,400,35,28,49,1,11,7,22,1,0,154,9,1,164,0,164,--,400,236,154,164,164,Algún campo sin dato,1,e283c8d6c6ea660dc79ef3525bb1a6791d5d6f91b85541c65c9ae369cc3f3dcb,25/06/2023 23:55:14,ESCANER
15151,"Huehuetenango",13,"Cuilco",4,2183,352,21,29,41,5,3,6,7,0,1,113,3,0,116,0,116,--,349,233,113,116,116,Algún campo sin dato,1,3f728e121ddb3776a9ccc86ebc12189e55c0964be397c8b70907a43e15ec3c79,25/06/2023 21:08:50,ESCANER
15152,"Huehuetenango",13,"Cuilco",4,2183,351,22,22,53,0,6,7,10,0,2,122,8,5,135,0,135,--,351,216,122,135,135,Algún campo sin dato,1,5b6c28b31d799ef6174e497540337c9fe8b2084d63801a20a174339784829e28,25/06/2023 21:25:54,ESCANER
15153,"Huehuetenango",13,"Cuilco",4,2184,400,38,42,44,6,7,12,17,0,1,167,18,1,186,0,186,--,400,214,167,186,186,Algún campo sin dato,1,fc6263a7411c1aa36a9f6169993ef15db50961dc06ff749a13fcd7bdae95e3d4,26/06/2023 00:51:05,ESCANER
15154,"Huehuetenango",13,"Cuilco",4,2185,400,51,44,42,9,3,8,11,1,1,170,12,7,189,0,189,--,400,211,170,189,189,Algún campo sin dato,1,f9932183b38dbec9795060b7114c367d1c581cd0cb23f2555e54754f153804fb,25/06/2023 22:37:32,ESCANER
15155,"Huehuetenango",13,"Cuilco",4,2185,400,49,39,28,8,8,15,13,0,4,164,17,22,203,0,203,--,400,197,164,203,203,Algún campo sin dato,1,057ef4951e7b301045b152dccff702eeef53e5d1e467e44e8293edaba60f8605,26/06/2023 00:50:39,ESCANER
15156,"Huehuetenango",13,"Cuilco",4,2185,400,27,43,25,6,9,6,9,2,0,127,26,7,160,0,160,--,400,240,127,160,160,Algún campo sin dato,1,1a4f6c18bbddec16dafac56e3c04165c1217fd548c7338782b8c649d7bc267d1,25/06/2023 21:10:09,ESCANER
15157,"Huehuetenango",13,"Cuilco",4,2185,400,22,60,30,1,5,7,14,1,1,141,15,12,168,1,169,--,399,230,141,168,169,Algún campo sin dato,1,82d48a8693aaa83b1ce1c3c9340dc435055cb46e14fc7c81fa68c01815ca5c79,26/06/2023 00:42:01,ESCANER
15158,"Huehuetenango",13,"Cuilco",4,2185,400,34,48,58,9,10,10,7,0,0,176,12,7,195,1,196,0,400,204,176,195,196,,1,a67300c99f47b88728153c4d4f62ed54d8512afcb5f39d3c768d02b4ecfdb05c,25/06/2023 23:45:59,ESCANER
15159,"Huehuetenango",13,"Cuilco",4,2185,400,36,37,43,8,10,3,11,0,2,150,7,4,161,0,161,--,380,219,150,161,161,Algún campo sin dato,1,0e5aba4381e0a7236ccb41f5680807289fd9ad7f47712949f42e550932591eb5,26/06/2023 01:22:34,ESCANER
15160,"Huehuetenango",13,"Cuilco",4,2185,400,32,37,35,4,10,7,11,0,1,137,8,3,148,0,148,--,402,254,137,148,148,Algún campo sin dato,1,3b1dbf54878b044d8d986f1895f320432d54ad31316ec37e0de3735212a1dda4,25/06/2023 21:29:57,ESCANER
15161,"Huehuetenango",13,"Cuilco",4,2186,400,27,33,35,4,12,6,17,0,2,136,16,4,156,0,156,--,400,244,136,156,156,Algún campo sin dato,1,6374e8032eca3a32ecb4757ba4095de7f7fd3e32f27db047c4f3b5bf0b9b6f84,26/06/2023 01:41:24,ESCANER
15162,"Huehuetenango",13,"Cuilco",4,2186,400,33,33,43,4,5,5,15,0,0,138,9,2,149,0,149,--,149,--,138,149,149,Algún campo sin dato,1,1c431eb42dd5f606d96211f68de1a5a670f57120c21e949ede4abc0906aeddc0,26/06/2023 05:07:45,ESCANER
15163,"Huehuetenango",13,"Cuilco",4,2186,322,14,26,26,5,5,8,11,0,1,96,7,3,106,0,106,--,322,216,96,106,106,Algún campo sin dato,1,4034986345039af0f2fd6309a23e7cfbc124eaf71d944ecff521897c1822c458,26/06/2023 01:14:23,ESCANER
15164,"Huehuetenango",13,"Cuilco",4,2186,321,20,32,25,4,4,9,11,0,0,105,10,2,117,0,117,--,321,204,105,117,117,Algún campo sin dato,1,0669f625a7157b8a88d76bcd58a70b48a66d60ca4ad80ef9fffd5c72abc3e2a4,26/06/2023 01:06:55,ESCANER
15165,"Huehuetenango",13,"Cuilco",4,2187,400,37,35,55,4,22,10,7,1,0,171,7,6,184,0,184,--,400,216,171,184,184,Algún campo sin dato,1,ed565e9cae6b75f426b49f3c630f46709cb5b2a5aa5db2bdbd452febcad1c3ee,26/06/2023 01:23:11,ESCANER
15166,"Huehuetenango",13,"Cuilco",4,2188,400,46,35,36,6,13,14,6,1,1,158,8,9,175,0,175,--,400,225,158,175,175,Algún campo sin dato,1,b9011d15a1c8f173e339d79c07453bea670b24b6c560e823ac96c73dc51608c6,25/06/2023 23:25:23,ESCANER
15167,"Huehuetenango",13,"Cuilco",4,2188,400,33,35,36,3,19,15,10,4,0,155,16,3,174,0,174,--,400,226,155,174,174,Algún campo sin dato,1,114a7b5bec36c702b5d94c1b16f59604838334d431e1da8610d99c7dcb8b676e,26/06/2023 01:06:29,ESCANER
15168,"Huehuetenango",13,"Cuilco",4,2188,400,36,28,43,4,13,13,8,0,2,147,15,7,169,0,169,--,400,231,147,169,169,Algún campo sin dato,1,0a23dad2700bcbc26920daef66f12ed65d305b1e8816b6f7bccf3c4fd56920ac,25/06/2023 23:51:58,ESCANER
15169,"Huehuetenango",13,"Cuilco",4,2188,400,25,24,47,5,19,4,5,1,1,131,3,2,136,2,138,--,400,262,131,136,138,Algún campo sin dato,1,89cbcbe58702cc1bb0604060ede951b8eba4ed607c3edfe2088c361e938ddbfa,25/06/2023 21:47:49,ESCANER
15170,"Huehuetenango",13,"Cuilco",4,2188,347,11,35,35,3,17,8,9,1,1,120,1,7,128,0,128,--,347,219,120,128,128,Algún campo sin dato,1,06ab97d91543de08ebd33a604483cfc4adbcb9244a55ed80a23714c1635b3f0c,25/06/2023 21:26:38,ESCANER
15171,"Huehuetenango",13,"Cuilco",4,2189,346,16,25,30,7,21,4,6,0,2,111,3,5,119,0,119,--,346,227,111,119,119,Algún campo sin dato,1,620598f2294a57eb709b6f1eed8284077ce97c0873ae261495f20f0f525e49bc,26/06/2023 01:10:18,ESCANER
15172,"Huehuetenango",13,"Cuilco",4,2190,380,60,27,48,18,17,6,2,1,1,180,26,16,222,0,222,--,380,158,180,222,222,Algún campo sin dato,1,dc96f12a25492d33edb28ff8b706fd1731038bf6fead449eaa27ba1d9cbc4989,25/06/2023 21:35:54,ESCANER
15173,"Huehuetenango",13,"Cuilco",4,2190,380,74,30,43,26,11,10,0,2,1,197,26,7,230,0,230,--,380,150,197,230,230,Algún campo sin dato,1,409994e7dc3c1166e32356b1773a1a1066009e1474013ba6b686e2c8531e4e1d,26/06/2023 00:49:05,ESCANER
15174,"Huehuetenango",13,"Cuilco",4,2190,380,45,28,70,23,14,4,3,0,1,188,19,6,213,0,213,--,380,167,188,213,213,Algún campo sin dato,1,0be38864b4280866080caec11382dcd4c3ba19f8407ce68b9166f3c2590307a9,25/06/2023 23:40:36,ESCANER
15175,"Huehuetenango",13,"Cuilco",4,2191,380,48,28,37,22,11,3,1,2,0,152,29,0,181,0,181,--,380,199,152,181,181,Algún campo sin dato,1,8c49bef99555ca56672d9116ce469d5b319863ba902e9712acf5b3a84c17b59b,26/06/2023 01:05:20,ESCANER
15176,"Huehuetenango",13,"Cuilco",4,2191,380,57,18,46,21,14,2,1,1,0,160,20,5,185,0,185,--,380,195,160,185,185,Algún campo sin dato,1,9245bf40aabcd551230afc448bfe2ac361b066887726ab107531c35f28a881f9,26/06/2023 01:21:15,ESCANER
15177,"Huehuetenango",13,"Cuilco",4,2192,240,39,21,31,11,8,4,3,0,0,117,3,4,124,0,124,--,241,117,117,124,124,Algún campo sin dato,1,3dae3435424603776e7e570b64f223dd3ce084ff75de6460cfa410c542f0824f,25/06/2023 23:46:23,ESCANER
15178,"Huehuetenango",13,"Cuilco",4,2192,240,30,17,24,15,12,1,0,0,0,99,15,5,119,0,119,--,240,121,99,119,119,Algún campo sin dato,1,8a2bdb5a7bf6d728726357b81fa8d6ee363fc24c2ffeca87e86cfc7ac321b4bb,25/06/2023 23:54:44,ESCANER
15179,"Huehuetenango",13,"Cuilco",4,2193,380,70,27,32,3,23,5,6,4,0,170,10,5,185,0,185,--,380,195,170,185,185,Algún campo sin dato,1,9814f54cfbdae5068814041f82750924c04cb70f06fad00b152d2a95689c6f41,25/06/2023 23:07:20,ESCANER
15180,"Huehuetenango",13,"Cuilco",4,2193,380,69,47,23,1,29,3,2,1,0,175,14,3,192,0,192,--,381,189,175,192,192,Algún campo sin dato,1,16506115d2ce9452ec22f84dac1acd73315aa4282459c278b94db971f90fa7b6,25/06/2023 22:38:18,ESCANER
15181,"Huehuetenango",13,"Cuilco",4,2193,380,82,29,29,2,31,6,1,0,2,182,15,7,204,0,204,--,380,176,182,204,204,Algún campo sin dato,1,ac753feafceb0b3900fe3ca1a73bcf1e6be1b3e8b3c381aaa73b5369bc448fbf,26/06/2023 01:25:21,ESCANER
15182,"Huehuetenango",13,"Cuilco",4,2193,380,65,22,38,4,26,5,5,2,1,168,8,4,180,0,180,--,380,200,168,180,180,Algún campo sin dato,1,9859dd956a1da600a086b5076f6b73a6fbd8984c508ddb6450c95d02c40a1678,26/06/2023 01:18:22,ESCANER
15183,"Huehuetenango",13,"Cuilco",4,2194,380,46,30,31,0,33,3,8,0,2,153,6,2,161,0,161,--,400,239,153,161,161,Algún campo sin dato,1,8b126029c98618428fada88a95815fe4da1c07445a2932611319f8294816b31c,25/06/2023 23:49:32,ESCANER
15184,"Huehuetenango",13,"Cuilco",4,2194,380,62,45,27,0,22,2,5,1,2,166,7,3,176,0,176,--,380,204,166,176,176,Algún campo sin dato,1,f1a897a8d4c163115750ddd216bd4344bba8a51308c3bb717946b6b126a60286,26/06/2023 00:04:35,ESCANER
15185,"Huehuetenango",13,"Cuilco",4,2194,217,37,13,19,0,12,2,2,1,0,86,0,2,88,0,88,--,217,129,86,88,88,Algún campo sin dato,1,7863cd32f18b2eb96351e2e86253e87aafb5ec760cdfd6f8408e734ca4a1c49d,25/06/2023 22:37:27,ESCANER
15186,"Huehuetenango",13,"Cuilco",4,2194,216,49,13,16,1,21,2,1,0,1,104,2,2,108,0,108,--,216,108,104,108,108,Algún campo sin dato,1,0a9aa38c1b759378ff0cfb645efe88b0364b9edaf5263873095cf2773c3ae182,26/06/2023 00:43:46,ESCANER
