TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
70,67,95.7142,67,95.7142,0,24807,16391,66.0740

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,PODEMOS,PHG,UNE,BIEN,VICTORIA,TODOS,VALOR,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15218,"Huehuetenango",13,"Nentón",5,2206,400,105,104,0,9,2,5,1,19,2,247,8,2,258,0,258,1,400,142,247,257,257,Sumas Asentadas sin cuadrar,1,a23d20870fc2ed0d774efaf74457642a88dbb44662ed69f5277a8da0c82d1bbf,26/06/2023 00:31:43,ESCANER
15219,"Huehuetenango",13,"Nentón",5,2206,400,100,79,1,12,2,13,0,18,2,227,15,8,250,0,250,--,400,150,227,250,250,Algún campo sin dato,1,9d94c94a3b220c63591725911343d99c68dc62057233d516db2ed78e8a6bb83b,25/06/2023 23:54:09,ESCANER
15220,"Huehuetenango",13,"Nentón",5,2206,400,101,83,0,49,0,17,2,29,4,285,14,3,302,0,302,--,400,98,285,302,302,Algún campo sin dato,1,79488d2b50c05a03cb40dd844b9b9cb8b26835197afcce059b87a908ef6599ad,25/06/2023 22:54:57,ESCANER
15221,"Huehuetenango",13,"Nentón",5,2206,400,83,95,0,35,0,10,0,15,3,240,11,5,257,0,257,--,400,143,241,257,257,Sumas Asentadas sin cuadrar,1,75d54b60600019e325bc5ad52fe1a8f2671d0f7ceacdd287be71806bf1b8dd13,25/06/2023 23:54:04,ESCANER
15222,"Huehuetenango",13,"Nentón",5,2206,400,102,75,1,17,1,2,2,20,3,223,23,5,251,0,251,--,400,149,223,251,251,Algún campo sin dato,1,d0fa6beefddfab399f3f6867e5e742825e6445b06830be72ef02e1863fb4875e,26/06/2023 00:34:19,ESCANER
15223,"Huehuetenango",13,"Nentón",5,2206,400,181,42,0,12,1,4,0,14,11,265,16,4,285,0,285,--,378,93,265,285,285,Algún campo sin dato,1,34cfdcafec624bd56b2cb3f14b5e8f9a6f11b4fca38a91fbd3840eab7e799c70,26/06/2023 00:37:48,ESCANER
15224,"Huehuetenango",13,"Nentón",5,2206,400,178,55,0,25,2,4,2,26,4,296,10,3,309,0,309,--,400,91,296,309,309,Algún campo sin dato,1,ab2e629aee1a82b0bfea7855794a4cd83dd345b224c7442887e557ad23478b33,26/06/2023 00:23:20,ESCANER
15225,"Huehuetenango",13,"Nentón",5,2206,400,165,36,0,19,0,8,1,28,5,262,9,3,274,0,274,--,400,126,262,274,274,Algún campo sin dato,1,996cd9e3fe0e2213d747616c1bfc8dc230e53941a9d9afcf95878bcdcf1d1385,26/06/2023 00:49:33,ESCANER
15226,"Huehuetenango",13,"Nentón",5,2206,400,106,61,0,12,0,7,1,13,0,200,6,1,207,0,207,--,400,193,200,207,207,Algún campo sin dato,1,73f7e3cb3327895c73322773e510a9121f8b6f5687eb045597f92d1d8e731463,25/06/2023 22:39:42,ESCANER
15227,"Huehuetenango",13,"Nentón",5,2206,400,98,63,0,10,3,4,0,26,4,208,9,8,225,0,225,--,400,175,208,225,225,Algún campo sin dato,1,6b85ab543086cbf9a856d48a9462d5157801a7c7796da4eabffcd1a6a38de215,25/06/2023 23:57:31,ESCANER
15228,"Huehuetenango",13,"Nentón",5,2206,400,100,67,0,10,3,5,0,27,8,220,10,1,231,0,231,--,400,169,220,231,231,Algún campo sin dato,1,2ac45e8b33dfba8fdc8bda00eaff86c26cb8d15b488089ae6b7c6da6618059c0,25/06/2023 21:20:16,ESCANER
15229,"Huehuetenango",13,"Nentón",5,2206,400,100,66,0,27,1,11,0,16,1,222,5,4,231,0,231,--,380,149,222,231,231,Algún campo sin dato,1,808bb2e22673993d3354f435f631f13edf5a9cb9dff3cbcfd85f0f8b55d62862,25/06/2023 22:54:22,ESCANER
15230,"Huehuetenango",13,"Nentón",5,2206,400,101,76,1,24,2,11,1,27,1,244,15,3,262,0,262,--,400,138,244,262,262,Algún campo sin dato,1,8b1a4c5312a70feeea0b071128609d8e69de725e51e9dda47e3d721bb62523da,26/06/2023 00:12:49,ESCANER
15231,"Huehuetenango",13,"Nentón",5,2207,400,81,65,0,19,2,14,2,15,3,201,9,8,218,0,218,--,380,162,201,218,218,Algún campo sin dato,1,81be0c83eac1f8b6edf82c417f467469817f29a6df96c48e44e59f32173673df,26/06/2023 00:27:59,ESCANER
15232,"Huehuetenango",13,"Nentón",5,2207,400,99,70,1,25,2,8,0,13,8,226,7,7,240,0,240,--,400,160,226,240,240,Algún campo sin dato,1,63ad47459ef9df448c881f033efcf3791250cc72899652acbac86583b5b7272e,25/06/2023 23:30:47,ESCANER
15233,"Huehuetenango",13,"Nentón",5,2207,400,107,71,--,24,--,6,--,19,2,229,0,0,229,0,229,--,380,148,229,229,229,Algún campo sin dato,1,b6e01f194879de8b2174b98754a237f4784adeb5ca56dd6b2744c343f291c559,26/06/2023 00:38:29,ESCANER
15234,"Huehuetenango",13,"Nentón",5,2207,400,119,50,0,31,0,10,0,19,1,230,3,0,233,0,233,--,400,167,230,233,233,Algún campo sin dato,1,2e22b27df69dac588031acc9bd7d557ba09a05c608945d2aee75279c61ff5a24,25/06/2023 22:57:52,ESCANER
