TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
58,58,100.0000,58,100.0000,0,22003,12952,58.8647

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,BIEN,VAMOS,U R N G - MAIZ,SEMILLA,ELEFANTE,VIVA,UNE,VALOR,PHG,CAMBIO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15288,"Huehuetenango",13,"San Pedro Necta",6,2218,400,121,58,2,1,1,1,12,22,0,0,218,16,6,240,0,240,--,400,160,218,240,240,Algún campo sin dato,1,69238304bc893b8591ba0d4277ee3c0c3aa3c676b17d0534ba3e5f10f0c4da78,26/06/2023 01:13:52,ESCANER
15289,"Huehuetenango",13,"San Pedro Necta",6,2218,400,120,66,3,1,2,1,11,10,0,0,214,10,10,234,0,234,--,400,166,214,234,234,Algún campo sin dato,1,0809ce3c1edce5e422b89c0ec157e8f1860f3a1d2661b1f62066465fd637d0a8,25/06/2023 23:22:57,ESCANER
15290,"Huehuetenango",13,"San Pedro Necta",6,2218,400,124,76,5,2,1,0,6,10,0,0,224,9,10,243,0,243,--,400,157,224,243,243,Algún campo sin dato,1,3b72f4017a3339a4c642011fd8e9ee1ce91c266cfaa911a88f2a6252a5237341,25/06/2023 22:30:49,ESCANER
15291,"Huehuetenango",13,"San Pedro Necta",6,2218,400,111,90,2,0,0,2,6,26,1,1,239,19,5,263,0,263,--,400,137,239,263,263,Algún campo sin dato,1,b33c2d4a881556d69b5b1751d8dc761485a4531df469c38a0f8bd2a193de0c30,25/06/2023 23:53:53,ESCANER
15292,"Huehuetenango",13,"San Pedro Necta",6,2218,400,115,76,0,4,0,2,8,47,0,0,252,13,7,272,0,272,--,400,128,252,272,272,Algún campo sin dato,1,d270cb24bd7dc51d09dca93eca6360afa412d7e78f896ef11c56155be9791a5c,25/06/2023 23:06:16,ESCANER
15293,"Huehuetenango",13,"San Pedro Necta",6,2218,400,104,101,0,2,0,1,12,20,0,0,240,19,5,264,0,264,--,340,76,240,264,264,Algún campo sin dato,1,66785b9ab6ac63fee7477daf6f3ea84abf201643f1f51424b55361b3f0add0ec,26/06/2023 00:33:02,ESCANER
15294,"Huehuetenango",13,"San Pedro Necta",6,2218,400,142,76,0,1,0,2,4,46,0,1,272,11,8,291,0,291,--,396,105,272,291,291,Algún campo sin dato,1,4b8b23c3097bda9b41d6c62374475ee122be72c8cbfa33b4779b186d90ca9a98,25/06/2023 23:30:48,ESCANER
15295,"Huehuetenango",13,"San Pedro Necta",6,2218,400,131,100,0,2,0,0,9,28,0,0,270,8,9,287,0,287,--,396,109,270,287,287,Algún campo sin dato,1,c6674a8e729a1eb6d4cd606b986044716b79daf5884928fa37fc9241e016ec0d,26/06/2023 01:46:04,ESCANER
15296,"Huehuetenango",13,"San Pedro Necta",6,2218,400,121,94,0,1,3,3,31,47,1,0,301,7,3,311,1,312,--,400,88,301,311,312,Algún campo sin dato,1,2e59d4f1948ff418205a495359112a841b6738148198319dced166f8f8161e88,26/06/2023 04:25:19,ESCANER
15297,"Huehuetenango",13,"San Pedro Necta",6,2218,400,119,82,1,1,3,3,21,41,0,1,272,14,2,288,0,288,--,400,112,272,288,288,Algún campo sin dato,1,d0d6fd84ca283059fc16e6cd534f4143fecdfdbe92a1a3be9e9f7c6cc1401db0,26/06/2023 00:18:50,ESCANER
