TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
70,70,100.0000,70,100.0000,0,25921,14405,55.5727

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UR,TODOS,CABAL,UNE,VALOR,PHG,URNG-MAIZ   SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15346,"Huehuetenango",13,"Jacaltenango",7,2233,400,50,2,0,200,32,1,1,3,289,0,3,292,6,298,--,400,102,289,292,298,Algún campo sin dato,1,c96d774aa8d216976668e0781975c660eb8484dc6feaad8357ec9de221660366,26/06/2023 01:11:01,ESCANER
15347,"Huehuetenango",13,"Jacaltenango",7,2233,400,49,9,0,174,49,1,2,7,291,8,3,302,0,302,--,400,98,291,302,302,Algún campo sin dato,1,f3030e4d3baf9f5ccaa200d2f668248d56647f70e590e68eec17948ad1fc2efa,26/06/2023 01:16:34,ESCANER
15348,"Huehuetenango",13,"Jacaltenango",7,2233,400,57,4,0,176,55,0,5,6,303,8,3,314,0,314,--,397,83,303,314,314,Algún campo sin dato,1,07e996afb5f832de1dbc00a14f03719a636d6fec1331227996cb1b281debde03,26/06/2023 01:18:41,ESCANER
15349,"Huehuetenango",13,"Jacaltenango",7,2233,400,47,7,0,179,43,1,2,7,286,5,2,293,0,293,--,400,107,286,293,293,Algún campo sin dato,1,b2f4e7543c737e970d3651ac8b97cc54a989819fa92347bd5c27bfb76987aae3,25/06/2023 23:58:24,ESCANER
15350,"Huehuetenango",13,"Jacaltenango",7,2233,400,31,9,1,186,40,0,2,4,273,3,0,276,0,276,--,400,124,273,276,276,Algún campo sin dato,1,439eb2eac630eb206d63654c17c1d19614e97075994c1a455e20e200edfc1dc3,26/06/2023 01:19:28,ESCANER
15351,"Huehuetenango",13,"Jacaltenango",7,2233,400,30,9,0,145,40,2,1,3,230,4,1,235,0,235,--,402,167,230,235,235,Algún campo sin dato,1,006a99826ed8b2e61bcf1da97cee4a72c2d9093a2f378e04f14f1fd95fff07fa,25/06/2023 23:44:27,ESCANER
15352,"Huehuetenango",13,"Jacaltenango",7,2233,400,54,5,2,157,40,1,4,5,268,7,0,275,0,275,--,400,125,268,275,275,Algún campo sin dato,1,9e2d86fa62802b00359392ce2ce87fe71675ef640988a2964cdf42c9d464d0d4,26/06/2023 00:30:03,ESCANER
15353,"Huehuetenango",13,"Jacaltenango",7,2233,400,48,3,2,178,46,0,1,3,281,8,4,293,1,294,--,400,107,281,293,294,Algún campo sin dato,1,30fe6f32a0420d69494ac69ce6cd5ae7f5fa67e377800818d499ede4fe6bc066,26/06/2023 00:55:32,ESCANER
15354,"Huehuetenango",13,"Jacaltenango",7,2234,400,38,7,3,159,31,2,2,5,255,5,3,255,0,255,--,400,145,247,255,255,Sumas Asentadas sin cuadrar,1,ee8a4c2b5b7a31a19e5db63f27f739834f4d79bc6eb7517606eadb3a131eaf59,26/06/2023 04:40:30,ESCANER
15355,"Huehuetenango",13,"Jacaltenango",7,2234,400,36,3,1,136,22,0,1,7,206,5,3,214,--,214,--,--,--,206,214,214,Algún campo sin dato,1,f681c26f80716e162abe9e7143627dc4ddefddcfc5bc2ce263500f9c29d1e30d,26/06/2023 02:30:51,ESCANER
