TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
76,76,100.0000,76,100.0000,0,29355,12335,42.0200

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,VAMOS,UNE,TODOS,PODEMOS,CABAL,AZUL,VIVA,VALOR,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15416,"Huehuetenango",13,"Soloma",8,2244,400,8,19,18,10,42,64,2,12,16,1,192,11,6,209,0,209,--,400,191,192,209,209,Algún campo sin dato,1,18d7c0cdc1aa683c2b817a3fd26d5fabb1bf06504dca444d240c3118c411efd5,26/06/2023 00:05:06,ESCANER
15417,"Huehuetenango",13,"Soloma",8,2244,400,3,7,13,9,51,44,2,19,19,4,171,8,4,183,217,400,2,400,217,171,183,400,,1,29a50c6759d62ed1b2e7f803f4eb354b8d287aa7505ef07d6d4e79f2548111a6,26/06/2023 02:07:59,ESCANER
15418,"Huehuetenango",13,"Soloma",8,2244,400,4,10,24,7,44,32,4,41,8,0,174,3,3,180,1,181,--,397,217,174,180,181,Algún campo sin dato,1,ce239f77639b761f8fbe531ca61a1d2d35f81f2f56269085729a93d0f3d80f4b,26/06/2023 02:12:37,ESCANER
15419,"Huehuetenango",13,"Soloma",8,2244,400,5,28,32,8,45,54,3,8,8,0,191,11,9,211,0,211,--,400,189,191,211,211,Algún campo sin dato,1,84ae4fef6dbdfd4178109eb342027ffcad4f2baeac8662c6303b26ab27f863e9,26/06/2023 01:04:34,ESCANER
15420,"Huehuetenango",13,"Soloma",8,2244,400,1,10,21,9,60,64,2,12,6,0,185,8,11,204,1,205,--,399,194,185,204,205,Algún campo sin dato,1,ed710366a16f339ed08a59f067e4afe0991d049700afc2f7673fd4e8900b933e,26/06/2023 01:57:53,ESCANER
15421,"Huehuetenango",13,"Soloma",8,2244,400,6,10,16,17,49,47,3,12,12,3,175,10,10,195,0,195,--,400,205,175,195,195,Algún campo sin dato,1,e727a5cd8f6d10851d09bdb694da4e7db1f8c94222fe6e1354b6d122be009b32,26/06/2023 03:20:36,ESCANER
15422,"Huehuetenango",13,"Soloma",8,2244,400,1,23,21,9,53,50,0,9,13,0,179,12,4,195,0,195,--,397,202,179,195,195,Algún campo sin dato,1,cd5b1aad828ab1a07c3fabf94a6776ffdd9118883d6cb4c4f3cadcfb9ade28b6,26/06/2023 01:40:20,ESCANER
15423,"Huehuetenango",13,"Soloma",8,2244,400,1,11,27,11,39,49,2,4,16,5,165,12,5,182,0,182,--,400,218,165,182,182,Algún campo sin dato,1,d86db378c55ea70ca376e9384e7b36a299f91ac9f722d86e5f002c1f9dba83e5,26/06/2023 01:42:39,ESCANER
15424,"Huehuetenango",13,"Soloma",8,2244,400,4,9,24,6,40,53,6,7,10,2,161,7,8,176,0,177,1,400,220,161,176,176,Sumas Asentadas sin cuadrar,1,c96f3b3cc72a88e578a4ab2f11957a2552ecc6965e3ef12e32e452ab2d7fba13,26/06/2023 02:46:34,ESCANER
15425,"Huehuetenango",13,"Soloma",8,2244,400,1,16,13,14,50,59,2,7,10,5,177,8,5,190,1,191,1,400,209,177,190,191,,1,d85d1ea1a56fd2b4899f2b026534003d16264672ec2c7d5e9ca0549fe57df952,26/06/2023 02:25:07,ESCANER
15426,"Huehuetenango",13,"Soloma",8,2245,400,2,18,13,18,52,63,2,20,17,0,205,12,0,217,0,217,--,400,183,205,217,217,Algún campo sin dato,1,e94cd53e84863b1bc9bd7126d3b8b7ad0e4d3132df8b1711bc5bfcdbc0677548,26/06/2023 01:32:35,ESCANER
15427,"Huehuetenango",13,"Soloma",8,2245,400,0,17,13,19,53,61,1,3,13,1,181,8,5,194,0,194,--,400,206,181,194,194,Algún campo sin dato,1,79d7b16ee5c1073b763d3510417cf00090b8ed98dd0cd37f01266274e1330fa9,26/06/2023 01:26:59,ESCANER
15428,"Huehuetenango",13,"Soloma",8,2245,400,0,23,17,24,62,52,2,10,15,0,205,7,7,221,176,397,2,397,176,205,219,395,Sumas Asentadas sin cuadrar,1,e52ad806d2c15a31ec1ce2f956db675ab22f2a1e89637d689f95c5fb4c1993f1,26/06/2023 02:42:20,ESCANER
15429,"Huehuetenango",13,"Soloma",8,2245,400,3,16,13,27,56,51,3,11,23,1,204,7,7,218,0,218,--,400,182,204,218,218,Algún campo sin dato,1,bdb1ce0971d9e403ec0cb9078d31f5aaa32af14a0329c3cc13b5e4d57c811615,26/06/2023 01:13:17,ESCANER
15430,"Huehuetenango",13,"Soloma",8,2245,400,4,9,7,13,64,64,2,6,19,2,190,2,6,198,0,198,--,400,202,190,198,198,Algún campo sin dato,1,c94ef34273a5b3e7c0263ada1e5b2ed1b4a68381b56fef7a8cf76c86ef151f0c,26/06/2023 01:04:15,ESCANER
