TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
71,71,100.0000,71,100.0000,0,25563,16477,64.4564

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,MLP,U R N G - MAIZ,PODEMOS,PHG,TODOS,AZUL,ELEFANTE,BIEN,VALOR,CABAL,WINAQ,PPN,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15492,"Huehuetenango",13,"Ixtahuacán",9,2254,400,53,24,5,4,11,17,44,5,3,72,1,10,11,3,1,264,22,8,294,0,294,--,400,106,264,294,294,Algún campo sin dato,1,01d986096419a583384f3c0829e93b6a158c340d6dc499248eab9154291ecd51,26/06/2023 01:11:13,ESCANER
15493,"Huehuetenango",13,"Ixtahuacán",9,2254,400,42,33,2,5,17,17,54,4,1,97,4,7,9,1,2,295,26,6,327,0,327,--,400,73,295,327,327,Algún campo sin dato,1,8b537fc81013c357cce512f81bcd1cba516555d483307a28cc302e080e60c1b2,26/06/2023 01:49:20,ESCANER
15494,"Huehuetenango",13,"Ixtahuacán",9,2254,400,23,28,3,7,4,10,36,6,0,99,1,8,7,2,1,235,26,10,271,0,271,--,400,129,235,271,271,Algún campo sin dato,1,cd5b8661c1910a617d4dfa0dd70d93001e6de0ac39b663a2d0b366f20dc11dde,26/06/2023 01:52:09,ESCANER
15495,"Huehuetenango",13,"Ixtahuacán",9,2254,400,30,32,3,1,12,9,36,3,1,113,2,5,13,1,1,262,15,9,286,0,286,--,400,114,262,286,286,Algún campo sin dato,1,935fd61bc1b6fdff7596eb92604490a35fcf612853a048ef5b7f1623208ba665,25/06/2023 23:45:05,ESCANER
15496,"Huehuetenango",13,"Ixtahuacán",9,2254,400,44,38,4,4,8,13,29,4,2,104,1,8,4,1,4,268,19,3,290,0,290,--,400,110,268,290,290,Algún campo sin dato,1,9a343a8081ca3de21a4bd677d0cbc1a6ea8809b31866bc6fb17ecab924770cf9,26/06/2023 00:25:04,ESCANER
15497,"Huehuetenango",13,"Ixtahuacán",9,2255,400,34,19,3,3,8,7,45,3,2,90,0,7,6,2,0,229,10,2,241,0,241,--,400,159,229,241,241,Algún campo sin dato,1,1a6f37f497bc6bfdc5c6f0f9ad73b5bfef7286cb580873643f5791240d7d3f39,26/06/2023 00:01:44,ESCANER
15498,"Huehuetenango",13,"Ixtahuacán",9,2255,400,45,20,7,3,19,5,43,4,1,89,1,8,3,1,2,251,10,6,267,0,267,--,400,133,251,267,267,Algún campo sin dato,1,e8f58d52efcd4072545ba0e429326840de06a4c44bda3ca6a41e7519b0aafffd,26/06/2023 00:02:59,ESCANER
15499,"Huehuetenango",13,"Ixtahuacán",9,2255,400,29,27,3,1,8,7,43,5,0,98,2,8,5,0,0,236,18,8,262,0,262,--,400,138,236,262,262,Algún campo sin dato,1,eb45cef8fc2606a746f4bbf514a1bb6381e0178ac32fbcf1878e19c4cdc07cbf,25/06/2023 23:46:50,ESCANER
15500,"Huehuetenango",13,"Ixtahuacán",9,2255,400,31,23,4,5,12,11,25,6,2,87,3,7,7,1,2,226,17,7,250,0,250,--,400,150,226,250,250,Algún campo sin dato,1,d5264d6fd8a58802b530588995b89b4ee3628660817a3d3b6eb7254a53ceb756,26/06/2023 00:19:02,ESCANER
15501,"Huehuetenango",13,"Ixtahuacán",9,2255,400,33,20,6,2,11,4,40,5,1,90,4,6,12,1,0,235,11,5,251,0,251,--,399,148,235,251,251,Algún campo sin dato,1,6dc62e6c5f3fc5773f6a1429229dd4d7a3ca998946e6db03bccd5787f484f00d,25/06/2023 23:53:27,ESCANER
