TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
52,52,100.0000,52,100.0000,0,18886,13106,69.3953

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,MLP,UNE,TODOS,AZUL,BIEN,PHG,SEMILLA,VALOR,UNIONISTA,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15563,"Huehuetenango",13,"Santa Bárbara",10,2266,400,173,1,5,134,2,0,1,1,1,1,1,320,13,0,333,0,333,--,403,67,320,333,333,Algún campo sin dato,1,9759f0498e6546739ed0f051bb7dc9cbfd36755cdbd92f04d12a0c99b57c6698,25/06/2023 23:22:09,ESCANER
15564,"Huehuetenango",13,"Santa Bárbara",10,2266,400,171,0,1,125,2,0,0,0,0,0,2,301,11,2,314,0,314,0,400,86,301,314,314,,1,36b57c475803e05ea9bb27c9f54248537afad9154a2f538af6c0e491f84abf98,26/06/2023 04:29:28,ESCANER
15565,"Huehuetenango",13,"Santa Bárbara",10,2266,400,171,0,6,132,3,0,0,1,0,0,0,313,12,5,330,0,330,--,400,70,313,330,330,Algún campo sin dato,1,74ed490dcbe2b96aae3e57f9eeafe045f285b1d874cde17dbfeab8927c0be09b,26/06/2023 01:22:13,ESCANER
15566,"Huehuetenango",13,"Santa Bárbara",10,2266,400,152,1,7,140,5,1,3,2,0,1,1,313,9,5,327,0,327,--,400,73,313,327,327,Algún campo sin dato,1,f3c58f44acd17154e61bd442fb142df6ba3bb73f3ea5045484681b5f79fe4a7e,26/06/2023 02:14:46,ESCANER
15567,"Huehuetenango",13,"Santa Bárbara",10,2266,400,152,4,12,134,2,2,0,1,0,0,0,307,7,3,317,0,317,--,400,83,307,317,317,Algún campo sin dato,1,58441355567df9dd5f9624cfc451374a5f29da502965425647f5beb140328483,26/06/2023 02:04:18,ESCANER
15568,"Huehuetenango",13,"Santa Bárbara",10,2266,400,148,0,10,144,2,2,0,0,2,1,0,309,11,5,325,0,325,--,400,75,309,325,325,Algún campo sin dato,1,17c6795d5c03b7a77db4331b083419c8e719eaa2c36665c5d08546b49e6114cf,25/06/2023 23:55:11,ESCANER
15569,"Huehuetenango",13,"Santa Bárbara",10,2266,400,155,0,5,118,3,1,0,1,0,0,0,283,9,6,298,0,298,--,400,102,283,298,298,Algún campo sin dato,1,edb7dc72abe4f83b3f039a5a57068cae7a28e55ecdbf0b72952d44224c1aac35,26/06/2023 00:40:24,ESCANER
15570,"Huehuetenango",13,"Santa Bárbara",10,2267,400,114,3,5,124,1,0,0,1,0,0,0,248,13,4,265,0,265,--,400,135,248,265,265,Algún campo sin dato,1,ea9ddd742e96d8b4ebe146999227d287ba42e96ee296f0330cb20ef470322adf,25/06/2023 23:20:07,ESCANER
15571,"Huehuetenango",13,"Santa Bárbara",10,2267,400,147,1,5,92,2,2,0,2,3,0,0,164,10,10,284,0,284,--,400,116,254,274,274,Sumas Asentadas sin cuadrar,1,4862f70938e8360b1f958e90db1ebdec99cda7ac9f58728c824f24df002a03ae,26/06/2023 03:48:31,ESCANER
15572,"Huehuetenango",13,"Santa Bárbara",10,2267,400,123,3,6,122,1,0,1,0,1,0,0,257,4,5,266,2,268,--,400,132,257,266,268,Algún campo sin dato,1,08893fdd6147032555f255bcb3716e414e9194237a60e881905e768d3aae9ce6,25/06/2023 23:31:42,ESCANER
15573,"Huehuetenango",13,"Santa Bárbara",10,2267,400,164,1,6,94,0,0,0,1,1,0,0,267,7,5,279,0,279,--,400,121,267,279,279,Algún campo sin dato,1,24ddfdbcde9028de219cb6e363a07d0457840674fec0ba0fe84b0da5c301e3bd,26/06/2023 01:03:03,ESCANER
15574,"Huehuetenango",13,"Santa Bárbara",10,2267,400,136,0,3,104,3,1,0,0,1,0,0,248,6,7,261,0,261,--,400,139,248,261,261,Algún campo sin dato,1,49dfe819333267bb517157049d4466a4f60f05ea104d3d37a773422bea4d27cf,26/06/2023 01:14:39,ESCANER
15575,"Huehuetenango",13,"Santa Bárbara",10,2267,400,122,1,6,104,1,0,0,0,1,0,0,235,5,0,240,0,240,--,400,160,235,240,240,Algún campo sin dato,1,34c944c282bb697c493d09b3d2edd0da907a8d204f8b05e99e2fffa533ade53f,25/06/2023 23:47:36,ESCANER
15576,"Huehuetenango",13,"Santa Bárbara",10,2267,400,121,1,8,116,0,0,0,0,3,0,0,249,1,4,254,0,254,--,400,146,249,254,254,Algún campo sin dato,1,8d89db496319953a4a7068b21ebca1bede99f98d885c7f8f7a3c1a3cdd4830b4,25/06/2023 22:18:03,ESCANER
15577,"Huehuetenango",13,"Santa Bárbara",10,2268,400,148,0,5,90,0,0,0,0,1,0,0,244,1,0,245,0,245,--,400,155,244,245,245,Algún campo sin dato,1,d1573bac7384744e999cfadaceec3a3dc1d7ebaa5800877037c708281d917b6b,25/06/2023 23:14:33,ESCANER
