TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
67,67,100.0000,67,100.0000,0,24582,11228,45.6756

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,TODOS,ELEFANTE,UNE,BIEN,PHG,CAMBIO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15615,"Huehuetenango",13,"La Libertad",11,2277,400,68,85,3,27,3,2,0,188,13,9,210,0,210,--,400,190,188,210,210,Algún campo sin dato,1,62a2d568ea74a8c0152fa5563a2d02a757107a084cceaaf8b9e7812dec6e8470,26/06/2023 00:41:21,ESCANER
15616,"Huehuetenango",13,"La Libertad",11,2277,400,58,59,2,50,7,3,0,179,26,8,213,0,213,--,400,187,179,213,213,Algún campo sin dato,1,cf10e6768b1985b4e72e2462573beea4224f4ab1c6e12c48d8b6091cf49e64c0,25/06/2023 22:47:33,ESCANER
15617,"Huehuetenango",13,"La Libertad",11,2277,400,108,62,5,43,3,3,0,224,22,6,252,0,252,--,400,148,224,252,252,Algún campo sin dato,1,ff4675987d6042f6fac714edbb7e5b4e4adeb2fff92d1d1835242a920d083f83,25/06/2023 23:33:29,ESCANER
15618,"Huehuetenango",13,"La Libertad",11,2277,400,81,79,2,28,9,0,0,199,11,9,219,0,219,--,400,181,199,219,219,Algún campo sin dato,1,7280057d80de586a6690aa7853a0514df480ba87c02ccb7c4c3e0a969e02a2a4,25/06/2023 22:52:55,ESCANER
15619,"Huehuetenango",13,"La Libertad",11,2277,400,114,61,2,26,4,0,0,207,14,4,225,0,225,--,400,175,207,225,225,Algún campo sin dato,1,0523971bb54fbe8ad019e67abd553be4c03e983a13a41cc393b843cf11bf0dd1,25/06/2023 23:41:48,ESCANER
15620,"Huehuetenango",13,"La Libertad",11,2277,400,119,42,5,33,3,1,0,203,16,7,226,0,226,--,400,174,203,226,226,Algún campo sin dato,1,8390147dadf406052cc9aa0b16224670e855118a41346c8f68bed7506cb613d8,26/06/2023 00:21:41,ESCANER
15621,"Huehuetenango",13,"La Libertad",11,2277,400,110,58,3,31,2,1,0,205,17,5,227,0,227,--,400,173,205,227,227,Algún campo sin dato,1,6406e7880901644a1a750b2ed4b9f35cb9ca732b1f7da80eae91c7089e062ada,26/06/2023 00:45:14,ESCANER
15622,"Huehuetenango",13,"La Libertad",11,2277,400,70,87,6,40,3,1,0,207,17,5,229,0,229,--,400,171,207,229,229,Algún campo sin dato,1,c0af629909f91360bd95926df4edecdbeb9cd4af3b5014dca57df21e7a27a68b,26/06/2023 01:36:50,ESCANER
15623,"Huehuetenango",13,"La Libertad",11,2277,400,99,80,5,38,2,0,0,224,18,5,247,0,247,--,400,153,224,247,247,Algún campo sin dato,1,f545ad8181395123271bfc9d40a3816ae9b630fb96259e09760b2e2bd7e4c8f7,26/06/2023 00:17:49,ESCANER
15624,"Huehuetenango",13,"La Libertad",11,2277,400,105,92,4,25,4,1,1,232,14,8,254,0,254,--,400,146,232,254,254,Algún campo sin dato,1,dae240ea977cdf9d12d5bb26e1274640e50d82e5e00fa0c8f14b1ef4a01bb34f,26/06/2023 03:26:37,ESCANER
