TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
94,94,100.0000,94,100.0000,0,35353,14734,41.6768

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,CABAL,PHG,VIVA,BIEN,VALOR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15682,"Huehuetenango",13,"La Democracia",12,2291,400,86,37,11,3,13,2,5,157,14,2,173,0,173,--,405,232,157,173,173,Algún campo sin dato,1,12a5ef3fb2c6842b41f34388d3b78e778dc4f423ea02a22ff9c75d2b2fa75b59,26/06/2023 00:23:20,ESCANER
15683,"Huehuetenango",13,"La Democracia",12,2291,400,111,41,16,1,13,2,10,194,16,5,215,0,215,--,400,185,194,215,215,Algún campo sin dato,1,0686bf880452b5e05c259e00ea1fa5ded3044b81d6f787e859d34a186bcccb21,26/06/2023 01:03:29,ESCANER
15684,"Huehuetenango",13,"La Democracia",12,2291,400,92,40,10,3,17,2,6,170,12,3,185,0,185,--,400,215,170,185,185,Algún campo sin dato,1,2b7e66f433a4a3e82560603d772a1c550541751321ac4dfc1c0df664a047660f,25/06/2023 23:25:14,ESCANER
15685,"Huehuetenango",13,"La Democracia",12,2292,400,104,48,14,5,20,3,3,197,16,4,217,0,217,--,399,182,197,217,217,Algún campo sin dato,1,3d7f8fd8720d26b6d0dbe94fa972e053f7c06a382df7ab6dcaa3d02572a74c7d,26/06/2023 01:09:43,ESCANER
15686,"Huehuetenango",13,"La Democracia",12,2292,400,98,55,15,5,18,4,1,196,19,5,220,0,220,--,400,180,196,220,220,Algún campo sin dato,1,b7f731bf2d7bf477e4ebfbda02a19de4494b75670ed33d7fe31a2e2fffb6640e,26/06/2023 01:20:35,ESCANER
15687,"Huehuetenango",13,"La Democracia",12,2292,400,99,36,10,4,9,0,2,160,7,0,167,0,167,--,399,232,160,167,167,Algún campo sin dato,1,b84bd39cff4ef99fd98a4a935450daa415e9e34f98347e99b4bcaaf9aeb7f10d,25/06/2023 22:23:01,ESCANER
15688,"Huehuetenango",13,"La Democracia",12,2292,400,83,33,12,2,12,2,8,152,16,6,174,0,174,--,400,226,152,174,174,Algún campo sin dato,1,c49b1be1fe9bfed1a8d495584eeb041ca222bfb21aed624b4c75d72315bbb13d,26/06/2023 00:22:57,ESCANER
15689,"Huehuetenango",13,"La Democracia",12,2292,400,82,25,19,2,10,4,4,146,10,6,162,0,162,--,400,235,146,162,162,Algún campo sin dato,1,42006cb0068da1b18c6003e1e4c84047817a70574316470f561797c4f87637be,25/06/2023 22:44:07,ESCANER
15690,"Huehuetenango",13,"La Democracia",12,2292,400,84,43,8,5,13,3,4,160,5,4,0,0,169,--,400,231,160,169,169,Algún campo sin dato,1,a2004884d2d3714a5ebd7fc79df1cc703257a6d33e253aa4f0137a6baa7f614f,25/06/2023 23:28:02,ESCANER
15691,"Huehuetenango",13,"La Democracia",12,2292,400,108,47,7,0,9,2,8,181,5,1,187,0,187,--,400,213,181,187,187,Algún campo sin dato,1,159006e471949d73ee698ff417b671d36da45f998230743c7c29cfb1c49065b2,25/06/2023 23:34:16,ESCANER
15692,"Huehuetenango",13,"La Democracia",12,2292,218,59,9,5,1,11,0,0,85,3,1,89,0,89,--,218,129,85,89,89,Algún campo sin dato,1,160c9e35a247664f2203a2dd5b9d0b32c76fdaeab21099848e441e4b830776b7,25/06/2023 22:07:33,ESCANER
15693,"Huehuetenango",13,"La Democracia",12,2292,218,34,6,5,1,1,0,1,48,12,3,63,0,63,--,218,155,48,63,63,Algún campo sin dato,1,5104095de96c278ab77d9b150c5a8f4e7c757ef46c18c5cbe61fb63fcd8edd2c,25/06/2023 22:23:42,ESCANER
15694,"Huehuetenango",13,"La Democracia",12,2293,400,100,22,9,2,19,4,3,159,18,4,181,0,181,--,400,219,159,181,181,Algún campo sin dato,1,0986762bcb020a4ad5a7afba01b060d08ef82c27f53996005eb489035906bb7d,26/06/2023 01:49:38,ESCANER
15695,"Huehuetenango",13,"La Democracia",12,2293,400,95,41,19,4,13,3,4,179,18,8,205,0,205,--,387,182,179,205,205,Algún campo sin dato,1,876b001fac887e4cc0d66234da63c9caa40d9137a32d5b8d0052ff13f5131d79,25/06/2023 23:52:26,ESCANER
