TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
49,44,89.7959,44,89.7959,0,15474,10065,65.0445

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,CABAL,PHG,WINAQ,PODEMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15776,"Huehuetenango",13,"San Miguel Acatán",13,2302,400,,,,,,,,,,,,,,,,,,,,0,,,
15777,"Huehuetenango",13,"San Miguel Acatán",13,2302,400,17,90,34,34,70,45,290,10,8,308,0,308,--,400,92,290,308,308,Algún campo sin dato,1,73dcb7728cce7b1ab664cf40b0555b02ffbb3af43f6d66bacceb3ac2bedaec76,25/06/2023 23:55:26,ESCANER
15778,"Huehuetenango",13,"San Miguel Acatán",13,2302,400,28,117,33,14,76,16,284,4,3,0,0,291,--,400,109,284,291,291,Algún campo sin dato,1,5ceaf14dca1ea0e29dcf4c4db501e471044e5dba8291c6d5b07641c1af9dfcf9,26/06/2023 01:56:49,ESCANER
15779,"Huehuetenango",13,"San Miguel Acatán",13,2302,400,35,81,24,16,65,34,255,2,4,261,0,261,--,400,139,255,261,261,Algún campo sin dato,1,ac9f9b28593919887de720a51c410baeb7ea95df8ceaf0b5b61e4b73e14f60d3,26/06/2023 00:33:11,ESCANER
15780,"Huehuetenango",13,"San Miguel Acatán",13,2302,400,32,87,30,19,64,37,269,4,8,281,0,281,--,400,119,269,281,281,Algún campo sin dato,1,a1ec3a2acbc75b6429be1d47c3984d6351f0f24a206e362513b408165d32ca5f,26/06/2023 04:51:08,ESCANER
15781,"Huehuetenango",13,"San Miguel Acatán",13,2302,400,22,88,31,15,80,37,273,1,2,276,--,--,--,400,124,273,276,276,Algún campo sin dato,1,227e4eb5ac44dbe17d62c3ccc6ac49a428355dea27a04a4c2fcd835ec41a107e,26/06/2023 01:33:12,ESCANER
15782,"Huehuetenango",13,"San Miguel Acatán",13,2302,304,16,79,21,12,64,29,221,0,0,221,0,221,--,304,83,221,221,221,Algún campo sin dato,1,cc14c352490a6a4e21985e062bb4f5d30ebca11f2133defdf34d0eded7d8ff61,25/06/2023 22:38:58,ESCANER
15783,"Huehuetenango",13,"San Miguel Acatán",13,2302,303,15,45,28,7,43,30,168,5,1,174,0,174,--,303,129,168,174,174,Algún campo sin dato,1,d65199cb7fb075a85f64147ea76f069cd231db5f88b3a7675b23c4100747a27a,25/06/2023 22:00:11,ESCANER
15784,"Huehuetenango",13,"San Miguel Acatán",13,2303,400,20,83,23,17,94,26,263,3,11,277,0,277,--,400,123,263,277,277,Algún campo sin dato,1,35254e59e0d1dea685c0e31f896f1de2a50d7f6666dcfd95e13aa1b087c012ee,26/06/2023 02:10:00,ESCANER
15785,"Huehuetenango",13,"San Miguel Acatán",13,2303,400,28,93,14,20,86,35,276,6,4,286,0,286,--,400,114,276,286,286,Algún campo sin dato,1,15fccf06d4a5ddc68174d41ec97541383ed54e8976ff614254d1a0c69f72b8bf,26/06/2023 02:13:28,ESCANER
