TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
27,27,100.0000,27,100.0000,0,9934,6399,64.4151

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,VAMOS,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15825,"Huehuetenango",13,"San Rafael La Independencia",14,2311,400,135,139,1,275,4,1,280,0,280,--,399,119,275,280,280,Algún campo sin dato,1,c432c0d057083100fb04b4526d15aa8c6f8de72816864a156165c328c98b575b,25/06/2023 22:57:16,ESCANER
15826,"Huehuetenango",13,"San Rafael La Independencia",14,2311,400,138,139,0,277,3,2,282,0,282,--,400,118,277,282,282,Algún campo sin dato,1,428847093606d419e6359d5a0bb1a7f1440ee3d155ec028d46a0dad83cfc2f58,26/06/2023 00:36:55,ESCANER
15827,"Huehuetenango",13,"San Rafael La Independencia",14,2311,400,129,142,1,272,2,6,280,0,280,--,400,120,272,280,280,Algún campo sin dato,1,44746d1aef013f4035441eb37d8bbc9eebfa7186872a0114788afa01de332133,25/06/2023 23:42:10,ESCANER
15828,"Huehuetenango",13,"San Rafael La Independencia",14,2311,400,131,171,0,302,5,1,308,0,308,--,400,92,302,308,308,Algún campo sin dato,1,6e66ee3559c12c66b0490a3fc3d36d1599990b9d4eddd3139bef8aae274fe4c2,25/06/2023 23:24:42,ESCANER
15829,"Huehuetenango",13,"San Rafael La Independencia",14,2311,400,123,124,0,247,0,1,248,0,248,--,400,152,247,248,248,Algún campo sin dato,1,2027665adfb4d5547a32be0952249f9f5904ac029c4811576344ae9017b1c207,26/06/2023 00:44:26,ESCANER
15830,"Huehuetenango",13,"San Rafael La Independencia",14,2311,400,112,112,1,225,0,2,227,2,229,--,400,171,225,227,229,Algún campo sin dato,1,2a871c8358865bb46562eb1a274e353e169ce6c97289b6fce1bc9e883280a5f6,26/06/2023 00:53:35,ESCANER
15831,"Huehuetenango",13,"San Rafael La Independencia",14,2312,400,148,113,3,264,2,4,270,0,270,--,400,130,264,270,270,Algún campo sin dato,1,e0d8443ee8d7d096f9bdacd9163414bb818123bbdd52cb7ed3389a3d12431161,26/06/2023 04:19:44,ESCANER
15832,"Huehuetenango",13,"San Rafael La Independencia",14,2312,400,140,145,0,285,2,0,287,0,287,--,400,113,285,287,287,Algún campo sin dato,1,033b8d30e7475e87f1965eb918535d8285d40fc18875e4736e9cc8b88913a948,25/06/2023 23:14:49,ESCANER
15833,"Huehuetenango",13,"San Rafael La Independencia",14,2312,400,152,141,2,295,2,2,299,0,299,--,400,101,295,299,299,Algún campo sin dato,1,9d152c9aa035e9f4d63bf86c4aa8515e6bb7e02a329d3eb30b08569e0d76c666,26/06/2023 00:08:32,ESCANER
15834,"Huehuetenango",13,"San Rafael La Independencia",14,2312,201,81,61,1,143,0,2,145,0,145,--,201,56,143,145,145,Algún campo sin dato,1,10fededa16a1b80ec29318088ceabc2a5bbbbd29454914ec4d70ece61c8fc8a5,25/06/2023 23:07:06,ESCANER
