TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
58,58,100.0000,58,100.0000,0,21117,12288,58.1900

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,TODOS,PPN,VICTORIA,PHG,UNE,U R N G - MAIZ,VALOR,BIEN,PODEMOS,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15852,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2317,400,72,15,2,147,4,0,2,2,0,0,0,0,244,22,6,272,0,272,--,400,128,244,272,272,Algún campo sin dato,1,d66f95601acd6f396f69b31bf73dea61004051ec41883d5fa77d716e9c92ee2d,25/06/2023 23:42:21,ESCANER
15853,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2317,400,93,29,5,138,0,1,2,1,2,0,0,0,271,13,11,295,0,295,--,397,102,271,295,295,Algún campo sin dato,1,934b287117b1f11c6dc8885ab4c19919118dae17e2d02c94ad7b6dd7dc0b5a00,26/06/2023 00:01:32,ESCANER
15854,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2317,400,58,15,5,172,1,1,2,1,3,0,0,0,258,11,3,272,0,272,--,400,128,258,272,272,Algún campo sin dato,1,ce1113bbd718207cbbccca14beaec92e2baa300418579da4001a805984db4f72,26/06/2023 01:02:27,ESCANER
15855,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2317,400,51,17,5,122,0,0,0,2,1,0,0,0,198,7,2,207,0,207,--,400,193,198,207,207,Algún campo sin dato,1,e5e81ee8c5697e752c3463a10268b3effea1216831cfffc36d53e00860d73bc3,26/06/2023 00:09:48,ESCANER
15856,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2317,400,57,19,3,116,1,0,2,2,0,0,0,0,200,3,2,205,0,205,--,400,195,200,205,205,Algún campo sin dato,1,fbdf28445ded3bd98dbf1b54c15288b40e87f55ba8b444a88ad4553b790ca8a0,26/06/2023 00:15:21,ESCANER
15857,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2317,216,33,11,0,91,0,0,0,0,0,0,0,0,135,1,1,137,0,137,--,216,79,135,137,137,Algún campo sin dato,1,4854becbc707e7ebc551acd5727caa327973d71f53f7fe7b71681eeab10c854b,25/06/2023 21:15:21,ESCANER
15858,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2317,215,20,5,2,57,1,0,0,0,0,0,0,0,85,0,0,85,0,85,--,215,130,85,85,85,Algún campo sin dato,1,be951fa05726aaa2d6eed628c71a9cf82c33a7fd25648b99b849b83e3aff1f76,25/06/2023 22:09:55,ESCANER
15859,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2318,400,53,26,7,138,1,1,0,4,1,3,1,0,235,17,7,259,0,259,--,400,141,235,259,259,Algún campo sin dato,1,2c653f659b0d6df014272f67c298a0ba45d6f46f4ebfa6ccf6c18b50acb8dd8a,25/06/2023 23:17:35,ESCANER
15860,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2318,400,77,17,4,168,0,0,4,4,0,1,1,0,276,15,7,298,0,298,--,400,102,276,298,298,Algún campo sin dato,1,c864f06426cd204adcc15860278c5b5120bc5cc78c3b5a5b9496e0f95bc4dd9e,25/06/2023 23:33:17,ESCANER
15861,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2318,400,55,17,3,168,2,0,1,3,3,0,1,0,253,6,8,267,0,267,--,400,133,253,267,267,Algún campo sin dato,1,ce70cdb20810047df1a9b6128e231094ddd2e04869eeb45caa5bb35865ad32fe,26/06/2023 01:17:48,ESCANER
15862,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2318,400,42,26,2,141,1,0,0,0,1,2,0,0,215,19,1,235,0,235,--,400,165,215,235,235,Algún campo sin dato,1,619a16f7f27fed28353d7dfa8a46e2015ab3b4e5e41d09a9113ef79a6d085eed,25/06/2023 23:52:49,ESCANER
15863,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2319,400,54,20,2,115,0,1,1,6,0,0,1,0,200,8,3,211,0,211,--,400,189,200,211,211,Algún campo sin dato,1,2a75fa2545eb9fc5729d822278c1721858cc8e2622e68ef6454411f5d73c834f,26/06/2023 00:08:29,ESCANER
15864,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2319,400,53,22,2,124,1,1,4,4,0,1,0,0,212,2,4,218,0,218,--,400,182,212,218,218,Algún campo sin dato,1,2291547b03530be41b98020c8fed78e991ecf12cb799c108e024b8e133c005f3,25/06/2023 22:32:45,ESCANER
15865,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2319,271,35,11,1,131,0,0,4,2,0,0,0,0,184,0,2,186,0,186,--,271,85,184,186,186,Algún campo sin dato,1,593e29ccb059a9b918c276e3010c290646f2ebe16c78d10e47a24d556f7ab6ea,25/06/2023 22:54:07,ESCANER
15866,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2319,270,18,8,3,61,0,0,0,2,2,0,0,0,94,1,1,96,0,96,--,270,174,94,96,96,Algún campo sin dato,1,57a354ab36028098d43ad1e3ab7bd31a9554b43b8e53a96f99d276321d63a968,25/06/2023 23:15:12,ESCANER
15867,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2320,380,99,28,9,64,2,1,3,1,0,2,1,0,210,11,7,228,0,228,--,380,152,210,228,228,Algún campo sin dato,1,147ae4bc15bcd9d5110f7386eb239f0b1fd94ed06107e5b83fb4695430d3f7e8,25/06/2023 23:56:48,ESCANER
15868,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2320,380,120,18,13,80,3,0,3,2,1,4,0,0,244,16,8,268,0,268,--,376,108,244,268,268,Algún campo sin dato,1,349bbc61888cc4f35f5fd3f1edec66d1a51b802d3e9e1ab88b0f57b4055d063e,26/06/2023 00:19:56,ESCANER
15869,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2320,380,93,80,9,60,1,0,3,0,0,3,0,0,249,6,4,259,0,259,--,380,121,249,259,259,Algún campo sin dato,1,46123b7d80773ded67003002e376add89e01e2aa411625c2b2f1b8a392435629,25/06/2023 23:26:25,ESCANER
15870,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2320,380,82,59,8,76,2,0,6,3,1,0,0,0,237,7,7,251,0,251,--,380,129,237,251,251,Algún campo sin dato,1,c363a69a4fda57107ae78bc737ab0e23c9f4dfd3cfa8dc4c3bb6b8252728e613,25/06/2023 23:30:19,ESCANER
15871,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2321,380,101,32,3,44,1,0,2,0,0,0,0,0,183,6,3,192,0,192,--,380,188,183,192,192,Algún campo sin dato,1,fb940286584f5a634cd59bd7d251eb19b9053ab9b2be6619877cbeb5853eb303,26/06/2023 00:08:16,MOVIL
15872,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2322,380,89,24,7,55,0,0,2,2,0,2,1,0,182,4,2,188,0,188,--,380,192,182,188,188,Algún campo sin dato,1,97543da0f977ee48966aecfa19bd2b6a69d5642e3e2131ad8116105b3ead107a,26/06/2023 00:50:00,ESCANER
15873,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2322,336,88,35,2,55,1,0,1,1,0,3,0,0,186,0,0,186,0,186,--,336,150,186,186,186,Algún campo sin dato,1,650bfabe6869c20b5cf0bbf63b63ca64960aa2d46d68bc4ad9aa5a0c9e683353,26/06/2023 00:48:49,ESCANER
15874,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2322,336,67,37,5,46,1,0,0,0,0,3,0,0,159,6,3,168,0,168,--,336,168,159,168,168,Algún campo sin dato,1,fa52721752e47e04c6d7e024a78ffa137689c25fed05f1def8523a9370e7a72c,26/06/2023 00:03:35,ESCANER
15875,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2323,380,90,25,3,90,1,5,1,0,1,2,0,0,218,4,4,226,0,226,--,375,154,218,226,226,Algún campo sin dato,1,7d10f06ab87de15ae58fd6d700154636a496d0d5a07ae5208d55adce37eaeff4,26/06/2023 01:01:23,ESCANER
15876,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2323,380,90,11,1,132,2,2,2,2,2,3,0,0,247,4,5,256,0,256,--,380,124,247,256,256,Algún campo sin dato,1,d76221c0b1f785c42c36c4825fafe3efe06db3a919329e1d67fc3a1b248f5007,26/06/2023 01:33:01,ESCANER
15877,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2323,380,102,29,7,98,5,0,3,3,0,0,1,0,248,12,7,267,1,268,--,380,112,248,267,268,Algún campo sin dato,1,d340f45d07fff3415ab724bcf9148e4b808c09e641609bbaa611aef0d0dfcb9b,26/06/2023 00:45:53,ESCANER
15878,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2323,380,114,27,4,89,3,2,7,1,0,1,1,0,249,11,10,270,0,270,--,380,110,249,270,270,Algún campo sin dato,1,55dff91175f292e670d6bc47730d3cafcf9176c28bd8fb72fe01e247e8e88b97,26/06/2023 01:30:22,ESCANER
15879,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2323,380,140,8,1,76,6,1,2,7,0,2,1,0,244,9,6,259,0,259,--,380,121,244,259,259,Algún campo sin dato,1,dae501f0e9f431b96e606e5bd6c09a1cbd60e0c5ddc96072f2e0c7c9d212de81,26/06/2023 00:58:45,ESCANER
15880,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2324,380,64,12,2,76,6,3,3,2,4,2,0,0,174,4,4,182,0,182,--,380,198,174,182,182,Algún campo sin dato,1,3b6759de75689600c54f62ad1b2f697d3463683f5f4b2a0a77d8e48e4d4ef6da,25/06/2023 23:50:17,ESCANER
15881,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2325,380,96,9,4,85,2,3,3,2,1,1,0,0,206,2,1,209,0,209,--,380,171,206,209,209,Algún campo sin dato,1,451f26dd52dc08e98d0d5e07e8deb84451429af11e6856ca201b79577b2f26b4,26/06/2023 00:00:11,ESCANER
