TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
40,40,100.0000,40,100.0000,0,14898,10880,73.0299

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,TODOS,BIEN,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15910,"Huehuetenango",13,"San Juan Atitán",16,2335,400,136,4,150,1,0,291,2,3,296,0,296,--,400,104,291,296,296,Algún campo sin dato,1,d56baee297843309a2141f8d82346ae874af94d614b12939810b2b54978da89d,25/06/2023 23:55:06,ESCANER
15911,"Huehuetenango",13,"San Juan Atitán",16,2335,400,162,1,152,0,1,316,2,0,318,0,318,--,400,82,316,318,318,Algún campo sin dato,1,f6f2e2d204df2b2b0665bff978b34ec91beb412b0c35a43cc9ab62187c3bf1bd,25/06/2023 23:17:18,ESCANER
15912,"Huehuetenango",13,"San Juan Atitán",16,2335,400,177,1,141,3,1,323,8,4,335,0,335,--,400,65,323,335,335,Algún campo sin dato,1,9f128d0a6030cf195615c62bc5452fec79c7cf521f384f1ec371d8958424c105,25/06/2023 23:45:10,ESCANER
15913,"Huehuetenango",13,"San Juan Atitán",16,2335,400,176,1,135,1,0,313,3,3,319,0,319,--,400,81,313,319,319,Algún campo sin dato,1,d26d0b4690ae648bb102261dcbc24021a3d585849ea342a50c17c590f93a0602,25/06/2023 23:30:56,ESCANER
15914,"Huehuetenango",13,"San Juan Atitán",16,2336,400,174,1,155,2,1,333,9,2,344,0,344,--,400,56,333,344,344,Algún campo sin dato,1,4b11bbf6184fb787057fedb50e7224eed9205df079877b318b3444c6a56dc174,25/06/2023 23:23:39,ESCANER
15915,"Huehuetenango",13,"San Juan Atitán",16,2336,400,187,2,138,0,0,327,3,3,333,0,333,--,400,67,327,333,333,Algún campo sin dato,1,2b2e07229ee26a83a9f095dc54738a8deb613fc0b15eba493c5bc20099c677ef,26/06/2023 00:36:56,ESCANER
15916,"Huehuetenango",13,"San Juan Atitán",16,2336,400,137,0,181,3,0,321,3,0,324,0,324,--,400,76,321,324,324,Algún campo sin dato,1,c519bcb5ecf099b975000484d6c5c19020296ec6579293ae294f1e0a2b07c796,26/06/2023 00:43:58,ESCANER
15917,"Huehuetenango",13,"San Juan Atitán",16,2337,400,144,3,176,0,0,323,3,5,331,0,331,--,400,69,323,331,331,Algún campo sin dato,1,1969a0165cdf8307bffb8ec078384e38e0c88adc26faf5c6ca18169fcee88aaa,26/06/2023 00:22:41,ESCANER
15918,"Huehuetenango",13,"San Juan Atitán",16,2337,400,126,1,188,1,0,316,2,3,321,0,321,--,400,79,316,321,321,Algún campo sin dato,1,26db303fa3724075a36ac0b511e53cb6e61ac77ffcad48ac7b5f0932e0445b47,26/06/2023 00:32:43,ESCANER
15919,"Huehuetenango",13,"San Juan Atitán",16,2337,400,113,0,116,1,0,230,3,1,234,0,234,--,400,166,230,234,234,Algún campo sin dato,1,f63751221493902d1633772ee9dea5e52fd903a86f9f192f617ec854accc101e,25/06/2023 23:24:37,ESCANER
15920,"Huehuetenango",13,"San Juan Atitán",16,2338,400,108,0,151,0,0,259,3,2,264,0,264,--,400,136,259,264,264,Algún campo sin dato,1,2f80c1694494f3cb790e756548add926cba93da42f424223e5aae935daded418,25/06/2023 23:33:44,ESCANER
15921,"Huehuetenango",13,"San Juan Atitán",16,2338,400,88,1,141,0,0,230,2,3,235,0,235,--,400,165,230,235,235,Algún campo sin dato,1,2f81e69193222491105b2d0d69f4b9ad30ef1d9748afc32910c453427dfce9e4,25/06/2023 23:54:21,ESCANER
15922,"Huehuetenango",13,"San Juan Atitán",16,2338,400,110,0,134,0,0,244,4,0,248,0,248,--,400,248,244,248,248,Algún campo sin dato,1,f4175ecbf24dfe1959e9c730750a0e8785cf250d47434017e345b56e0d394f1a,25/06/2023 23:26:55,ESCANER
15923,"Huehuetenango",13,"San Juan Atitán",16,2339,400,107,0,142,0,0,249,1,0,250,0,250,--,400,150,249,250,250,Algún campo sin dato,1,85eccf82475cbb19ba1006ade937e82b7f485c0d9e73865a68e477ba4a36f014,26/06/2023 00:07:46,ESCANER
15924,"Huehuetenango",13,"San Juan Atitán",16,2340,400,121,0,155,0,0,276,0,0,276,0,276,--,400,124,276,276,276,Algún campo sin dato,1,d4c51a350b97dc6e2c23685646f34650fdb5870f6060bcb8bd8832a17c3b573f,25/06/2023 23:29:22,ESCANER
15925,"Huehuetenango",13,"San Juan Atitán",16,2340,400,136,0,156,0,0,292,1,0,293,0,293,--,400,107,292,293,293,Algún campo sin dato,1,18a6ba2bd3781448dfca24b562e2983433a37dc7fa803c7b23afbed986d7ac1c,25/06/2023 23:23:15,ESCANER
15926,"Huehuetenango",13,"San Juan Atitán",16,2340,400,119,0,173,0,0,292,3,1,296,0,296,--,400,104,292,296,296,Algún campo sin dato,1,538b7d7c253841bd12e683369a5a90c4b085dfd938fc7b8d63d2d7a8a8295da1,25/06/2023 23:13:54,ESCANER
15927,"Huehuetenango",13,"San Juan Atitán",16,2340,377,118,0,146,0,0,264,1,2,267,0,267,--,377,110,264,267,267,Algún campo sin dato,1,1fe89994fd71c7d18049c4a49c9f32c2abc0ce5d323312b299f37804ff52d8ec,25/06/2023 23:24:17,ESCANER
15928,"Huehuetenango",13,"San Juan Atitán",16,2340,376,67,0,98,0,0,165,3,0,168,0,168,--,376,208,165,168,168,Algún campo sin dato,1,b851182e5f4483e383b1117e87baf1aea1a42c76d2bb40e4e74b2557235a7522,25/06/2023 21:37:58,ESCANER
15929,"Huehuetenango",13,"San Juan Atitán",16,2341,380,155,1,141,1,1,299,2,2,303,0,303,--,380,77,299,303,303,Algún campo sin dato,1,3849c3a4336262a85879b456ec3722a2f8df917d5fd3a054df85a6631f732408,26/06/2023 02:40:47,ESCANER
15930,"Huehuetenango",13,"San Juan Atitán",16,2341,380,146,1,175,0,0,322,5,4,331,0,331,--,380,49,322,331,331,Algún campo sin dato,1,38bfd466a5c244114bbbe05c08324b0fb812162fea3a3cd18b7f15250518e835,26/06/2023 02:59:39,ESCANER
15931,"Huehuetenango",13,"San Juan Atitán",16,2341,380,152,1,156,1,0,310,3,5,318,0,318,--,380,62,310,318,318,Algún campo sin dato,1,11387858f416ece6a6601fa8f94787e01e869c75d7370276a0bff762ed4482b9,26/06/2023 02:56:06,ESCANER
15932,"Huehuetenango",13,"San Juan Atitán",16,2341,380,145,0,165,1,0,311,1,1,313,0,0,--,380,67,311,313,313,Algún campo sin dato,1,18321429269ce7131afefbc52e10d46dce9a8f0082f5650a9fe125b5252b1a9e,26/06/2023 05:00:05,ESCANER
15933,"Huehuetenango",13,"San Juan Atitán",16,2341,380,126,1,115,1,0,243,1,3,247,1,248,--,380,132,243,247,248,Algún campo sin dato,1,d689825b3f3d27d512502a98b143062a7fc2a9658220023a70e797ed9448a789,26/06/2023 02:52:52,ESCANER
15934,"Huehuetenango",13,"San Juan Atitán",16,2341,380,112,0,117,0,0,229,4,1,234,0,234,--,380,146,229,234,234,Algún campo sin dato,1,d086261f6fc92bd1c373cb8b09bf6863775c86eeefb6b5d00058809833a976c2,26/06/2023 02:49:45,ESCANER
15935,"Huehuetenango",13,"San Juan Atitán",16,2341,380,138,--,140,--,--,278,0,--,278,--,278,--,380,102,278,278,278,Algún campo sin dato,1,35d3a70166491689030337718854eca48ae327c922474c866e3219cac182b7d8,26/06/2023 02:50:42,ESCANER
15936,"Huehuetenango",13,"San Juan Atitán",16,2341,252,90,--,94,--,--,184,1,--,185,--,185,--,252,67,184,185,185,Algún campo sin dato,1,22f381358328d57f1b2b2abcd7e4018a496fd761707046600e1cce5b751d668e,26/06/2023 02:56:58,ESCANER
