TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
58,58,100.0000,58,100.0000,0,22477,12966,57.6856

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,UNE,PODEMOS,VALOR,BIEN,CAMBIO,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15950,"Huehuetenango",13,"Santa Eulalia",17,2344,400,54,66,96,14,13,2,0,0,245,12,4,261,0,261,--,400,139,245,261,261,Algún campo sin dato,1,bac9c45bc854fa54b5e1aefd23f4bf8ebb4b4804ae425898ccead3eebeecc5c9,25/06/2023 23:23:56,ESCANER
15951,"Huehuetenango",13,"Santa Eulalia",17,2344,400,57,80,64,14,4,5,2,0,226,21,6,253,0,253,--,400,147,226,253,253,Algún campo sin dato,1,dff46248de329fd7e072f701327fda7695b1ec32a40e361fd0e90471203c34bd,26/06/2023 00:54:10,ESCANER
15952,"Huehuetenango",13,"Santa Eulalia",17,2344,400,61,70,94,10,8,0,1,2,246,17,5,268,0,268,--,400,132,246,268,268,Algún campo sin dato,1,648721754f6b86e7e35a348546ed5e31ed4545a5e384242d0238207b3f11a1fc,25/06/2023 23:32:38,ESCANER
15953,"Huehuetenango",13,"Santa Eulalia",17,2344,400,43,82,121,9,20,0,0,1,276,15,3,294,0,294,--,397,103,276,294,294,Algún campo sin dato,1,0c5f06643fe30e8220da4a84dd29fa277f5cf22d0c5b98035c9a970b00804e4f,26/06/2023 01:14:55,ESCANER
15954,"Huehuetenango",13,"Santa Eulalia",17,2344,400,69,99,93,9,12,1,1,1,285,11,7,303,0,303,--,400,95,285,303,303,Algún campo sin dato,1,7789772db23f56fb30ec3754eec8ea0d0f0e696130723b32731b763a0777ef80,26/06/2023 00:45:54,ESCANER
15955,"Huehuetenango",13,"Santa Eulalia",17,2344,400,76,56,100,10,10,1,0,1,254,12,3,269,1,270,--,402,131,254,269,270,Algún campo sin dato,1,8be295554a05806f6f26450f54c9ffed3d440c9f1463713474602027dddf700e,26/06/2023 00:30:12,ESCANER
15956,"Huehuetenango",13,"Santa Eulalia",17,2344,400,54,78,85,9,17,2,0,0,245,11,12,268,2,270,--,397,127,245,268,270,Algún campo sin dato,1,8a48ff2828dff012d28dd35436a2feb9ca8e44cb1a601188c7d502cf611d9fc3,26/06/2023 01:06:31,ESCANER
15957,"Huehuetenango",13,"Santa Eulalia",17,2344,400,50,68,91,11,24,4,1,1,250,9,7,266,0,266,--,400,134,250,266,266,Algún campo sin dato,1,d09462a49b7debf364a6a9856ee8051e8ff8ca0e7302b245e0eeab4be4cf47be,26/06/2023 01:59:02,ESCANER
15958,"Huehuetenango",13,"Santa Eulalia",17,2345,400,50,77,73,5,19,0,0,2,226,4,0,230,3,233,--,400,167,226,230,233,Algún campo sin dato,1,d38d1946b7674df6639f311ba35f1e8135fd62832405857cdc74179983f81b05,25/06/2023 23:33:11,ESCANER
15959,"Huehuetenango",13,"Santa Eulalia",17,2345,400,41,71,78,11,20,1,0,2,224,6,9,239,0,239,--,400,161,224,239,239,Algún campo sin dato,1,2809da4dda08c70911893419e26a0426a513baff10e847c3f2e20b873daddbb6,26/06/2023 00:04:08,ESCANER
