TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
57,57,100.0000,56,98.2456,1,20271,12149,59.9329

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,VAMOS,CABAL,BIEN,U R N G - MAIZ,TODOS,AZUL,PODEMOS,PHG,VIVA,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16077,"Huehuetenango",13,"Colotenango",19,2366,400,92,71,35,15,3,8,5,4,5,1,0,239,14,10,263,0,263,--,400,137,239,263,263,Algún campo sin dato,1,758887d7f874e15cef8b7dfba5b19a2301e84a5544bec2ec4a152519cc1978f0,26/06/2023 01:10:53,ESCANER
16078,"Huehuetenango",13,"Colotenango",19,2366,400,122,80,42,5,2,7,1,2,6,3,0,270,14,13,297,0,297,--,400,103,270,297,297,Algún campo sin dato,1,e70f45eb1b7dfb27258f3aab21d8ce8b9cf4e1e081a09fb71bfac935200cf456,26/06/2023 02:23:08,ESCANER
16079,"Huehuetenango",13,"Colotenango",19,2366,400,105,77,23,20,5,11,3,0,5,3,0,252,12,11,275,0,275,--,400,125,252,275,275,Algún campo sin dato,1,11394ef8e9b6d7065101b6b47a96f7d817fb5bb25e7fab6031eb87423c6cc672,26/06/2023 00:26:06,ESCANER
16080,"Huehuetenango",13,"Colotenango",19,2366,400,132,69,23,27,3,8,1,4,7,5,0,279,9,6,294,0,294,--,400,106,279,294,294,Algún campo sin dato,1,27b3d669affc3f2703c1181979ad0b3fdd055a8e33f165c6491837d91e75d36c,26/06/2023 01:34:50,ESCANER
16081,"Huehuetenango",13,"Colotenango",19,2366,400,84,68,18,65,1,10,1,0,6,5,0,258,9,11,278,0,278,--,400,122,258,278,278,Algún campo sin dato,1,1375a97944a70fb08797afef9eef53b34d54c8faca5fbd6efe041d1cf37ead90,25/06/2023 23:48:14,ESCANER
16082,"Huehuetenango",13,"Colotenango",19,2366,400,110,43,12,32,0,7,0,3,0,4,0,211,7,2,220,0,220,--,400,180,211,220,220,Algún campo sin dato,1,45257af31e5c9928626ab423a6d4bf5a1aa39d369c877ac50a06306e9c74d525,25/06/2023 23:00:54,ESCANER
16083,"Huehuetenango",13,"Colotenango",19,2367,400,81,61,17,44,3,12,0,0,0,1,0,219,14,10,243,0,243,--,400,157,219,243,243,Algún campo sin dato,1,8c52b50be438499c5a198022d40fbed3562e560bf3a778bf230e11ff09242687,26/06/2023 00:00:14,ESCANER
16084,"Huehuetenango",13,"Colotenango",19,2367,400,75,56,16,31,7,9,0,0,4,1,0,199,5,6,210,1,211,--,400,189,199,210,211,Algún campo sin dato,1,f254f5caa9927b7b033400083c57b2b6ea0335b8429d3dd2a03d14f75324f36b,26/06/2023 01:04:43,ESCANER
16085,"Huehuetenango",13,"Colotenango",19,2368,400,88,43,12,28,1,8,0,1,3,0,1,185,1,3,193,7,192,--,398,202,185,189,196,Sumas Asentadas sin cuadrar,1,51bdddb0f298bb6a8a16a12c3c41586bd24316d795afef55ccf77054103a9e9f,26/06/2023 01:23:11,ESCANER
16086,"Huehuetenango",13,"Colotenango",19,2368,400,102,73,14,28,2,6,0,1,1,0,0,227,5,2,234,1,235,--,400,165,227,234,235,Algún campo sin dato,1,71f8efc65f5419780c8329017da461f1c55618f014d9e986c68b1e3d0d7c3466,25/06/2023 22:39:01,ESCANER
16087,"Huehuetenango",13,"Colotenango",19,2368,277,70,38,11,18,0,4,0,1,5,0,0,147,2,4,153,--,--,--,--,--,147,153,153,Algún campo sin dato,1,e9a19661dc7e10ff29589457404a079b1f80c358a38bbd55f279670f0df740bd,25/06/2023 21:15:23,ESCANER
16088,"Huehuetenango",13,"Colotenango",19,2368,277,43,37,8,19,0,6,0,0,2,1,0,116,3,4,123,2,125,--,277,152,116,123,125,Algún campo sin dato,1,4e3f33dff2d157d3bb63b90c96dc2cb7cfeff28c3e53e319a58474e1412dfc54,25/06/2023 21:36:16,ESCANER
16089,"Huehuetenango",13,"Colotenango",19,2369,400,117,68,30,13,8,13,3,1,15,1,1,270,15,4,289,0,289,--,401,112,270,289,289,Algún campo sin dato,1,f3e4bf524d0c99b12597ec7d39d2a73836c4915bb9839dd4229494cd08e2078c,26/06/2023 01:13:34,ESCANER
16090,"Huehuetenango",13,"Colotenango",19,2369,400,164,34,6,13,5,14,0,1,5,0,0,242,9,11,262,138,400,--,400,138,242,262,400,Algún campo sin dato,1,8b11f54023b1bed8798d4cf83985ca07fdf7087192442f92e81ea554bf425a70,25/06/2023 23:05:31,ESCANER
16091,"Huehuetenango",13,"Colotenango",19,2369,400,137,38,18,57,8,8,2,0,2,2,0,272,16,7,295,1,296,--,400,104,272,295,296,Algún campo sin dato,1,459f5320027b5da5c4d7ad491d55a8b845cd3bd3a7550f1871bb02d8f16cc947,26/06/2023 00:59:01,ESCANER
16092,"Huehuetenango",13,"Colotenango",19,2369,400,140,53,4,17,12,12,0,1,4,0,0,243,9,2,254,0,254,--,400,146,243,254,254,Algún campo sin dato,1,8428e7be57b72cef17c838ecb90c98d4e14ae66b8bbfee15d7b64a8d638199f9,26/06/2023 01:05:51,ESCANER
16093,"Huehuetenango",13,"Colotenango",19,2369,372,113,40,20,14,5,19,0,0,1,0,0,212,2,2,216,0,216,--,372,153,212,216,216,Algún campo sin dato,1,984725f466c331d168f6993e414312671670ed26dc1d34b5620123e75fd698c1,26/06/2023 00:26:20,ESCANER
16094,"Huehuetenango",13,"Colotenango",19,2369,372,112,31,15,31,7,8,0,0,1,0,0,205,2,1,208,0,208,--,--,--,205,208,208,Algún campo sin dato,1,8aaec6c80cca86bf16ae85da1bf22ce1f3ce719b248c527c86b155713cb32a70,25/06/2023 23:52:27,ESCANER
16095,"Huehuetenango",13,"Colotenango",19,2370,400,125,23,25,12,10,53,3,0,0,1,0,252,12,7,271,0,271,--,401,130,252,271,271,Algún campo sin dato,1,8aeef5e47c71b172fce5f4a3b7298303a6ca09a9622f9211753b402787f43ce3,25/06/2023 23:03:08,ESCANER
16096,"Huehuetenango",13,"Colotenango",19,2370,257,58,10,9,4,8,30,0,0,1,0,0,120,1,5,126,0,126,--,257,128,120,126,126,Algún campo sin dato,1,adda7d5d4cfed3883934114b1aedf4b0444b72d562a0d66ff3517031f1d4e9b8,25/06/2023 21:27:10,ESCANER
16097,"Huehuetenango",13,"Colotenango",19,2370,257,50,9,14,7,4,35,0,0,0,0,0,119,1,3,123,0,123,--,257,134,119,123,123,Algún campo sin dato,1,e056dfa0dadaa21286e153f70aafbb506a5ea35728d3b445c09e865c454a7d80,25/06/2023 20:39:29,ESCANER
16098,"Huehuetenango",13,"Colotenango",19,2371,380,113,33,7,10,16,19,1,1,2,1,--,203,15,5,223,0,223,--,380,157,203,223,223,Algún campo sin dato,1,b3eb2483b9ade92d5c77bf60627db3f238a18412b2e719c9de97a431e0e7d3aa,26/06/2023 01:07:13,ESCANER
16099,"Huehuetenango",13,"Colotenango",19,2371,380,95,53,12,21,38,24,2,2,1,4,0,252,11,4,267,0,267,--,377,110,252,267,267,Algún campo sin dato,1,3dbae20ffd6cf23b76b8cf2712d755d20066a9b9f6c83c91f2ae8c7ba07ac985,26/06/2023 02:09:30,ESCANER
16100,"Huehuetenango",13,"Colotenango",19,2371,380,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,Suma Excede Padrón,0,9a2d300b17e7800beb85483c1ba513fc825cb93d6f70319c7974bd13faeec439,26/06/2023 05:17:22,ESCANER
16101,"Huehuetenango",13,"Colotenango",19,2371,380,127,14,21,12,40,32,1,0,3,2,0,252,14,15,281,0,281,--,380,99,252,281,281,Algún campo sin dato,1,130152f01a637ab67e71c18f1b9514d99e77faaf6d443b688e6fb909b9e4b3d3,26/06/2023 01:08:14,ESCANER
