TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
57,57,100.0000,57,100.0000,0,20642,15507,75.1235

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,BIEN,CABAL,PHG,VALOR,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16134,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2377,400,100,82,63,2,44,2,293,18,7,318,0,318,--,400,82,293,318,318,Algún campo sin dato,1,e133007d4d3f0b42f0458976d0c07fd34a2e94eddd57e8999d4cefe38b38d1db,25/06/2023 21:46:08,MOVIL
16135,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2377,400,122,63,84,4,23,4,300,22,9,331,0,331,--,400,69,300,331,331,Algún campo sin dato,1,8ee390a21cd5b12093b48c5fa2ce7a28ad9291c0f005981a5c252734ca699df6,26/06/2023 00:52:26,ESCANER
16136,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2377,400,123,54,110,1,11,2,301,13,5,319,0,319,--,400,81,301,319,319,Algún campo sin dato,1,6f6961a62dc0cfa8ace4e6b06a5a490deaf27fc4464f42554f4927e2de0f7788,26/06/2023 00:17:28,MOVIL
16137,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2378,400,107,62,132,1,11,4,317,14,7,338,0,338,--,400,62,317,338,338,Algún campo sin dato,1,6d867f9e216e4271088264cde9ee20bdb09f63324305fa725b3aa8495fed5433,26/06/2023 01:28:56,ESCANER
16138,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2378,400,91,96,72,6,34,2,301,11,2,314,0,314,--,400,86,301,314,314,Algún campo sin dato,1,fb7c8ecde2928a9194810df941a6e20d04f47ccfa817ae9108f81ce8056a44cf,25/06/2023 23:34:28,ESCANER
16139,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2378,400,73,61,92,2,25,2,255,12,3,270,0,270,--,400,130,255,270,270,Algún campo sin dato,1,7d6f44ba466ca9dd64fbfc4cf6b808c71926321dce64255cd79740a35b04df86,25/06/2023 23:37:14,ESCANER
16140,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2378,400,84,60,82,1,40,1,268,8,2,278,0,278,--,400,122,268,278,278,Algún campo sin dato,1,f5f0bd3c270c0b797e09fefd7bdda4cf4bd506b4f77f29da2bdc6e8576cc4265,25/06/2023 23:45:27,ESCANER
16141,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2379,400,92,83,67,3,24,1,270,4,0,274,0,274,--,400,126,270,274,274,Algún campo sin dato,1,6ca0a5997f8cc819389d690ee79749094614836f6f0b6adf3812725ce2c1b43a,25/06/2023 21:52:18,ESCANER
16142,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2379,400,118,35,103,3,16,1,276,8,1,285,0,285,--,400,115,276,285,285,Algún campo sin dato,1,2e283b23557c9f9224aef1976a75cc9b44fd03d214e4621e584adcf5cad35e59,25/06/2023 21:47:53,ESCANER
16143,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2380,246,64,55,40,1,16,0,176,3,0,179,0,179,--,246,67,176,179,179,Algún campo sin dato,1,0ce22df138e4f1c290db4ed3fb99da7b924db80da78c67e4c5b1291088c4fa9c,25/06/2023 22:09:12,ESCANER
16144,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2380,245,44,32,54,0,12,1,143,3,3,149,0,149,--,245,96,143,149,149,Algún campo sin dato,1,e74ad5dd6cdafbb4c03b2df6f07e0f19d34b3931deaf7cb9273dc236e4e4d7f6,25/06/2023 22:18:58,ESCANER
16145,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2381,400,85,81,92,3,25,3,289,16,10,315,0,315,--,400,85,289,315,315,Algún campo sin dato,1,f230036d230ffd6438836c0fd0921d2f2831093c1e4b532ba8bd94c4c9e5596e,26/06/2023 01:18:30,ESCANER
16146,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2381,400,97,89,80,5,30,4,305,22,13,340,0,340,--,400,60,305,340,340,Algún campo sin dato,1,0cc15f1e9b041ba641c49eac29673a148aeff326acdd80ef3a6bb6a6892483fd,25/06/2023 23:24:57,ESCANER
