TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
19,19,100.0000,19,100.0000,0,6734,4933,73.2551

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,CABAL,VICTORIA,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16191,"Huehuetenango",13,"Tectitán",21,2393,400,188,11,106,0,1,306,9,4,319,0,319,1,400,80,306,319,319,,1,750b2fa9b65c2b384eb94fa49f286d0eb1901afafb18d22bc46fa1a50fd501b9,26/06/2023 02:08:24,ESCANER
16192,"Huehuetenango",13,"Tectitán",21,2393,400,164,14,132,1,0,311,5,7,323,3,326,--,400,74,311,323,326,Algún campo sin dato,1,17bde73b543c2f612d201191c383a65c73aba226549bf88bd39a4cae51be01ec,26/06/2023 00:24:10,ESCANER
16193,"Huehuetenango",13,"Tectitán",21,2393,400,198,8,110,2,0,318,1,4,323,0,323,--,400,77,318,323,323,Algún campo sin dato,1,d77d73d79a3ea7cebbf83cc02b33862894f55f76c56fef38b5066b754024e0a7,26/06/2023 00:34:17,ESCANER
16194,"Huehuetenango",13,"Tectitán",21,2393,400,178,6,143,0,1,328,2,3,333,0,333,--,400,67,328,333,333,Algún campo sin dato,1,e291d8875f3e16c83ccbf9eb352d8bbaab5e4dcfb53bd6ebec6a6e4de3120745,25/06/2023 23:59:23,ESCANER
16195,"Huehuetenango",13,"Tectitán",21,2393,400,168,10,127,3,2,310,6,6,322,0,322,--,400,78,310,322,322,Algún campo sin dato,1,6763ed985573b65d6ebc200fad92cd62c1a4f3190f1239e0819042ebfdf6000f,26/06/2023 00:14:49,ESCANER
16196,"Huehuetenango",13,"Tectitán",21,2393,400,139,7,101,0,1,248,5,2,255,0,255,--,400,145,248,255,255,Algún campo sin dato,1,35d8380b938625c97acd376d2c447c578cdce6dfaeb89c8df457108b7504bde1,26/06/2023 00:41:57,ESCANER
16197,"Huehuetenango",13,"Tectitán",21,2393,400,165,11,90,0,4,270,10,1,281,0,281,3,400,119,270,281,281,,1,2e081e034894f6ef5ceef073c75b0e3e87fd98c365cb3ed83d5a33c27d393864,25/06/2023 22:29:31,ESCANER
16198,"Huehuetenango",13,"Tectitán",21,2393,400,140,12,90,1,1,244,6,1,251,0,251,--,400,149,244,251,251,Algún campo sin dato,1,f323a7b01dfdc04b7aab23df02c1a4d3999a389b9e3528a5d21471429ef0fbd5,25/06/2023 23:05:10,ESCANER
16199,"Huehuetenango",13,"Tectitán",21,2393,400,163,8,101,0,1,273,1,1,275,1,276,--,400,124,273,275,276,Algún campo sin dato,1,6b06da07679cb6f2c81e89034aedbc42aca925bd73d527fda62c074b0a152bb9,25/06/2023 23:21:45,ESCANER
16200,"Huehuetenango",13,"Tectitán",21,2393,321,158,5,71,0,0,234,1,0,235,0,235,--,321,86,234,235,235,Algún campo sin dato,1,e497839a17cac27a9a832ab40fd629a5899fbdf52a14b689b31da6d57621e22d,25/06/2023 22:58:59,ESCANER
16201,"Huehuetenango",13,"Tectitán",21,2393,321,96,9,76,2,0,183,1,0,184,0,184,--,321,137,183,184,184,Algún campo sin dato,1,3989addbdd8f4323bbafdb3cf3b9ee6a26f1872d732ea95ad62bfac6a1fa4f4a,25/06/2023 22:20:10,ESCANER
16202,"Huehuetenango",13,"Tectitán",21,2394,380,150,15,139,4,0,308,5,2,308,0,308,--,380,62,308,315,315,Sumas Asentadas sin cuadrar,1,1d64460bdb444b49c2bd06fa5efc2c4dc7f54c7b4d9e5d8a90fe6980c51f7296,25/06/2023 22:44:10,ESCANER
16203,"Huehuetenango",13,"Tectitán",21,2394,380,151,22,106,0,1,280,7,2,289,0,289,--,380,91,280,289,289,Algún campo sin dato,1,4eeb8f49f2e23f4eca2a840e2a2caa3371eba21ce12ae405c17c2cd15d97cf99,26/06/2023 00:00:52,ESCANER
16204,"Huehuetenango",13,"Tectitán",21,2394,224,86,4,63,2,1,156,2,3,161,0,161,1,224,62,156,161,161,,1,81f52d6e7939b7dd927f4132dbd6327682b4256bf17e0ad82cb648225b6e43fe,25/06/2023 23:10:12,ESCANER
16205,"Huehuetenango",13,"Tectitán",21,2394,224,56,6,84,0,0,146,5,1,153,0,146,1,224,71,146,152,152,Sumas Asentadas sin cuadrar,1,b8567a3f240b4959187116f1a7f7c1d667e8023dfb814bdbe8ec68c54404fc3e,25/06/2023 22:56:18,ESCANER
16206,"Huehuetenango",13,"Tectitán",21,2395,380,215,14,52,2,2,285,7,5,297,0,297,--,380,83,285,297,297,Algún campo sin dato,1,e7e7d27a68300f91ff25f5c9597817bd7c9ccfbb3844a25ca57cc75063b54fa6,25/06/2023 23:21:18,ESCANER
16207,"Huehuetenango",13,"Tectitán",21,2395,380,183,27,57,2,0,269,4,5,278,0,278,--,380,102,269,278,278,Algún campo sin dato,1,31daaa02e3fd9036aff4b239175ed3203cc692c8904354161e5d271161cd3d35,25/06/2023 23:54:55,ESCANER
