TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
33,33,100.0000,33,100.0000,0,11569,6912,59.7458

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,CABAL,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16210,"Huehuetenango",13,"Concepción Huista",22,2396,400,122,55,44,58,279,3,4,286,0,286,--,400,114,279,286,286,Algún campo sin dato,1,a3b8b9a2f0faadd31c60d7119db1a15b028bdf086965d60c7a823f79ab959dc5,26/06/2023 00:09:44,ESCANER
16211,"Huehuetenango",13,"Concepción Huista",22,2396,400,107,63,51,71,292,2,5,299,0,299,--,400,101,292,299,299,Algún campo sin dato,1,9168dbd5838692643e7676291f3a19dc5fe38d9aa8db6df7a48638e122b18b82,26/06/2023 01:42:49,ESCANER
16212,"Huehuetenango",13,"Concepción Huista",22,2396,400,111,55,69,51,286,6,1,293,0,293,--,400,107,286,293,293,Algún campo sin dato,1,c97b8260bafcb091c963f053f18c8e12c4464e93b622d3847972b57954798858,25/06/2023 23:27:09,ESCANER
16213,"Huehuetenango",13,"Concepción Huista",22,2396,400,100,76,55,62,293,3,7,303,0,303,--,401,98,293,303,303,Algún campo sin dato,1,8b6a704a25ae1357c8d7e9270dd5b4b085e54434b0850f0022a6b9d8f896d6b6,26/06/2023 01:38:20,ESCANER
16214,"Huehuetenango",13,"Concepción Huista",22,2396,400,109,80,46,45,280,3,3,286,0,286,--,400,114,280,286,286,Algún campo sin dato,1,54e72d6afa485a5f24e98ddc3d9f140385f755f9638a14677c8faf9a511adb9b,25/06/2023 22:59:28,ESCANER
16215,"Huehuetenango",13,"Concepción Huista",22,2397,400,126,74,50,55,305,5,3,313,0,313,--,401,88,305,313,313,Algún campo sin dato,1,26b79e51a0aba4553133ce74ca111bc203f70a8b9ed4ad5416f12f53993626d4,26/06/2023 00:38:37,ESCANER
16216,"Huehuetenango",13,"Concepción Huista",22,2397,400,85,48,35,53,221,1,0,222,0,222,--,400,178,221,222,222,Algún campo sin dato,1,c94884ca7c1292c0ff88b18061cfcfefbd75e6d43a4e802334950ac864187ad3,25/06/2023 23:10:14,ESCANER
16217,"Huehuetenango",13,"Concepción Huista",22,2397,400,84,57,46,45,232,4,1,237,0,237,--,400,163,232,237,237,Algún campo sin dato,1,ccc2add4c0013f63ad2523c58884727dec86f84141457b5f422f2eb49e271c30,26/06/2023 00:35:53,ESCANER
16218,"Huehuetenango",13,"Concepción Huista",22,2397,400,85,43,41,55,224,4,7,235,0,235,--,400,165,224,235,235,Algún campo sin dato,1,1c6a99bf932d1dfdbe3c4aa65790ab25641a7c1139aa6eaa7c3a0ab712dd7e1d,26/06/2023 00:00:37,ESCANER
16219,"Huehuetenango",13,"Concepción Huista",22,2397,400,102,48,54,40,244,3,7,254,0,254,0,401,147,244,254,254,,1,691282db359071b37844e4fe1dfb0ad6f0cf1fa81fea1a439d15442a0e57e1fe,26/06/2023 00:26:26,ESCANER
