TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
39,39,100.0000,39,100.0000,0,13573,6340,46.7103

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,VALOR,U R N G - MAIZ,WINAQ,TODOS,UNE,VAMOS,BIEN,PHG,CABAL,VIVA,PODER,PODEMOS,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16243,"Huehuetenango",13,"San Juan Ixcoy",23,2406,400,10,1,8,32,59,8,38,0,28,7,2,2,0,0,195,13,8,216,0,216,--,397,181,195,216,216,Algún campo sin dato,1,8c3b01ebf8afa65955d1d9da530ca7922f2a9d07f7189d65e131b64ae6e734e6,26/06/2023 00:11:56,ESCANER
16244,"Huehuetenango",13,"San Juan Ixcoy",23,2406,400,20,1,8,32,66,4,38,0,16,4,3,0,2,0,194,1,16,211,11,222,--,400,178,194,211,222,Algún campo sin dato,1,7fdfffba282829958cae42d48274e12032ca639b917736c17c0b1e7b7f83d49e,26/06/2023 00:26:00,ESCANER
16245,"Huehuetenango",13,"San Juan Ixcoy",23,2406,400,46,0,12,51,61,6,22,0,17,9,2,0,0,0,226,9,10,245,0,245,--,397,152,226,245,245,Algún campo sin dato,1,5ff367bf92b121aa271ae6ec9d92ac5bbff221057dc0c5ff98aaabd5891fef8d,26/06/2023 04:32:16,ESCANER
16246,"Huehuetenango",13,"San Juan Ixcoy",23,2406,400,14,0,9,50,59,15,25,3,22,10,3,2,0,0,212,16,9,237,0,237,--,400,163,212,237,237,Algún campo sin dato,1,b324d47afc3ef3289e3f2d428e0a968f77d2606e4d982433186ebe26eb1f7083,26/06/2023 00:20:41,ESCANER
16247,"Huehuetenango",13,"San Juan Ixcoy",23,2406,400,7,0,16,24,68,10,42,3,24,10,2,2,0,0,208,2,14,224,15,239,--,400,161,208,224,239,Algún campo sin dato,1,675aac84e8a127352cf4e3f562cff4f56ffdb16f24bc2c69f55f253b99916e61,26/06/2023 03:22:50,ESCANER
16248,"Huehuetenango",13,"San Juan Ixcoy",23,2407,400,8,0,17,24,66,16,41,3,0,8,2,1,2,0,206,14,10,230,0,206,--,400,170,188,212,212,Sumas Asentadas sin cuadrar,1,50016c888a278f0910f6a73d461a64d1da41928408e3aa52452410c228e56ace,26/06/2023 01:30:48,ESCANER
16249,"Huehuetenango",13,"San Juan Ixcoy",23,2407,400,2,1,5,27,71,36,26,0,15,10,15,0,0,0,208,19,8,235,1,236,--,400,164,208,235,236,Algún campo sin dato,1,c73828f9584e8f3599ad62cd5def46c8888249aa8ee1c179d7c2a53a67bace73,26/06/2023 00:48:08,ESCANER
16250,"Huehuetenango",13,"San Juan Ixcoy",23,2407,400,7,0,12,26,53,10,22,0,13,9,2,0,0,0,154,5,0,159,0,159,--,400,241,154,159,159,Algún campo sin dato,1,94b39c01566fd2a1bd9fc5bad732c45b2c801d0c387290d1cbf7d0170d866e74,26/06/2023 00:27:29,ESCANER
16251,"Huehuetenango",13,"San Juan Ixcoy",23,2407,400,12,0,10,26,60,17,25,2,21,9,1,2,0,0,185,1,8,194,3,197,--,--,--,185,194,197,Algún campo sin dato,1,940cf76cb54238a040bd52f024df05eea6e4cf031cbb53abdf783500e67c9ee3,26/06/2023 00:30:07,ESCANER
16252,"Huehuetenango",13,"San Juan Ixcoy",23,2407,400,14,2,9,26,57,15,20,4,30,6,1,0,0,0,184,16,4,204,0,204,--,400,196,184,204,204,Algún campo sin dato,1,4e16bd74b542fea14ea40240b02c0f038a684f4cba76c4352658ccf61fc74ac1,26/06/2023 00:43:08,ESCANER
16253,"Huehuetenango",13,"San Juan Ixcoy",23,2408,400,9,3,12,32,47,9,29,0,17,6,3,0,0,0,167,6,4,177,0,177,--,400,223,167,177,177,Algún campo sin dato,1,c47d334d6540b4ca0d364bbda3d480e0771e20fab7eacaf4b464742241385cd3,25/06/2023 23:23:33,ESCANER
16254,"Huehuetenango",13,"San Juan Ixcoy",23,2408,400,12,0,0,27,46,13,32,6,14,5,2,1,1,0,159,8,3,170,230,400,--,400,230,159,170,400,Algún campo sin dato,1,791a65019e3f4c9e229137abb918bb6a4658ead08209a9b11103615382b07acd,25/06/2023 22:40:06,ESCANER
16255,"Huehuetenango",13,"San Juan Ixcoy",23,2408,400,11,1,1,27,69,11,37,0,21,3,2,0,0,0,183,4,3,189,0,190,--,400,210,183,190,190,Sumas Asentadas sin cuadrar,1,2a03b8291465adf30cca800b87ae3d4fd1cb13eaef9261f104ad79bebc0a339c,26/06/2023 00:51:01,ESCANER
16256,"Huehuetenango",13,"San Juan Ixcoy",23,2408,400,17,0,5,35,45,11,25,1,23,7,3,0,0,0,172,4,2,178,0,178,--,400,222,172,178,178,Algún campo sin dato,1,b9145b876b6aefbe802c863731cb125c6279db6e10e12313887fda4917f90514,25/06/2023 22:38:17,ESCANER
16257,"Huehuetenango",13,"San Juan Ixcoy",23,2409,232,7,1,8,20,28,7,18,1,14,3,2,0,0,0,109,1,1,111,1,112,--,229,117,109,111,112,Algún campo sin dato,1,c12e0024a3c424174e143dcafdeaf6138e7b4b235e28684766a1351bea71a6d1,26/06/2023 00:19:53,ESCANER
16258,"Huehuetenango",13,"San Juan Ixcoy",23,2409,231,11,0,6,9,17,1,17,1,10,2,3,1,0,0,78,2,5,85,0,85,--,231,146,78,85,85,Algún campo sin dato,1,7d08e851f25b6e39c3f86831a0f9670863057acd054779b589eb8700eb021ec3,25/06/2023 22:32:50,ESCANER
16259,"Huehuetenango",13,"San Juan Ixcoy",23,2410,380,0,0,2,33,43,19,6,3,5,3,34,4,1,0,153,21,8,182,0,182,--,380,198,153,182,182,Algún campo sin dato,1,16238022e38f4ff073577c33dd84247d5ff848d75c0badabae34aeaa649be7a5,26/06/2023 03:29:06,ESCANER
16260,"Huehuetenango",13,"San Juan Ixcoy",23,2410,380,0,1,1,19,75,30,12,2,9,1,19,18,0,0,187,13,6,206,0,206,--,380,174,187,206,206,Algún campo sin dato,1,c392acbb65cdf0aa211c619c028b825240d965391113c8411ad96e0290950651,26/06/2023 00:30:58,ESCANER
16261,"Huehuetenango",13,"San Juan Ixcoy",23,2410,380,2,1,0,37,32,31,9,0,3,3,36,2,0,0,156,16,18,190,0,190,--,380,190,156,190,190,Algún campo sin dato,1,3e516641f5c559458d54467a6b46e5c5f7087d3d3f17a029e6c582c32e39d42d,26/06/2023 00:17:56,ESCANER
16262,"Huehuetenango",13,"San Juan Ixcoy",23,2410,380,0,0,0,14,58,24,3,0,3,0,19,7,1,0,129,15,9,153,0,153,--,380,227,129,153,153,Algún campo sin dato,1,b0f371a20858f0468b9c861e04637948d9a0492feb1c6f4a400f4801865a5167,25/06/2023 23:22:35,ESCANER
16263,"Huehuetenango",13,"San Juan Ixcoy",23,2410,380,0,0,0,12,58,15,1,3,3,0,32,6,0,0,130,8,5,--,0,143,--,380,237,130,143,143,Algún campo sin dato,1,9cd7b282ce45fb5330a234a4d15876be2e9fdf1a1613d0f301cd0e793f079c26,26/06/2023 02:31:15,ESCANER
16264,"Huehuetenango",13,"San Juan Ixcoy",23,2411,380,0,0,1,14,52,16,5,0,2,1,32,12,0,0,135,5,5,145,0,145,--,380,235,135,145,145,Algún campo sin dato,1,39d136d35f54a54356b4da612fc4851dbde15978b0d880f7122eaecf8339a2c7,26/06/2023 00:42:14,ESCANER
16265,"Huehuetenango",13,"San Juan Ixcoy",23,2411,228,0,0,0,12,39,11,5,0,2,2,29,4,0,0,104,3,0,107,0,107,--,225,118,104,107,107,Algún campo sin dato,1,0a027d4c2b1109bcaf2abc0667131272162ee9ab5910f7c298a5b90adfd6321c,26/06/2023 00:33:59,ESCANER
