TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
28,28,100.0000,28,100.0000,0,10257,6065,59.1303

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,VALOR,VICTORIA,TODOS,BIEN,PHG,CABAL,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16282,"Huehuetenango",13,"San Antonio Huista",24,2417,400,76,108,7,0,19,10,18,6,244,15,3,262,0,262,--,400,138,244,262,262,Algún campo sin dato,1,a78c45e06cbff2164396f073d08df83fad76297c5179f5827c8997889597298e,26/06/2023 02:49:44,ESCANER
16283,"Huehuetenango",13,"San Antonio Huista",24,2417,400,78,122,17,2,13,6,10,1,249,7,4,260,0,260,--,400,140,249,260,260,Algún campo sin dato,1,8b6044920471afa58ee3285c39a94cb7add30e1a976a88569bcc14ad8a4f8571,26/06/2023 01:33:47,ESCANER
16284,"Huehuetenango",13,"San Antonio Huista",24,2417,400,74,125,5,2,14,7,17,5,249,15,6,270,0,270,--,400,130,249,270,270,Algún campo sin dato,1,c7062deb1551d3a34150b9b7cd25daa02bc1d2f06f19f9181aabba2bc885cc73,26/06/2023 02:21:53,ESCANER
16285,"Huehuetenango",13,"San Antonio Huista",24,2417,400,89,116,8,0,18,15,16,2,264,12,4,280,0,280,--,400,120,264,280,280,Algún campo sin dato,1,382fdd6f188b342ede007ab9921a8b787b05678f18a0e59abd6dd315e2c7efd5,26/06/2023 03:04:38,ESCANER
16286,"Huehuetenango",13,"San Antonio Huista",24,2417,400,80,124,9,1,29,17,5,1,266,10,2,278,0,278,--,400,122,266,278,278,Algún campo sin dato,1,d7311a9e7f0ffffde0ecb30a75e726c635d1540e684bc028a560a7209dd84f52,26/06/2023 01:28:02,ESCANER
16287,"Huehuetenango",13,"San Antonio Huista",24,2417,400,62,159,5,1,23,9,14,0,273,5,6,284,0,284,--,400,116,273,284,284,Algún campo sin dato,1,24dc617b1aa863b0cc893a0fca3cc450e2b2bd0c742e298ffdc3a256a75df997,26/06/2023 01:42:47,ESCANER
16288,"Huehuetenango",13,"San Antonio Huista",24,2417,400,50,145,5,3,16,1,21,2,243,4,4,251,0,251,--,400,149,243,251,251,Algún campo sin dato,1,d86cebf95c07b2a7fb6f0e5f9b4a3f0b0f817e39326c97cb343a672ec29f2518,26/06/2023 01:27:23,ESCANER
16289,"Huehuetenango",13,"San Antonio Huista",24,2417,400,57,113,3,1,17,10,14,2,217,9,4,230,0,230,--,400,170,217,230,230,Algún campo sin dato,1,0781e7e717525a7c416e764e866545c39529bc99c058e5dd8428455a78cbebac,26/06/2023 02:07:49,ESCANER
16290,"Huehuetenango",13,"San Antonio Huista",24,2417,400,58,134,7,1,21,2,9,2,234,8,3,245,0,245,--,400,155,234,245,245,Algún campo sin dato,1,161bf21c58e735de731b8c0e609e3d5bc943349beeb9847207099bfbbeef2757,26/06/2023 00:53:21,ESCANER
16291,"Huehuetenango",13,"San Antonio Huista",24,2417,400,66,105,14,1,20,6,18,0,230,12,4,246,0,246,--,400,154,230,246,246,Algún campo sin dato,1,765b7234b543e8c9e274ee273e5154c26e96bb0a287ebce77cd696bf82b2bd75,26/06/2023 02:04:07,ESCANER
