TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
38,38,100.0000,38,100.0000,0,14417,9918,68.7937

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,VAMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16310,"Huehuetenango",13,"San Sebastián Coatán",25,2421,400,119,166,285,4,2,291,0,291,--,400,109,285,291,291,Algún campo sin dato,1,22248df578977d202ab26ccb8d3544edd8766df8c2458dcc5b911053cf4d0db5,25/06/2023 23:50:19,ESCANER
16311,"Huehuetenango",13,"San Sebastián Coatán",25,2421,400,168,143,311,2,2,315,0,315,--,400,85,311,315,315,Algún campo sin dato,1,990e08ad67f31d8e26c44a71bceb6011675d55646649a5a17a3600c122f7c398,25/06/2023 22:21:53,ESCANER
16312,"Huehuetenango",13,"San Sebastián Coatán",25,2421,400,106,196,302,3,1,306,0,306,--,400,94,302,306,306,Algún campo sin dato,1,7f8778e7b735d3d9548b1362ce6eefdca6efdb6c9fe12f515fc648e9f95caa73,25/06/2023 22:52:03,ESCANER
16313,"Huehuetenango",13,"San Sebastián Coatán",25,2421,400,157,168,325,0,4,329,0,329,--,400,71,325,329,329,Algún campo sin dato,1,eaf688d81410697da9db7fd533109a48827f761d0e6c30313417d6f4f04d62ba,26/06/2023 00:05:21,ESCANER
16314,"Huehuetenango",13,"San Sebastián Coatán",25,2421,400,176,137,313,1,1,315,0,315,--,400,85,313,315,315,Algún campo sin dato,1,be0d67dbf6fc549e804c62d148ed86abfcdab58b183edcdd1832d93bc00574d8,25/06/2023 22:41:24,ESCANER
16315,"Huehuetenango",13,"San Sebastián Coatán",25,2422,400,130,144,274,1,1,276,0,276,--,400,124,274,276,276,Algún campo sin dato,1,20625be54a1f9ba7773b23db42052914d0f02aa47f0e9f7dc1164dce95cf21b0,25/06/2023 22:36:55,ESCANER
16316,"Huehuetenango",13,"San Sebastián Coatán",25,2422,400,117,135,252,2,4,258,0,258,--,400,142,252,258,258,Algún campo sin dato,1,936608020baab5f6d81c945121bb27e68021c95e30d183640c512a704b927ee7,25/06/2023 21:50:55,ESCANER
16317,"Huehuetenango",13,"San Sebastián Coatán",25,2422,400,128,146,274,4,0,278,0,278,--,400,122,274,278,278,Algún campo sin dato,1,ee472bd5123633f1fa0a290cd141b08efbc569fa4c7973eba2ba1e9c0d5799fb,25/06/2023 23:40:22,ESCANER
16318,"Huehuetenango",13,"San Sebastián Coatán",25,2422,400,134,141,275,2,8,285,0,285,--,400,115,275,285,285,Algún campo sin dato,1,9af29382ac3d9e7e070483d4817e1dd8ab826bfbe63b7f07f7c5ef0d1754ea31,25/06/2023 23:37:26,ESCANER
16319,"Huehuetenango",13,"San Sebastián Coatán",25,2423,400,122,133,255,3,2,260,0,260,--,400,140,255,260,260,Algún campo sin dato,1,a971011fd0263581a620dc6d0a8fbdcbb21c4db8cb96780a048c65bb38614e03,25/06/2023 23:11:28,ESCANER
16320,"Huehuetenango",13,"San Sebastián Coatán",25,2423,400,151,158,309,2,2,313,0,313,--,400,87,309,313,313,Algún campo sin dato,1,c39fb65f93a4aae6ba4388f75a6de5ee2b23dd8fcf980bbab6cc7a83f7ffbc98,25/06/2023 22:28:16,ESCANER
16321,"Huehuetenango",13,"San Sebastián Coatán",25,2423,400,152,155,307,3,1,311,0,311,--,400,89,307,311,311,Algún campo sin dato,1,9923ac5f5999292363baf6c3081d36014b019e0a47e7dc5d5ac601565960b7d1,25/06/2023 23:05:24,ESCANER
16322,"Huehuetenango",13,"San Sebastián Coatán",25,2423,339,144,116,260,0,1,261,0,261,--,339,78,260,261,261,Algún campo sin dato,1,c18dcb902ca8e03a1f7cdbb8862277a2cba4480d252c18cfc505a765d263e750,25/06/2023 22:12:34,ESCANER
16323,"Huehuetenango",13,"San Sebastián Coatán",25,2423,338,101,83,184,0,1,185,0,185,--,338,153,184,185,185,Algún campo sin dato,1,24da013d7c41af067846fb4e4fbcae008261e876791879f2936d8882bcea184f,25/06/2023 23:42:24,ESCANER
16324,"Huehuetenango",13,"San Sebastián Coatán",25,2424,380,128,151,279,2,4,285,0,285,--,380,95,279,285,285,Algún campo sin dato,1,3fff6ce6a7117b9637b4fc21891a85fdd10b9eec77a7f727e0610c3243ba15d3,26/06/2023 00:42:08,ESCANER
16325,"Huehuetenango",13,"San Sebastián Coatán",25,2424,380,133,143,276,1,4,281,0,281,--,380,99,276,281,281,Algún campo sin dato,1,d265d7a6ddb62e6091d9cc41039100c7badb7605edf55dc8ed2b61f17b20aa21,26/06/2023 00:12:49,ESCANER
16326,"Huehuetenango",13,"San Sebastián Coatán",25,2424,380,171,105,276,1,3,280,0,280,--,380,100,276,280,280,Algún campo sin dato,1,9208bdf729d8e0af3809fdbe348480dbcf546957d2e98e0c60a97d08a4f2a613,26/06/2023 01:00:42,ESCANER
16327,"Huehuetenango",13,"San Sebastián Coatán",25,2424,380,156,119,275,1,1,277,0,277,--,380,103,275,277,277,Algún campo sin dato,1,41ea09dee1fcfca612076facebc70c7e2986e31868f975e4a358a6309ca80134,26/06/2023 00:06:54,ESCANER
16328,"Huehuetenango",13,"San Sebastián Coatán",25,2425,380,117,80,197,0,1,198,0,198,--,380,182,197,198,198,Algún campo sin dato,1,af652f64ffdfd861b81a0c1cc2a0a9e5221e1e619612e6b090e69d0709833ce6,26/06/2023 00:00:55,ESCANER
16329,"Huehuetenango",13,"San Sebastián Coatán",25,2425,380,127,123,250,1,5,256,0,256,--,380,124,250,256,256,Algún campo sin dato,1,4294b60cc1106cf7145e149ec40ff72aa9c4b760179a69d584413bc1c49df5a0,26/06/2023 00:53:09,ESCANER
16330,"Huehuetenango",13,"San Sebastián Coatán",25,2425,380,139,104,243,2,5,250,0,250,--,380,130,243,250,250,Algún campo sin dato,1,19fe27beaba933b60b5dcec5787633532812b43c78cc138a10ab07469e58f110,26/06/2023 01:36:25,ESCANER
16331,"Huehuetenango",13,"San Sebastián Coatán",25,2426,380,133,103,236,3,1,240,0,240,--,380,140,236,240,240,Algún campo sin dato,1,a76bdbf9b886ac3a0a1472bec901b2207ff9eac58b565543159e043db5e5482f,25/06/2023 22:05:35,ESCANER
