TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
146,146,100.0000,146,100.0000,0,55528,25689,46.2631

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,U R N G - MAIZ,MLP,VALOR,UNE,PODEMOS,AZUL,WINAQ,VAMOS,BIEN,VICTORIA,CABAL,VOS,VIVA,PHG,ELEFANTE,TODOS,CAMBIO,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16348,"Huehuetenango",13,"Barillas",26,2432,400,9,4,8,53,10,0,23,51,23,4,2,3,4,5,1,1,0,0,201,7,9,217,10,227,--,400,173,201,217,227,Algún campo sin dato,1,a14f8c86ca25e35888e6ed83d1b515852e33000876c790189462f6ad63271aca,26/06/2023 00:50:14,ESCANER
16349,"Huehuetenango",13,"Barillas",26,2432,400,13,5,6,45,9,3,8,58,39,1,4,4,2,8,0,0,0,0,205,17,7,229,0,229,--,400,171,205,229,229,Algún campo sin dato,1,17667dddc34b97b33214b4bb4a29358afae4152fa182c71a0afe2393685b41e5,26/06/2023 00:19:13,ESCANER
16350,"Huehuetenango",13,"Barillas",26,2432,400,11,5,10,36,10,0,11,42,42,0,5,2,4,4,0,2,0,0,184,22,10,216,0,216,--,400,184,184,216,216,Algún campo sin dato,1,aad456950abcffabb9706307ca5aa3389312f403e144d5dfbef8b05bec446882,26/06/2023 01:03:41,ESCANER
16351,"Huehuetenango",13,"Barillas",26,2432,400,5,1,4,26,4,2,14,69,39,2,4,6,1,5,0,1,0,0,183,17,6,206,0,206,--,206,0,183,206,206,Algún campo sin dato,1,85fa37fadedd82c4a6dbe53d20e07c87f7437549bdd92e9b21a7b046deafc7ec,26/06/2023 00:50:06,ESCANER
16352,"Huehuetenango",13,"Barillas",26,2432,400,11,3,9,36,9,0,7,55,44,3,6,4,5,6,2,1,0,0,201,22,3,226,0,226,--,400,174,201,226,226,Algún campo sin dato,1,403c70c140c91345fdf9362fe64b40a2b9d16c513d93e81d6c64137d5b7c7d72,25/06/2023 22:22:57,ESCANER
16353,"Huehuetenango",13,"Barillas",26,2432,400,14,1,7,35,7,3,23,54,33,1,6,2,4,4,0,0,0,0,194,12,12,218,0,218,--,400,182,194,218,218,Algún campo sin dato,1,9526572df407adac8e26701a808d161c3f7e48a771a21b48edd977737beff86f,25/06/2023 21:21:56,ESCANER
16354,"Huehuetenango",13,"Barillas",26,2432,400,10,5,9,31,10,2,8,66,35,1,3,6,4,6,0,0,0,0,196,19,11,226,0,226,--,400,174,196,226,226,Algún campo sin dato,1,97c6f2c3aca92c46c28fd590ae01cd2f145cf21c7f669e949e4c71c1dff2465c,25/06/2023 22:00:57,ESCANER
16355,"Huehuetenango",13,"Barillas",26,2432,400,5,2,11,45,8,0,13,66,40,2,7,2,2,2,0,1,0,0,206,19,8,233,0,233,--,400,167,206,233,233,Algún campo sin dato,1,d83d722e2fd250a4c7c7a5be5c80079bd7d756b71bc54d4ff571057ef0528335,26/06/2023 00:18:21,ESCANER
16356,"Huehuetenango",13,"Barillas",26,2432,400,9,6,4,48,5,0,10,64,36,3,4,3,1,4,0,1,0,0,198,27,4,229,0,229,--,400,171,198,229,229,Algún campo sin dato,1,d1a5ddc8fcf39e73d6b3017a73609891937d54ea71137babff81b5295cfacc4a,26/06/2023 00:46:56,ESCANER
16357,"Huehuetenango",13,"Barillas",26,2432,400,8,7,7,44,9,1,20,54,36,0,3,2,2,2,0,2,0,2,199,14,3,216,0,216,--,400,184,199,216,216,Algún campo sin dato,1,38d2a39bbde5eaa94658904a32aa2629d482fe89183684db246e79f4476099aa,26/06/2023 02:34:43,ESCANER
