TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
89,89,100.0000,89,100.0000,0,32958,15234,46.2224

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,MLP,CABAL,BIEN,UR,AZUL,TODOS,PHG,CAMBIO,VIVA,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16494,"Huehuetenango",13,"Aguacatán",27,2454,400,28,76,8,34,8,28,1,16,1,0,17,0,217,16,3,236,0,236,--,400,164,217,236,236,Algún campo sin dato,1,6e5730991d23c8e472939654fbee02429514dcdad4c04e4c7f38a4bf54d2de97,26/06/2023 00:38:56,ESCANER
16495,"Huehuetenango",13,"Aguacatán",27,2454,400,20,69,12,32,9,19,3,20,0,0,26,3,213,12,4,229,0,229,--,400,171,213,229,229,Algún campo sin dato,1,f645fdf1f587d15124e538af2d37649c69b2f84b08b161a5fa5a40e7122c53e6,26/06/2023 00:20:47,ESCANER
16496,"Huehuetenango",13,"Aguacatán",27,2454,400,32,83,14,32,9,20,0,17,2,1,13,6,229,10,7,246,0,246,--,400,154,229,246,246,Algún campo sin dato,1,d133d6f854fe3c38baaf713dbd1363d29642b7a6290a25b954f7ad962c344f00,26/06/2023 01:27:34,ESCANER
16497,"Huehuetenango",13,"Aguacatán",27,2454,400,30,59,10,42,4,31,3,19,0,1,12,1,212,12,3,227,0,227,--,400,170,212,227,227,Algún campo sin dato,1,b0eafdb52bb420d3684d61550e1f283ea516e888da8b5510407c33e78c477d59,25/06/2023 23:55:16,ESCANER
16498,"Huehuetenango",13,"Aguacatán",27,2454,400,19,55,16,51,6,35,1,13,0,0,12,1,209,10,4,223,0,223,--,400,177,209,223,223,Algún campo sin dato,1,054b126408ae18e2c9c9db448f3a3287ed15042295ca9ba35f2103853a422e69,26/06/2023 01:47:18,ESCANER
16499,"Huehuetenango",13,"Aguacatán",27,2454,400,21,63,16,39,4,25,1,20,0,0,14,0,203,10,4,217,0,217,--,413,196,203,217,217,Algún campo sin dato,1,0c1c1fafca62ee5318e62e8b7ec90368478d53338ec02780b84fe7807dc3531e,26/06/2023 01:47:02,ESCANER
16500,"Huehuetenango",13,"Aguacatán",27,2454,400,26,73,16,33,8,36,1,14,0,0,16,1,224,9,7,239,2,241,--,400,159,224,240,242,Sumas Asentadas sin cuadrar,1,b614ba74dbec6265676146552ce2acd82f4b7f84e2df9778159c647212d039c1,26/06/2023 05:00:52,ESCANER
16501,"Huehuetenango",13,"Aguacatán",27,2454,400,33,62,14,43,2,17,1,25,0,0,17,3,217,10,5,232,0,232,--,400,168,217,232,232,Algún campo sin dato,1,cf71ca03a3193bd2084f17e03c60d8bacd21fa7b818be3a9900e76c67f607820,26/06/2023 01:41:59,ESCANER
16502,"Huehuetenango",13,"Aguacatán",27,2454,400,25,70,12,27,6,32,1,17,2,0,9,2,203,9,5,217,0,217,--,400,183,203,217,217,Algún campo sin dato,1,9983a5b02b453fb17ecb726fddb1abe288b9e5cae8c9c6138db8ef5644df4bb6,26/06/2023 02:27:50,ESCANER
16503,"Huehuetenango",13,"Aguacatán",27,2454,400,27,60,9,22,7,30,1,15,0,0,12,0,183,8,1,192,0,192,--,400,208,183,192,192,Algún campo sin dato,1,d7220d8b2e2e9cae12e2407870b7e71b90307d2b279bfc06512f72bd7af9d499,26/06/2023 01:11:10,ESCANER
