TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
14,14,100.0000,14,100.0000,0,5548,3528,63.5904

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,PHG,UNE,VALOR,TODOS,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16603,"Huehuetenango",13,"San Gaspar Ixchil",29,2478,400,40,125,0,7,17,48,1,238,11,14,263,0,263,--,399,136,238,263,263,Algún campo sin dato,1,f049534e104b84ed3fc43e881f3c3f552aeb7c40ac3e75023dc50fc0879653d6,26/06/2023 00:31:59,ESCANER
16604,"Huehuetenango",13,"San Gaspar Ixchil",29,2478,400,40,132,6,5,25,58,0,266,19,13,298,0,298,--,400,102,266,298,298,Algún campo sin dato,1,c8e8d44754915d120009d50ca67e686470f927313c5ba2133ce12a4149ef5fd0,26/06/2023 01:04:57,ESCANER
16605,"Huehuetenango",13,"San Gaspar Ixchil",29,2478,400,54,136,2,3,15,59,0,269,9,13,291,0,291,--,400,109,269,291,291,Algún campo sin dato,1,058049c0596815cb15516663c43288548598f06505db15bb2452a17c36989e2c,25/06/2023 23:42:12,ESCANER
16606,"Huehuetenango",13,"San Gaspar Ixchil",29,2479,400,49,156,3,6,25,47,0,286,18,6,310,0,310,--,400,87,286,310,310,Algún campo sin dato,1,d13ef2536855f805311edb5eb35c0a048b9a9edb000102fe4ebc406901548efa,26/06/2023 01:40:37,ESCANER
16607,"Huehuetenango",13,"San Gaspar Ixchil",29,2479,400,51,154,5,3,24,71,0,308,13,10,331,0,331,--,400,69,308,331,331,Algún campo sin dato,1,169f35d6cdd2a2f4599598023928a62bfe373ca4392d2be77d082b6dcd54240a,26/06/2023 01:26:24,ESCANER
16608,"Huehuetenango",13,"San Gaspar Ixchil",29,2479,400,34,146,3,2,36,46,0,267,20,9,296,0,296,--,407,105,267,296,296,Algún campo sin dato,1,d1a96b3299cbc00b18d5c578400f5d26610d0d8c2329680122ce129ebb62207f,26/06/2023 05:11:57,ESCANER
16609,"Huehuetenango",13,"San Gaspar Ixchil",29,2480,400,22,136,5,6,34,52,0,255,6,9,270,0,270,--,400,130,255,270,270,Algún campo sin dato,1,284a34d8ac03eddfbfcd64a4c84b58137c3cfcfc98160a1cf0878ba30b32aae3,26/06/2023 01:09:04,ESCANER
16610,"Huehuetenango",13,"San Gaspar Ixchil",29,2480,400,34,123,1,1,7,51,--,--,4,4,225,0,225,--,400,175,217,225,225,Algún campo sin dato,1,dbfd1d44e9d4ca6cd8b6672f9795f2cfa4adbe8bf6a9f283b0f257a13866f277,26/06/2023 00:25:38,ESCANER
16611,"Huehuetenango",13,"San Gaspar Ixchil",29,2480,400,33,141,1,1,9,44,1,230,11,2,243,0,243,--,400,157,230,243,243,Algún campo sin dato,1,dc69d4334df69e79b6a3232fcd72d5874fd141948a095a5cf3841b1b910a7ce1,26/06/2023 01:12:50,ESCANER
16612,"Huehuetenango",13,"San Gaspar Ixchil",29,2480,400,34,87,4,3,14,56,0,198,7,5,210,0,210,--,400,190,198,210,210,Algún campo sin dato,1,9daf48d7cc2ede990a74591d314c544d86852b3fd207cd3ea5028822a7dc25d6,26/06/2023 01:01:19,ESCANER
16613,"Huehuetenango",13,"San Gaspar Ixchil",29,2481,400,34,129,2,3,13,39,0,220,7,3,230,0,230,--,400,170,220,230,230,Algún campo sin dato,1,80b92a13e7db22305d5b63681ab9c70cb32e6250ab72d39ab5ca3263f255068e,26/06/2023 00:44:31,ESCANER
16614,"Huehuetenango",13,"San Gaspar Ixchil",29,2481,400,28,122,2,1,9,54,0,216,4,2,222,0,222,--,400,178,216,222,222,Algún campo sin dato,1,70adfaefd5061e7d0e88ddc0aa2ad22ccf0d30422e58b9724cff9751803f8ea2,26/06/2023 00:35:23,ESCANER
16615,"Huehuetenango",13,"San Gaspar Ixchil",29,2481,374,26,110,0,1,11,37,1,186,5,0,191,0,191,--,374,183,186,191,191,Algún campo sin dato,1,330e8bbbcf6f5bc4d60cdb8fb0c46b221bd794fff50973a570d10ae143345fdb,25/06/2023 23:15:34,ESCANER
16616,"Huehuetenango",13,"San Gaspar Ixchil",29,2481,374,22,77,1,0,13,32,0,145,1,2,148,0,148,--,374,226,145,148,148,Algún campo sin dato,1,a6aaddb05827d164df4dc0e294e5489c98406885e60950639656b3e25e1dc88b,25/06/2023 23:33:48,ESCANER
