TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
20,20,100.0000,20,100.0000,0,7490,5580,74.4993

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,BIEN,MLP,TODOS,VIVA,U R N G - MAIZ,VAMOS,PHG,VALOR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16617,"Huehuetenango",13,"Santiago Chimaltenango",30,2482,400,101,64,8,7,5,1,89,12,4,291,4,3,298,0,298,--,400,102,291,298,298,Algún campo sin dato,1,94948a61b4b03fd4ba6b5b7250d9cee4baffe063d683dde2b60fe3eba9e5ddfa,26/06/2023 03:32:45,ESCANER
16618,"Huehuetenango",13,"Santiago Chimaltenango",30,2482,400,97,63,5,3,14,3,106,9,0,300,0,1,301,0,301,--,400,99,300,301,301,Algún campo sin dato,1,e03adfa9214f243d1e1cff1ff01f40cb465aa1f3b8b22a0ded689d06c0ce8413,26/06/2023 03:53:07,ESCANER
16619,"Huehuetenango",13,"Santiago Chimaltenango",30,2482,400,114,53,4,2,8,4,94,5,2,286,12,5,303,0,303,--,400,97,286,303,303,Algún campo sin dato,1,bb8051826b171bb91a7a4447979390e0f04d949f4fde953b6744a2435fcb36a4,26/06/2023 00:31:16,ESCANER
16620,"Huehuetenango",13,"Santiago Chimaltenango",30,2482,400,81,78,4,10,8,1,121,5,4,312,9,4,325,0,325,--,400,75,312,325,325,Algún campo sin dato,1,bd9f4e2cf5b6b0bf9ba559dd471c4b7e0edb053e5c4b807fa5936641f3d0ff8f,26/06/2023 03:47:26,ESCANER
16621,"Huehuetenango",13,"Santiago Chimaltenango",30,2483,400,63,81,4,4,6,3,153,6,2,322,6,7,335,1,336,--,400,64,322,335,336,Algún campo sin dato,1,63be27983ebca7d55ce90666e0b78c92e422013ff04a3ca3b5c7a08b5b8ce4ad,26/06/2023 03:22:06,ESCANER
16622,"Huehuetenango",13,"Santiago Chimaltenango",30,2483,400,115,53,4,8,4,2,118,6,6,316,4,4,324,0,324,--,400,76,316,324,324,Algún campo sin dato,1,4e67cba021a36ebf98b27ba74bbdd71901b79ee8ae0c807c037c14601a9d4b71,26/06/2023 02:26:13,ESCANER
16623,"Huehuetenango",13,"Santiago Chimaltenango",30,2483,400,103,78,7,9,8,2,132,5,1,345,5,7,357,0,357,--,400,43,345,357,357,Algún campo sin dato,1,3da896eefbf50e858aaaa203619669f1f2aa887933e5d670602841a92cb506c7,26/06/2023 00:09:38,ESCANER
16624,"Huehuetenango",13,"Santiago Chimaltenango",30,2483,400,89,89,5,10,9,3,122,2,1,330,8,3,341,0,341,--,400,59,330,341,341,Algún campo sin dato,1,0d15a6062f46d5c9c07578cd2594672e9b93032a3d03d959193633a3b64a2e52,26/06/2023 01:40:14,ESCANER
16625,"Huehuetenango",13,"Santiago Chimaltenango",30,2483,400,89,53,1,8,4,3,93,5,2,258,0,3,261,0,261,--,400,139,258,261,261,Algún campo sin dato,1,d1f0dabda68ad3fe51b1df84eda2d14da0e51696a6a92450dc8f484208c5a284,26/06/2023 03:00:46,ESCANER
16626,"Huehuetenango",13,"Santiago Chimaltenango",30,2483,400,88,50,2,6,10,2,107,6,2,273,4,2,279,0,279,--,400,121,273,279,279,Algún campo sin dato,1,795f898b79350a48b2b333ea66ce3416e65daee24cabfbaf20f6570891bc7728,26/06/2023 04:23:25,ESCANER
