TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
18,18,100.0000,18,100.0000,0,6557,4199,64.0384

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,VAMOS,UNIONISTA,UNE,TODOS,CABAL,VIVA,VALOR,VICTORIA,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16637,"Huehuetenango",13,"Santa Ana Huista",31,2487,400,4,94,32,34,13,18,13,44,1,2,255,11,6,272,0,272,--,403,131,255,272,272,Algún campo sin dato,1,7f0434fabdc5ebf5dcf50824d3dbad1707b7b997262e2d4e8f03010a53e305d3,26/06/2023 01:31:36,ESCANER
16638,"Huehuetenango",13,"Santa Ana Huista",31,2487,400,3,105,57,25,8,16,9,43,0,2,268,12,2,282,0,282,--,400,118,268,282,282,Algún campo sin dato,1,58efa71999393cdcab74df1e78eae9577494b72f47a711fb6d299f8c15468c46,26/06/2023 03:26:34,ESCANER
16639,"Huehuetenango",13,"Santa Ana Huista",31,2487,400,10,104,33,31,14,12,20,58,4,9,295,7,4,306,0,306,1,400,94,295,306,306,,1,7ca4b7aad59803fa21fb7f9fb4c0f42568d70c01140403fbffb3e6267a6eb80f,26/06/2023 02:43:49,ESCANER
16640,"Huehuetenango",13,"Santa Ana Huista",31,2487,400,7,80,45,33,16,13,21,55,5,1,276,7,3,286,0,286,--,400,114,276,286,286,Algún campo sin dato,1,c8687a2ec153da1bf6b35f22c4f658f7cfbc93e03a1c2e2bcbda8e62483ed826,26/06/2023 02:28:40,ESCANER
16641,"Huehuetenango",13,"Santa Ana Huista",31,2487,400,2,79,39,30,13,10,18,50,0,3,244,4,2,250,0,250,--,400,150,244,250,250,Algún campo sin dato,1,f56785bea1f3d58d408b667728016b9f539e9761140ee19ec29d023228356596,26/06/2023 00:55:59,ESCANER
16642,"Huehuetenango",13,"Santa Ana Huista",31,2487,400,5,74,35,19,7,8,18,39,1,4,210,7,1,218,0,218,--,400,182,210,218,218,Algún campo sin dato,1,f1662b5a39e3156b189abbdd3ac2559d16f01e6d529c3292c872e485ddc5f197,26/06/2023 00:59:39,ESCANER
16643,"Huehuetenango",13,"Santa Ana Huista",31,2487,389,1,84,53,26,15,10,21,61,2,0,273,2,0,275,0,275,--,--,--,273,275,275,Algún campo sin dato,1,d469f9802cc1a19d3d5e5f6a445f3f3b4138d4f010456ce9051ae62c7308f6ea,26/06/2023 00:43:57,ESCANER
16644,"Huehuetenango",13,"Santa Ana Huista",31,2487,388,6,73,51,22,13,3,16,30,2,4,220,4,3,227,1,228,--,388,160,220,227,228,Algún campo sin dato,1,6e57ec1d34b92c778350df31713d1070bd7b58ef7ade639d26b75dc01e1d7e5d,26/06/2023 00:46:28,ESCANER
16645,"Huehuetenango",13,"Santa Ana Huista",31,2488,400,36,86,14,79,2,23,3,10,3,3,259,12,6,277,0,277,--,400,123,259,277,277,Algún campo sin dato,1,a93ae20a43df8e31712a7061e5d77b856ff6f05598edb8ba771e54a8e4bc00e5,26/06/2023 03:36:41,ESCANER
16646,"Huehuetenango",13,"Santa Ana Huista",31,2488,270,14,33,9,44,2,14,4,14,0,1,135,4,2,141,129,270,--,270,129,135,141,270,Algún campo sin dato,1,be390cbb763967100201d4b55bbf91aa510259ba242186f7ba1cc5748cb85688,26/06/2023 01:55:59,ESCANER
