TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
25,25,100.0000,25,100.0000,0,8816,3878,43.9882

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,AZUL,CABAL,BIEN,UNE,TODOS,UR,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16655,"Huehuetenango",13,"Unión Cantinil",32,2490,400,29,6,72,1,25,5,2,16,156,18,7,181,0,181,--,399,218,156,181,181,Algún campo sin dato,1,06229fd4bfff43b3cc7f7e585aa2e7e4119d75d22efdc29ed57e15482d2565ad,25/06/2023 23:07:03,ESCANER
16656,"Huehuetenango",13,"Unión Cantinil",32,2490,400,27,5,83,4,19,5,2,8,153,11,9,173,0,173,--,400,227,153,173,173,Algún campo sin dato,1,259fae339feabd6960dd8e16ba9c433364ab1dbe5fc96d6b8edbd32ceeea6452,26/06/2023 01:13:42,ESCANER
16657,"Huehuetenango",13,"Unión Cantinil",32,2490,400,41,6,111,3,28,1,1,9,200,7,10,217,0,217,--,400,183,200,217,217,Algún campo sin dato,1,b1f19971a07c06c1861608d737734ac675321909037182a87114a47af5b8cf5f,26/06/2023 01:28:43,ESCANER
16658,"Huehuetenango",13,"Unión Cantinil",32,2490,400,26,13,121,2,32,8,0,13,215,15,10,240,0,240,--,400,160,215,240,240,Algún campo sin dato,1,97d0c5742a2c37651e6662bca066610387efde1f0569503d6e0703e259dbfed1,26/06/2023 00:57:20,ESCANER
16659,"Huehuetenango",13,"Unión Cantinil",32,2490,400,38,2,59,5,13,42,5,6,170,12,11,193,0,193,--,--,--,170,193,193,Algún campo sin dato,1,a79743c6341f5c54daddd0d13649119440b217ec68c3e806967849f0962bcfc6,26/06/2023 01:24:01,ESCANER
16660,"Huehuetenango",13,"Unión Cantinil",32,2490,400,38,6,62,3,18,23,4,12,166,9,3,178,0,178,--,403,225,166,178,178,Algún campo sin dato,1,7bac5615ba27135b247bb11c59bc9e3c2649d904f1c2439df8959af30f247eae,25/06/2023 23:41:28,ESCANER
16661,"Huehuetenango",13,"Unión Cantinil",32,2490,400,29,2,64,2,33,6,2,12,150,6,10,166,0,166,1,400,234,150,166,166,,1,4b28decad71e819baa91a34dce266ce9095325392c62a54367dbd2525e8f949e,26/06/2023 00:47:59,ESCANER
16662,"Huehuetenango",13,"Unión Cantinil",32,2491,400,29,5,70,2,31,9,3,10,159,2,7,168,0,168,--,400,232,159,168,168,Algún campo sin dato,1,ee4a5aa907c8de8382acba22b3e18ff47cd5243f29e887067ec58299103f3214,26/06/2023 00:42:54,ESCANER
16663,"Huehuetenango",13,"Unión Cantinil",32,2491,400,23,1,86,1,12,16,4,13,156,2,5,163,0,163,--,400,237,156,163,163,Algún campo sin dato,1,38ee97e5578c67a2ba0ff0d8454a22b6fd31e5a618902fc959c5a0c07775e015,25/06/2023 23:34:42,ESCANER
16664,"Huehuetenango",13,"Unión Cantinil",32,2491,222,12,2,44,1,13,5,2,7,86,0,2,88,0,88,--,219,131,86,88,88,Algún campo sin dato,1,9f51b287a3ef7cfe1c94ebd1081f91c5659f64c358b0338b795677982576c15b,25/06/2023 23:58:33,ESCANER
16665,"Huehuetenango",13,"Unión Cantinil",32,2491,222,11,1,33,1,20,6,2,4,78,1,4,83,0,83,--,222,139,78,83,83,Algún campo sin dato,1,926e32f1315d4e437c9d98a9a406b486b0921c0626fe9c8527176ca1a856cd1b,25/06/2023 23:04:15,ESCANER
16666,"Huehuetenango",13,"Unión Cantinil",32,2492,380,76,4,21,2,6,1,2,23,135,19,5,159,0,159,--,380,227,135,159,159,Algún campo sin dato,1,f1540664d9b28fb78ee3e6e057072f6e85b2f851adf570b95f5f9a5d9dabc122,26/06/2023 00:39:10,ESCANER
16667,"Huehuetenango",13,"Unión Cantinil",32,2492,380,89,6,28,10,10,1,2,21,167,16,3,186,0,186,--,380,194,167,186,186,Algún campo sin dato,1,859f8bbd66ba2c8f5f34174d5b3da1fd35975ca456b931ca978f3f8da36d7de7,25/06/2023 23:38:34,ESCANER
16668,"Huehuetenango",13,"Unión Cantinil",32,2492,380,73,4,36,8,7,1,0,27,156,9,5,170,0,170,--,380,210,156,170,170,Algún campo sin dato,1,97df4243fb770af2dfe74fb4c82e64d566b60ce1c0a05e4575ff41d5660da1ed,26/06/2023 01:02:03,ESCANER
16669,"Huehuetenango",13,"Unión Cantinil",32,2492,380,61,4,37,10,6,2,4,18,142,11,7,160,0,160,--,380,220,142,160,160,Algún campo sin dato,1,ee94ec5a97611967827f3cad0aec377f5768bfe39972d4850840d02e6c3a6960,26/06/2023 00:34:02,ESCANER
16670,"Huehuetenango",13,"Unión Cantinil",32,2493,380,85,3,27,8,10,0,1,10,144,6,1,151,0,151,--,380,229,144,151,151,Algún campo sin dato,1,700a4815434fd71c66d177a09e36e46259ff3a07d83a87228dcdebf4e4ae43f7,25/06/2023 22:36:41,ESCANER
16671,"Huehuetenango",13,"Unión Cantinil",32,2493,380,55,1,14,2,4,0,9,11,96,14,5,115,0,115,--,380,265,96,115,115,Algún campo sin dato,1,55ef74cb221f1ef312efeb9215417e1a487f287076f06717b2ad8b43ca556178,25/06/2023 22:24:12,ESCANER
16672,"Huehuetenango",13,"Unión Cantinil",32,2493,322,68,2,14,7,4,1,6,17,119,9,1,129,0,129,--,322,193,119,129,129,Algún campo sin dato,1,4b8170aa3836a4582fd4c5f707d646642bb077d4db96eb548aea855b0a6a096d,25/06/2023 23:31:38,ESCANER
16673,"Huehuetenango",13,"Unión Cantinil",32,2493,321,39,5,22,12,2,1,3,16,100,9,6,115,0,115,--,318,203,100,115,115,Algún campo sin dato,1,ce96e4b13b121a500b6e78c5de82ffeaad20e069b7f13df21cfc47c83ba22b16,25/06/2023 23:15:21,ESCANER
16674,"Huehuetenango",13,"Unión Cantinil",32,2494,380,46,7,61,3,42,2,5,3,169,20,9,198,0,198,--,380,182,169,198,198,Algún campo sin dato,1,daadf84562214199e7c40b080d3b5f6edf66974d99bbdc479f487bdc82a6e25f,26/06/2023 01:04:23,ESCANER
16675,"Huehuetenango",13,"Unión Cantinil",32,2494,278,36,5,45,5,24,2,2,2,121,5,4,130,0,130,--,278,148,121,130,130,Algún campo sin dato,1,5645f207ed81a908248ca6d20f0a9c4cda5ddf3fab3153801062b0faebc5755d,26/06/2023 01:38:04,ESCANER
16676,"Huehuetenango",13,"Unión Cantinil",32,2494,277,19,4,41,1,23,0,1,2,91,6,2,99,0,99,--,376,277,91,99,99,Algún campo sin dato,1,2991aaa378f27ecfc6efbffd7413af14989cf76c963eccb634eae02efda91d09,26/06/2023 00:44:23,ESCANER
16677,"Huehuetenango",13,"Unión Cantinil",32,2495,380,108,6,20,7,10,1,3,13,188,19,1,188,0,188,--,380,192,168,188,188,Sumas Asentadas sin cuadrar,1,c3140baca1b7bdcb2bc39d6f7ae2f69df3299ec83a32f43202963475816c36dc,26/06/2023 00:21:08,MOVIL
16678,"Huehuetenango",13,"Unión Cantinil",32,2495,267,48,1,27,6,4,4,1,10,101,16,3,120,0,120,--,264,144,101,120,120,Algún campo sin dato,1,cef1dd67ab4e77efe98bc85077495bdb7485eae8da73568ba639e17895c575e6,25/06/2023 22:39:23,ESCANER
16679,"Huehuetenango",13,"Unión Cantinil",32,2495,267,56,4,22,2,4,0,0,9,97,10,1,108,0,108,--,264,156,97,108,108,Algún campo sin dato,1,8dd907213ab1b634eb44db5890c6f64ff553a8b7ef715125807466aa97264cec,25/06/2023 22:14:11,ESCANER
