TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
10,10,100.0000,10,100.0000,0,3606,2419,67.0826

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,VAMOS,PODEMOS,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16680,"Huehuetenango",13,"Petatán",33,2496,400,119,94,54,29,296,4,4,304,0,304,--,400,96,296,304,304,Algún campo sin dato,1,b95c512647663474d2cc7c91b2c42f400c7d176d268afce16c779f2598bc392c,26/06/2023 05:55:47,ESCANER
16681,"Huehuetenango",13,"Petatán",33,2496,400,130,66,60,39,295,8,5,308,0,308,--,400,92,295,308,308,Algún campo sin dato,1,20f8a8f6fafcf680eab0e5e4d8c13bf92aac1a92cd05fd9216ce5013a57eea38,26/06/2023 05:05:28,MOVIL
16682,"Huehuetenango",13,"Petatán",33,2496,400,148,54,58,29,289,5,4,298,0,298,--,400,102,289,298,298,Algún campo sin dato,1,a47f6b7c4bf2d2fe5c989fe9001d62bd6a4d1523334480bcaabffa207fed3d48,26/06/2023 04:14:20,MOVIL
16683,"Huehuetenango",13,"Petatán",33,2497,400,106,67,59,18,250,3,3,256,0,256,--,400,144,250,256,256,Algún campo sin dato,1,3478c03f23d66803153d11836295e71e0963c3ed64f8618ccf5cc0ad804d8961,26/06/2023 02:20:06,ESCANER
16684,"Huehuetenango",13,"Petatán",33,2497,400,96,72,73,22,263,6,0,269,0,269,--,400,131,263,269,269,Algún campo sin dato,1,93bbcac4fa03f48e67cee1e79309655eac2c23bd2af9f6eddefd421575e18f7c,26/06/2023 02:34:31,ESCANER
16685,"Huehuetenango",13,"Petatán",33,2497,400,107,78,51,16,252,4,1,257,0,257,--,400,140,252,257,257,Algún campo sin dato,1,e16b7bab93fdcfbe010ccf2ce0c8f7df8a586fea2183055f5abf72eeae24ff0c,26/06/2023 02:47:32,ESCANER
16686,"Huehuetenango",13,"Petatán",33,2497,400,107,59,50,16,232,0,0,232,0,232,--,400,168,232,232,232,Algún campo sin dato,1,6a149001627abc83a457afd8a52cc1e35edbfa51a4246c80322f655c5182d6fa,26/06/2023 03:04:37,ESCANER
16687,"Huehuetenango",13,"Petatán",33,2498,400,91,56,58,20,225,0,1,226,0,226,--,400,174,225,226,226,Algún campo sin dato,1,2fd3a946e7ecfaa79cbeaa1783c5c7d0e3393b487258f4ddc95f92c0db71534f,26/06/2023 01:31:02,ESCANER
16688,"Huehuetenango",13,"Petatán",33,2498,203,60,34,26,7,127,2,5,134,0,134,--,203,69,127,134,134,Algún campo sin dato,1,0f3d6361b553ea84dbb8255ad4ea9c58fb601cfb34763e7b0b4a2c6be27e7019,26/06/2023 00:35:32,ESCANER
16689,"Huehuetenango",13,"Petatán",33,2498,203,57,33,24,14,128,6,1,135,0,135,--,203,68,128,135,135,Algún campo sin dato,1,8cddd7413f63f3bfb70599a7a2d7167dd6454a967fa542f6d4d6e4198f5b6302,26/06/2023 00:14:00,ESCANER
